CIA - The World Factbook --  Drinking water source   

This entry provides information about access to improved or unimproved drinking water sources available to segments of the population of a country. improved drinking water - use of any of the following sources: piped water into dwelling, yard, or plot; public tap or standpipe; tubewell or borehole; protected dug well; protected spring; or rainwater collection. unimproved drinking water - use of any of the following sources: unprotected dug well; unprotected spring; cart with small tank or drum; tanker truck; surface water, which includes rivers, dams, lakes, ponds, streams, canals or irrigation channels; or bottled water.

| Rank | country | (% of population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Qatar | 100.00 | 2010 est. |
| 2 | Qatar | 100.00 | 2010 est. |
| 3 | Seychelles | 100.00 | 2010 est. |
| 4 | Slovenia | 100.00 | 2010 est. |
| 5 | Singapore | 100.00 | 2010 est. |
| 6 | Singapore | 100.00 | 2010 est. |
| 7 | Spain | 100.00 | 2010 est. |
| 8 | Spain | 100.00 | 2010 est. |
| 9 | Spain | 100.00 | 2010 est. |
| 10 | Sweden | 100.00 | 2010 est. |
| 11 | Sweden | 100.00 | 2010 est. |
| 12 | Sweden | 100.00 | 2010 est. |
| 13 | Switzerland | 100.00 | 2010 est. |
| 14 | Switzerland | 100.00 | 2010 est. |
| 15 | Switzerland | 100.00 | 2010 est. |
| 16 | Turks and Caicos Islands | 100.00 | 2010 est. |
| 17 | Turks and Caicos Islands | 100.00 | 2010 est. |
| 18 | Turks and Caicos Islands | 100.00 | 2010 est. |
| 19 | Tonga | 100.00 | 2010 est. |
| 20 | Tonga | 100.00 | 2010 est. |
| 21 | Tonga | 100.00 | 2010 est. |
| 22 | Turkey | 100.00 | 2010 est. |
| 23 | Turkey | 100.00 | 2010 est. |
| 24 | United Kingdom | 100.00 | 2010 est. |
| 25 | United Kingdom | 100.00 | 2010 est. |
| 26 | United Kingdom | 100.00 | 2010 est. |
| 27 | United States | 100.00 | 2010 est. |
| 28 | Uruguay | 100.00 | 2010 est. |
| 29 | Uruguay | 100.00 | 2010 est. |
| 30 | Uruguay | 100.00 | 2010 est. |
| 31 | Wallis and Futuna | 100.00 | 2008 est. |
| 32 | Wallis and Futuna | 100.00 | 2008 est. |
| 33 | Guam | 100.00 | 2010 est. |
| 34 | Guam | 100.00 | 2010 est. |
| 35 | Greece | 100.00 | 2010 est. |
| 36 | Greece | 100.00 | 2010 est. |
| 37 | Croatia | 100.00 | 2010 est. |
| 38 | Hungary | 100.00 | 2010 est. |
| 39 | Hungary | 100.00 | 2010 est. |
| 40 | Hungary | 100.00 | 2010 est. |
| 41 | Iceland | 100.00 | 2010 est. |
| 42 | Iceland | 100.00 | 2010 est. |
| 43 | Iceland | 100.00 | 2010 est. |
| 44 | Israel | 100.00 | 2010 est. |
| 45 | Israel | 100.00 | 2010 est. |
| 46 | Israel | 100.00 | 2010 est. |
| 47 | Italy | 100.00 | 2010 est. |
| 48 | Italy | 100.00 | 2010 est. |
| 49 | Italy | 100.00 | 2010 est. |
| 50 | Japan | 100.00 | 2010 est. |
| 51 | Japan | 100.00 | 2010 est. |
| 52 | Japan | 100.00 | 2010 est. |
| 53 | Korea, South | 100.00 | 2010 est. |
| 54 | Lebanon | 100.00 | 2010 est. |
| 55 | Lebanon | 100.00 | 2010 est. |
| 56 | Lebanon | 100.00 | 2010 est. |
| 57 | Latvia | 100.00 | 2010 est. |
| 58 | Slovakia | 100.00 | 2010 est. |
| 59 | Slovakia | 100.00 | 2010 est. |
| 60 | Slovakia | 100.00 | 2010 est. |
| 61 | Luxembourg | 100.00 | 2010 est. |
| 62 | Luxembourg | 100.00 | 2010 est. |
| 63 | Luxembourg | 100.00 | 2010 est. |
| 64 | Mongolia | 100.00 | 2010 est. |
| 65 | Montserrat | 100.00 | 2010 est. |
| 66 | Montserrat | 100.00 | 2010 est. |
| 67 | Montserrat | 100.00 | 2010 est. |
| 68 | Macedonia | 100.00 | 2010 est. |
| 69 | Macedonia | 100.00 | 2010 est. |
| 70 | Monaco | 100.00 | 2010 est. |
| 71 | Monaco | 100.00 | 2010 est. |
| 72 | Mauritius | 100.00 | 2010 est. |
| 73 | Malta | 100.00 | 2010 est. |
| 74 | Malta | 100.00 | 2010 est. |
| 75 | Malta | 100.00 | 2010 est. |
| 76 | Maldives | 100.00 | 2010 est. |
| 77 | Malaysia | 100.00 | 2010 est. |
| 78 | Malaysia | 100.00 | 2010 est. |
| 79 | Niue | 100.00 | 2010 est. |
| 80 | Niue | 100.00 | 2010 est. |
| 81 | Niue | 100.00 | 2010 est. |
| 82 | Niger | 100.00 | 2010 est. |
| 83 | Netherlands | 100.00 | 2010 est. |
| 84 | Netherlands | 100.00 | 2010 est. |
| 85 | Netherlands | 100.00 | 2010 est. |
| 86 | Norway | 100.00 | 2010 est. |
| 87 | Norway | 100.00 | 2010 est. |
| 88 | Norway | 100.00 | 2010 est. |
| 89 | New Zealand | 100.00 | 2010 est. |
| 90 | New Zealand | 100.00 | 2010 est. |
| 91 | New Zealand | 100.00 | 2010 est. |
| 92 | Poland | 100.00 | 2008 est. |
| 93 | Poland | 100.00 | 2008 est. |
| 94 | Poland | 100.00 | 2008 est. |
| 95 | Portugal | 100.00 | 2010 est. |
| 96 | Qatar | 100.00 | 2010 est. |
| 97 | Aruba | 100.00 | 2010 est. |
| 98 | Aruba | 100.00 | 2010 est. |
| 99 | Aruba | 100.00 | 2010 est. |
| 100 | United Arab Emirates | 100.00 | 2010 est. |
| 101 | United Arab Emirates | 100.00 | 2010 est. |
| 102 | United Arab Emirates | 100.00 | 2010 est. |
| 103 | Andorra | 100.00 | 2010 est. |
| 104 | Andorra | 100.00 | 2010 est. |
| 105 | Andorra | 100.00 | 2010 est. |
| 106 | Australia | 100.00 | 2010 est. |
| 107 | Australia | 100.00 | 2010 est. |
| 108 | Australia | 100.00 | 2010 est. |
| 109 | Austria | 100.00 | 2010 est. |
| 110 | Austria | 100.00 | 2010 est. |
| 111 | Austria | 100.00 | 2010 est. |
| 112 | Bahrain | 100.00 | 2010 est. |
