CIA - The World Factbook --  Labor force - by occupation   

| Rank | country | (%) | Date of Information |
| 129 | Uzbekistan | 60.90 | 2012 est. |
| 130 | Moldova | 60.40 | 2012 est. |
| 131 | Gabon | 60.00 | 2000 est. |
| 132 | Czech Republic | 60.00 | 2012 |
| 133 | Gibraltar | 60.00 | 2001 |
| 134 | New Caledonia | 60.00 | 2002 |
| 135 | Liechtenstein | 59.90 | 2012 |
| 136 | Portugal | 59.80 | 2009 est. |
| 137 | Iraq | 59.80 | 2008 est. |
| 138 | Serbia | 59.60 | 2013 est. |
| 139 | British Virgin Islands | 59.40 | 2005 |
| 140 | Libya | 59.00 | 2004 est. |
| 141 | Taiwan | 58.80 | 2012 est. |
| 142 | El Salvador | 58.00 | 2011 est. |
| 143 | Bulgaria | 57.70 | 2009 |
| 144 | Saint Vincent and the Grenadines | 57.00 | 1980 est. |
| 145 | Poland | 57.00 | 2010 |
| 146 | Peru | 56.80 | 2011 |
| 147 | Mongolia | 56.40 | 2011 |
| 148 | Cook Islands | 56.00 | 1995 |
| 149 | Ghana | 56.00 | 2005 est. |
| 150 | Cambodia | 55.80 | 2010 est. |
| 151 | Georgia | 55.60 | 2006 est. |
| 152 | West Bank | 55.50 | 2010 est. |
| 153 | Paraguay | 55.00 | 2008 |
| 154 | Albania | 54.60 | December 2012 est. |
| 155 | Ecuador | 54.40 | 2012 |
| 156 | Macedonia | 53.70 | 31 September 2013 est. |
| 157 | Saint Lucia | 53.60 | 2002 est. |
| 158 | Malaysia | 53.50 | 2012 est. |
| 159 | Hong Kong | 53.30 | 2013 est. |
| 160 | Philippines | 53.00 | 2012 est. |
| 161 | Bosnia and Herzegovina | 51.30 | 2013 |
| 162 | Haiti | 50.40 | 2010 |
| 163 | Western Sahara | 50.00 | 2005 est. |
| 164 | Nicaragua | 50.00 | 2011 est. |
| 165 | Western Sahara | 50.00 | 2005 est. |
| 166 | Mauritania | 50.00 | 2001 est. |
| 167 | Tunisia | 49.80 | 2009 est. |
| 168 | Azerbaijan | 49.60 | 2008 |
| 169 | Bahamas, The | 49.00 | 2011 est. |
| 170 | India | 49.00 | 2012 est. |
| 171 | Iran | 48.70 | 2012 est. |
| 172 | Turkey | 48.40 | 2010 |
| 173 | Thailand | 48.20 | 2011 est. |
| 174 | Turkmenistan | 48.20 | 2004 est. |
| 175 | Kyrgyzstan | 48.00 | 2005 est. |
| 176 | Mauritania | 48.00 | 2001 est. |
| 177 | Guatemala | 48.00 | 2011 est. |
| 178 | Vietnam | 48.00 | 2012 |
| 179 | Saint Helena, Ascension, and Tristan da Cunha | 48.00 | 1987 est. |
| 180 | Indonesia | 47.90 | 2012 est. |
| 181 | Bangladesh | 47.00 | 2010 est. |
| 182 | Egypt | 47.00 | 2011 est. |
| 183 | Tajikistan | 46.50 | 2013 est. |
| 184 | Saint Helena, Ascension, and Tristan da Cunha | 46.00 | 1987 est. |
| 185 | Belarus | 45.90 | 2005 est. |
| 186 | Pakistan | 45.10 | 2010 est. |
| 187 | Belarus | 44.70 | 2005 est. |
| 188 | Morocco | 44.60 | 2006 est. |
| 189 | Armenia | 44.20 | 2008 est. |
| 190 | Tajikistan | 42.80 | 2013 est. |
| 191 | Sri Lanka | 42.40 | June 2012 |
| 192 | Romania | 42.40 | 2012 |
| 193 | Saint Pierre and Miquelon | 41.00 | 1996 |
| 194 | Saint Pierre and Miquelon | 41.00 | 1996 |
| 195 | Bolivia | 40.60 | 2009 est. |
| 196 | Gibraltar | 40.00 | 2001 |
| 197 | Bangladesh | 40.00 | 2010 est. |
| 198 | British Virgin Islands | 40.00 | 2005 |
| 199 | Dominica | 40.00 | 2002 est. |
| 200 | Honduras | 39.80 | 2005 est. |
| 201 | Kyrgyzstan | 39.50 | 2005 est. |
| 202 | Liechtenstein | 39.40 | 2012 |
| 203 | Honduras | 39.20 | 2005 est. |
| 204 | Armenia | 39.00 | 2008 est. |
| 205 | Indonesia | 38.90 | 2012 est. |
| 206 | Azerbaijan | 38.30 | 2008 |
| 207 | Thailand | 38.20 | 2011 est. |
| 208 | Haiti | 38.10 | 2010 |
| 209 | Guatemala | 38.00 | 2011 est. |
| 210 | Turkmenistan | 37.80 | 2004 est. |
| 211 | Czech Republic | 37.40 | 2012 |
| 212 | United States | 37.30 | 2009 |
| 213 | Bahamas, The | 37.00 | 2011 est. |
| 214 | Taiwan | 36.20 | 2012 est. |
| 215 | China | 36.10 | 2012 est. |
| 216 | Anguilla | 36.00 | 2000 est. |
| 217 | Malaysia | 36.00 | 2012 est. |
| 218 | Georgia | 35.50 | 2006 est. |
| 219 | Morocco | 35.50 | 2006 est. |
| 220 | Bulgaria | 35.20 | 2009 |
| 221 | Slovenia | 35.00 | 2009 |
| 222 | Korea, North | 35.00 | 2008 est. |
| 223 | Iran | 34.40 | 2012 est. |
| 224 | Pakistan | 34.20 | 2010 est. |
| 225 | China | 33.60 | 2012 est. |
| 226 | San Marino | 33.50 | September 2013 est. |
| 227 | Brunei | 33.00 | 2008 est. |
| 228 | Mongolia | 33.00 | 2011 |
| 229 | Albania | 32.60 | December 2012 est. |
| 230 | Kiribati | 32.00 | 2000 |
| 231 | Bolivia | 32.00 | 2009 est. |
| 232 | Algeria | 32.00 | 2003 est. |
| 233 | Philippines | 32.00 | 2012 est. |
| 234 | Dominica | 32.00 | 2002 est. |
| 235 | Tunisia | 31.90 | 2009 est. |
| 236 | Tonga | 31.80 | 2003 est. |
| 237 | Sri Lanka | 31.80 | June 2012 |
| 238 | India | 31.00 | 2012 est. |
| 239 | Nicaragua | 31.00 | 2011 est. |
| 240 | Vietnam | 31.00 | 2012 |
| 241 | Tonga | 30.60 | 2003 est. |
| 242 | China | 30.30 | 2012 est. |
| 243 | Poland | 30.20 | 2010 |
| 244 | Fiji | 30.00 | 2001 est. |
| 245 | Vanuatu | 30.00 | 2000 est. |
| 246 | Togo | 30.00 | 1998 est. |
| 247 | Mauritius | 30.00 | 2007 |
| 248 | Bosnia and Herzegovina | 29.80 | 2013 |
| 249 | Hungary | 29.70 | 2011 |
| 250 | Ghana | 29.00 | 2005 est. |
| 251 | Greenland | 29.00 | 2009 est. |
| 252 | Cook Islands | 29.00 | 1995 |
| 253 | Egypt | 29.00 | 2011 est. |
| 254 | Anguilla | 29.00 | 2000 est. |
| 255 | Somalia | 29.00 | 1975 |
| 256 | Romania | 29.00 | 2012 |
| 257 | Croatia | 29.00 | 2012 |
| 258 | Romania | 28.60 | 2012 |
| 259 | Portugal | 28.50 | 2009 est. |
| 260 | Finland | 28.50 | 2011 |
| 261 | West Bank | 28.40 | 2010 est. |
| 262 | Italy | 28.30 | 2011 |
| 263 | Sweden | 28.20 | 2008 est. |
| 264 | Dominica | 28.00 | 2002 est. |
| 265 | Russia | 27.80 | 2012 |
| 266 | Ecuador | 27.80 | 2012 |
| 267 | Macedonia | 27.50 | 31 September 2013 est. |
| 268 | Bolivia | 27.40 | 2009 est. |
| 269 | Cambodia | 27.30 | 2010 est. |
| 270 | Slovakia | 27.00 | December 2009 |
| 271 | Paraguay | 26.50 | 2008 |
| 272 | Moldova | 26.40 | 2012 est. |
| 273 | Japan | 26.20 | 2010 est. |
| 274 | Turkey | 26.20 | 2010 |
| 275 | Austria | 26.00 | 2012 est. |
| 276 | Saint Vincent and the Grenadines | 26.00 | 1980 est. |
| 277 | Ukraine | 26.00 | 2012 |
| 278 | Timor-Leste | 26.00 | 2010 |
| 279 | South Africa | 26.00 | 2007 est. |
| 280 | Macau | 25.90 | 2013 |
| 281 | Uzbekistan | 25.90 | 2012 est. |
| 282 | Sri Lanka | 25.80 | June 2012 |
| 283 | Peru | 25.80 | 2011 |
| 284 | Kazakhstan | 25.80 | 2012 |
| 285 | Turkey | 25.50 | 2010 |
| 286 | Gabon | 25.00 | 2000 est. |
| 287 | Belgium | 25.00 | 2007 est. |
| 288 | Mauritius | 25.00 | 2007 |
| 289 | Kenya | 25.00 | 2007 est. |
| 290 | Saint Lucia | 24.70 | 2002 est. |
| 291 | Germany | 24.60 | 2011 |
| 292 | United States | 24.20 | 2009 |
| 293 | Mexico | 24.10 | 2011 |
| 294 | Egypt | 24.00 | 2011 est. |
| 295 | Latvia | 24.00 | 2010 est. |
| 296 | Zimbabwe | 24.00 | 1996 |
| 297 | Guinea | 24.00 | 2006 est. |
| 298 | Spain | 24.00 | 2009 est. |
| 299 | Serbia | 23.90 | 2013 est. |
| 300 | Korea, South | 23.60 | October 2013 est. |
| 301 | Kosovo | 23.60 | 2010 |
| 302 | Switzerland | 23.40 | 2010 |
| 303 | Isle of Man | 23.00 | 2006 |
| 304 | Burma | 23.00 | 2001 |
| 305 | Argentina | 23.00 | 2009 est. |
| 306 | Libya | 23.00 | 2004 est. |
| 307 | Chile | 23.00 | 2005 |
| 308 | Seychelles | 23.00 | 2006 |
| 309 | European Union | 22.70 | 2012 est. |
| 310 | Senegal | 22.50 | 2007 est. |
| 311 | Greece | 22.40 | 2005 est. |
| 312 | Namibia | 22.40 | 2008 est. |
| 313 | Dominican Republic | 22.30 | 2005 |
| 314 | Malta | 22.20 | 2013 |
| 315 | Iceland | 22.20 | 2008 |
| 316 | Costa Rica | 22.00 | 2006 est. |
| 317 | Mauritius | 22.00 | 2007 |
| 318 | Liberia | 22.00 | 2000 est. |
| 319 | Venezuela | 21.80 | 4th quarter, 2011 est. |
| 320 | Saint Lucia | 21.70 | 2002 est. |
| 321 | Iraq | 21.60 | 2008 est. |
| 322 | Saudi Arabia | 21.40 | 2005 est. |
| 323 | Finland | 21.30 | 2011 |
| 324 | Australia | 21.10 | 2009 est. |
| 325 | Vietnam | 21.00 | 2012 |
| 326 | Bermuda | 21.00 | 2004 est. |
| 327 | El Salvador | 21.00 | 2011 est. |
| 328 | Colombia | 21.00 | 2011 est. |
| 329 | Montenegro | 20.90 | 2011 est. |
| 330 | Honduras | 20.90 | 2005 est. |
| 331 | Pakistan | 20.70 | 2010 est. |
| 332 | Micronesia, Federated States of | 20.60 | 2011 est. |
| 333 | Laos | 20.60 | 2012 est. |
| 334 | France | 20.60 | 2012 est. |
| 335 | Cyprus | 20.50 | 2006 est. |
| 336 | Trinidad and Tobago | 20.40 | 2007 est. |
| 337 | Macau | 20.30 | 2013 |
| 338 | Denmark | 20.30 | 2011 est. |
| 339 | United States | 20.30 | 2009 |
| 340 | Estonia | 20.20 | 2010 |
| 341 | Norway | 20.20 | 2012 |
| 342 | Comoros | 20.00 | 1996 est. |
| 343 | Bahrain | 20.00 | 1997 est. |
| 344 | Chad | 20.00 | 2006 est. |
| 345 | Grenada | 20.00 | 2008 est. |
| 346 | El Salvador | 20.00 | 2011 est. |
| 347 | Eritrea | 20.00 | 2004 est. |
| 348 | Jordan | 20.00 | 2007 est. |
| 349 | India | 20.00 | 2012 est. |
| 350 | Isle of Man | 20.00 | 2006 |
| 351 | Nigeria | 20.00 | 1999 est. |
| 352 | New Caledonia | 20.00 | 2002 |
| 353 | New Caledonia | 20.00 | 2002 |
| 354 | Mali | 20.00 | 2005 est. |
| 355 | Palau | 20.00 | 1990 |
| 356 | Solomon Islands | 20.00 | 2000 est. |
| 357 | Tanzania | 20.00 | 2002 est. |
| 358 | Morocco | 19.80 | 2006 est. |
| 359 | Cuba | 19.70 | 2011 |
| 360 | Lithuania | 19.60 | 2012 est. |
| 361 | Luxembourg | 19.40 | 2012 est. |
| 362 | Cayman Islands | 19.10 | 2008 est. |
| 363 | Gambia, The | 19.00 | 1996 |
| 364 | Bhutan | 19.00 | 2012 est. |
| 365 | Bhutan | 19.00 | 2012 est. |
| 366 | Ireland | 19.00 | 2011 est. |
| 367 | Bermuda | 19.00 | 2004 est. |
| 368 | French Polynesia | 19.00 | 2002 |
| 369 | Jamaica | 19.00 | 2006 |
| 370 | New Zealand | 19.00 | 2006 est. |
| 371 | Bermuda | 19.00 | 2004 est. |
| 372 | Virgin Islands | 19.00 | 2003 est. |
| 373 | Puerto Rico | 19.00 | 2005 |
| 374 | Faroe Islands | 18.90 | November 2010 |
| 375 | Bosnia and Herzegovina | 18.90 | 2013 |
| 376 | Macedonia | 18.80 | 31 September 2013 est. |
| 377 | Netherlands | 18.80 | 2011 est. |
| 378 | Iraq | 18.70 | 2008 est. |
| 379 | Panama | 18.60 | 2009 est. |
| 380 | Singapore | 18.60 | 2013 |
| 381 | Paraguay | 18.50 | 2008 |
| 382 | Tunisia | 18.30 | 2009 est. |
| 383 | United Kingdom | 18.20 | 2006 est. |
| 384 | Belize | 18.10 | 2007 |
| 385 | Israel | 18.10 | 2012 est. |
| 386 | Nepal | 18.00 | 2010 est. |
| 387 | Saint Pierre and Miquelon | 18.00 | 1996 |
| 388 | Anguilla | 18.00 | 2000 est. |
| 389 | Guinea-Bissau | 18.00 | 2000 est. |
| 390 | Nicaragua | 18.00 | 2011 est. |
| 391 | Ecuador | 17.80 | 2012 |
| 392 | United States | 17.60 | 2009 |
| 393 | Peru | 17.40 | 2011 |
| 394 | Cuba | 17.10 | 2011 |
