CIA - The World Factbook --  Electricity - production   

This entry is the annual electricity generated expressed in kilowatt-hours. The discrepancy between the amount of electricity generated and/or imported and the amount consumed and/or exported is accounted for as loss in transmission and distribution.

| Rank | country | (kWh) | Date of Information |
| 108 | Cameroon | 5,601,000,000 | 2007 est. |
| 109 | Armenia | 5,584,000,000 | 2007 est. |
| 110 | El Salvador | 5,559,000,000 | 2007 est. |
| 111 | Bolivia | 5,495,000,000 | 2007 est. |
| 112 | Cote d'Ivoire | 5,275,000,000 | 2007 est. |
| 113 | Kenya | 5,223,000,000 | 2008 est. |
| 114 | Latvia | 4,620,000,000 | 2007 est. |
| 115 | Cyprus | 4,502,000,000 | 2007 est. |
| 116 | Sudan | 4,341,000,000 | 2007 est. |
| 117 | Mongolia | 4,030,000,000 | 2009 |
| 118 | Tanzania | 3,786,000,000 | 2007 est. |
| 119 | Angola | 3,722,000,000 | 2007 est. |
| 120 | Moldova | 3,617,000,000 | 2007 est. |
| 121 | Ethiopia | 3,460,000,000 | 2007 est. |
| 122 | Nicaragua | 3,286,000,000 | 2007 est. |
| 123 | Brunei | 3,069,000,000 | 2008 |
| 124 | Albania | 2,888,000,000 | 2007 est. |
| 125 | Papua New Guinea | 2,885,000,000 | 2007 est. |
| 126 | Montenegro | 2,864,000,000 | 2005 est. |
| 127 | Luxembourg | 2,696,000,000 | 2007 est. |
| 128 | Nepal | 2,600,000,000 | 2009 est. |
| 129 | Mauritius | 2,321,000,000 | 2007 est. |
| 130 | Uganda | 2,256,000,000 | 2007 est. |
| 131 | Malta | 2,146,000,000 | 2007 est. |
| 132 | Bahamas, The | 2,045,000,000 | 2007 est. |
| 133 | Senegal | 1,880,000,000 | 2007 est. |
| 134 | New Caledonia | 1,825,000,000 | 2007 est. |
| 135 | Gabon | 1,774,000,000 | 2007 est. |
| 136 | Malawi | 1,690,000,000 | 2007 est. |
| 137 | Laos | 1,656,000,000 | 2009 est. |
| 138 | Suriname | 1,605,000,000 | 2007 est. |
| 139 | Namibia | 1,491,000,000 | 2009 est. |
| 140 | Bhutan | 1,480,000,000 | 2009 est. |
| 141 | Macau | 1,424,000,000 | 2009 est. |
| 142 | Cambodia | 1,273,000,000 | 2007 est. |
| 143 | Botswana | 1,052,000,000 | 2007 est. |
| 144 | Madagascar | 1,045,000,000 | 2007 est. |
| 145 | Barbados | 1,003,000,000 | 2007 est. |
| 146 | Fiji | 928,000,000 | 2007 est. |
| 147 | Aruba | 850,000,000 | 2007 est. |
| 148 | Guinea | 850,000,000 | 2007 est. |
| 149 | Kosovo | 832,000,000 | 2006 |
| 150 | Guyana | 821,000,000 | 2007 est. |
| 151 | Virgin Islands | 776,400,000 | 2007 est. |
| 152 | Bermuda | 675,600,000 | 2007 est. |
| 153 | Haiti | 665,000,000 | 2010 est. |
| 154 | French Polynesia | 650,000,000 | 2007 est. |
| 155 | Burkina Faso | 611,600,000 | 2007 est. |
| 156 | Cayman Islands | 546,000,000 | 2007 est. |
| 157 | Maldives | 542,000,000 | 2009 est. |
| 158 | Mali | 515,000,000 | 2007 est. |
| 159 | Lesotho | 502,000,000 | 2007 est. |
