CIA - The World Factbook --  Refined petroleum products - imports   

This entry is the country's total imports of refined petroleum products, in barrels per day (bbl/day).

| Rank | country | (bbl/day) | Date of Information |
| --- | --- | --- | --- |
| 1 | World | 21,610,000 | 2008 est. |
| 2 | European Union | 8,613,000 | 2009 est. |
| 3 | Netherlands | 1,610,000 | 2009 est. |
| 4 | China | 1,571,000 | 2011 est. |
| 5 | Singapore | 1,489,000 | 2008 est. |
| 6 | United States | 1,255,000 | 2009 est. |
| 7 | Japan | 949,800 | 2009 est. |
| 8 | France | 778,400 | 2009 est. |
| 9 | Korea, South | 753,900 | 2009 est. |
| 10 | Germany | 696,400 | 2009 est. |
| 11 | Spain | 528,400 | 2009 est. |
| 12 | Mexico | 496,000 | 2009 est. |
| 13 | United Kingdom | 493,500 | 2009 est. |
| 14 | Indonesia | 407,700 | 2008 est. |
| 15 | Italy | 393,300 | 2010 est. |
| 16 | India | 380,900 | 2008 est. |
| 17 | United Arab Emirates | 377,300 | 2008 est. |
| 18 | Hong Kong | 375,000 | 2008 est. |
| 19 | Belgium | 370,800 | 2009 est. |
| 20 | Australia | 332,900 | 2009 est. |
| 21 | Brazil | 325,400 | 2008 est. |
| 22 | Taiwan | 297,500 | 2008 est. |
| 23 | Turkey | 297,400 | 2009 est. |
| 24 | Curacao | 291,700 | 2009 est. |
| 25 | Canada | 282,200 | 2009 est. |
| 26 | Vietnam | 227,000 | 2008 est. |
| 27 | Pakistan | 195,700 | 2008 est. |
| 28 | Iran | 187,200 | 2008 est. |
| 29 | Malaysia | 178,200 | 2008 est. |
| 30 | Denmark | 177,700 | 2009 est. |
| 31 | Switzerland | 176,500 | 2009 est. |
| 32 | Hungary | 171,600 | 2009 est. |
| 33 | Sweden | 166,000 | 2009 est. |
| 34 | Ireland | 166,000 | 2009 est. |
| 35 | Chile | 165,900 | 2008 est. |
| 36 | Saudi Arabia | 160,100 | 2010 est. |
| 37 | Austria | 158,300 | 2010 est. |
| 38 | Puerto Rico | 149,100 | 2008 est. |
| 39 | Ukraine | 148,900 | 2008 est. |
| 40 | Iraq | 144,100 | 2008 est. |
| 41 | Greece | 140,800 | 2009 est. |
| 42 | Philippines | 134,200 | 2008 est. |
| 43 | Nigeria | 133,400 | 2008 est. |
| 44 | Poland | 129,800 | 2009 est. |
| 45 | Venezuela | 116,400 | 2008 est. |
| 46 | Egypt | 114,600 | 2008 est. |
| 47 | Morocco | 107,000 | 2008 est. |
| 48 | Finland | 103,100 | 2009 est. |
| 49 | Lebanon | 102,300 | 2008 est. |
| 50 | Norway | 98,340 | 2009 est. |
| 51 | Kazakhstan | 94,430 | 2008 est. |
