CIA - The World Factbook --  GDP - PER CAPITA (PPP)

GDP - per capita (PPP) compares GDP on a purchasing power parity basis divided by population as of 1 July for the same year.

| Rank | Country | GDP - PER CAPITA (PPP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Liechtenstein | $139,100 | 2009 est. |
| 2 | Qatar | $127,700 | 2016 est. |
| 3 | Monaco | $115,700 | 2015 est. |
| 4 | Luxembourg | $104,000 | 2016 est. |
| 5 | Falkland Islands (Islas Malvinas) | $96,200 | 2012 est. |
| 6 | Macau | $95,100 | 2016 est. |
| 7 | Singapore | $87,900 | 2016 est. |
| 8 | Bermuda | $85,700 | 2013 est. |
| 9 | Isle of Man | $84,600 | 2014 est. |
| 10 | Brunei | $76,900 | 2016 est. |
| 11 | Kuwait | $71,900 | 2016 est. |
| 12 | Ireland | $69,200 | 2016 est. |
| 13 | Norway | $69,200 | 2016 est. |
| 14 | United Arab Emirates | $67,900 | 2016 est. |
| 15 | Sint Maarten | $66,800 | 2014 est. |
| 16 | Gibraltar | $61,700 | 2014 est. |
| 17 | Switzerland | $59,600 | 2016 est. |
| 18 | San Marino | $59,500 | 2016 est. |
| 19 | Hong Kong | $58,300 | 2016 est. |
| 20 | United States | $57,400 | 2016 est. |
| 21 | Saudi Arabia | $55,200 | 2016 est. |
| 22 | Guernsey | $52,500 | 2014 est. |
| 23 | Netherlands | $51,000 | 2016 est. |
| 24 | Bahrain | $50,700 | 2016 est. |
| 25 | Andorra | $49,900 | 2015 est. |
| 26 | Sweden | $49,800 | 2016 est. |
| 27 | Jersey | $49,500 | 2015 est. |
| 28 | Iceland | $49,200 | 2016 est. |
| 29 | Australia | $48,900 | 2016 est. |
| 30 | Taiwan | $48,100 | 2016 est. |
| 31 | Germany | $48,100 | 2016 est. |
| 32 | Austria | $48,000 | 2016 est. |
| 33 | Denmark | $48,000 | 2016 est. |
| 34 | Oman | $46,700 | 2016 est. |
| 35 | Canada | $46,400 | 2016 est. |
| 36 | Belgium | $45,000 | 2016 est. |
| 37 | Cayman Islands | $43,800 | 2004 est. |
| 38 | United Kingdom | $42,500 | 2016 est. |
| 39 | France | $42,300 | 2016 est. |
| 40 | British Virgin Islands | $42,300 | 2010 est. |
| 41 | Finland | $42,200 | 2016 est. |
| 42 | Japan | $41,300 | 2016 est. |
| 43 | Faroe Islands | $40,000 | 2014 est. |
| 44 | Malta | $39,900 | 2016 est. |
| 45 | European Union | $39,200 | 2016 est. |
| 46 | Equatorial Guinea | $38,600 | 2016 est. |
| 47 | Puerto Rico | $38,400 | 2016 est. |
| 48 | Korea, South | $37,700 | 2016 est. |
| 49 | Greenland | $37,600 | 2015 est. |
| 50 | New Zealand | $37,300 | 2016 est. |
| 51 | Italy | $36,800 | 2016 est. |
| 52 | Spain | $36,400 | 2016 est. |
| 53 | Virgin Islands | $36,100 | 2013 est. |
| 54 | Israel | $35,200 | 2016 est. |
| 55 | Cyprus | $35,000 | 2016 est. |
| 56 | Saint Pierre and Miquelon | $34,900 | 2006 est. |
| 57 | Czechia | $33,200 | 2016 est. |
| 58 | Slovenia | $32,100 | 2016 est. |
| 59 | Trinidad and Tobago | $31,900 | 2016 est. |
| 60 | Slovakia | $31,300 | 2016 est. |
| 61 | New Caledonia | $31,100 | 2015 est. |
| 62 | Guam | $30,500 | 2013 est. |
| 63 | Lithuania | $30,000 | 2016 est. |
| 64 | Estonia | $29,300 | 2016 est. |
| 65 | Turks and Caicos Islands | $29,100 | 2007 est. |
| 66 | Portugal | $28,900 | 2016 est. |
| 67 | Poland | $27,800 | 2016 est. |
| 68 | Seychelles | $27,600 | 2016 est. |
| 69 | Hungary | $27,500 | 2016 est. |
| 70 | Malaysia | $27,300 | 2016 est. |
| 71 | Greece | $26,700 | 2016 est. |
| 72 | Russia | $26,500 | 2016 est. |
| 73 | Saint Kitts and Nevis | $26,100 | 2016 est. |
| 74 | Latvia | $25,700 | 2016 est. |
| 75 | Aruba | $25,300 | 2011 est. |
| 76 | Antigua and Barbuda | $25,200 | 2016 est. |
| 77 | Kazakhstan | $25,100 | 2016 est. |
| 78 | Turkey | $24,900 | 2016 est. |
| 79 | Bahamas, The | $24,600 | 2016 est. |
| 80 | Chile | $24,100 | 2016 est. |
| 81 | Panama | $23,000 | 2016 est. |
| 82 | Croatia | $22,800 | 2016 est. |
| 83 | Romania | $22,300 | 2016 est. |
| 84 | Uruguay | $21,500 | 2016 est. |
| 85 | Mauritius | $20,400 | 2016 est. |
| 86 | Bulgaria | $20,300 | 2016 est. |
| 87 | Argentina | $20,000 | 2016 est. |
| 88 | Saint Martin | $19,300 | 2005 est. |
| 89 | Gabon | $19,100 | 2016 est. |
| 90 | Mexico | $18,900 | 2016 est. |
| 91 | Lebanon | $18,500 | 2016 est. |
| 92 | Iran | $18,100 | 2016 est. |
| 93 | Belarus | $18,000 | 2016 est. |
| 94 | Iraq | $17,900 | 2016 est. |
| 95 | Turkmenistan | $17,500 | 2016 est. |
| 96 | Azerbaijan | $17,400 | 2016 est. |
| 97 | Barbados | $17,100 | 2016 est. |
| 98 | French Polynesia | $17,000 | 2015 est. |
| 99 | Botswana | $17,000 | 2016 est. |
| 100 | Thailand | $16,900 | 2016 est. |
| 101 | Montenegro | $16,600 | 2016 est. |
| 102 | Costa Rica | $16,400 | 2016 est. |
| 103 | Dominican Republic | $16,000 | 2016 est. |
| 104 | Maldives | $15,500 | 2016 est. |
| 105 | Palau | $15,400 | 2016 est. |
| 106 | China | $15,400 | 2016 est. |
| 107 | Brazil | $15,200 | 2016 est. |
| 108 | Algeria | $15,000 | 2016 est. |
| 109 | Curacao | $15,000 | 2004 est. |
| 110 | Macedonia | $14,600 | 2016 est. |
| 111 | Serbia | $14,500 | 2016 est. |
| 112 | Colombia | $14,100 | 2016 est. |
| 113 | Grenada | $14,100 | 2016 est. |
| 114 | Suriname | $14,000 | 2016 est. |
| 115 | Venezuela | $13,800 | 2016 est. |
| 116 | Northern Mariana Islands | $13,300 | 2013 est. |
| 117 | South Africa | $13,200 | 2016 est. |
| 118 | American Samoa | $13,000 | 2013 est. |
| 119 | Peru | $12,900 | 2016 est. |
| 120 | Egypt | $12,600 | 2016 est. |
| 121 | Mongolia | $12,300 | 2016 est. |
| 122 | Cook Islands | $12,300 | 2010 est. |
| 123 | Jordan | $12,300 | 2016 est. |
