CIA - The World Factbook --  GDP - per capita (PPP)   

This entry shows GDP on a purchasing power parity basis divided by population as of 1 July for the same year.

| Rank | country | GDP - per capita (PPP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Qatar | $ 100,900 | 2012 est. |
| 2 | Liechtenstein | $ 89,400 | 2009 est. |
| 3 | Bermuda | $ 86,000 | 2011 est. |
| 4 | Macau | $ 82,400 | 2011 est. |
| 5 | Luxembourg | $ 78,000 | 2012 est. |
| 6 | Monaco | $ 70,600 | 2011 |
| 7 | Singapore | $ 60,800 | 2012 est. |
| 8 | Jersey | $ 57,000 | 2005 est. |
| 9 | Falkland Islands (Islas Malvinas) | $ 55,400 | 2002 est. |
| 10 | Norway | $ 54,400 | 2012 est. |
| 11 | Brunei | $ 54,100 | 2012 est. |
| 12 | Isle of Man | $ 53,800 | 2007 est. |
| 13 | United States | $ 51,700 | 2012 est. |
| 14 | Hong Kong | $ 50,900 | 2012 est. |
| 15 | Switzerland | $ 44,900 | 2012 est. |
| 16 | Guernsey | $ 44,600 | 2005 |
| 17 | Cayman Islands | $ 43,800 | 2004 est. |
| 18 | Gibraltar | $ 43,000 | 2006 est. |
| 19 | Austria | $ 42,600 | 2012 est. |
| 20 | British Virgin Islands | $ 42,300 | 2010 est. |
| 21 | Canada | $ 42,300 | 2012 est. |
| 22 | Australia | $ 42,000 | 2012 est. |
| 23 | Netherlands | $ 41,500 | 2012 est. |
| 24 | Ireland | $ 40,700 | 2012 est. |
| 25 | Sweden | $ 40,300 | 2012 est. |
| 26 | Kuwait | $ 39,900 | 2012 est. |
| 27 | Iceland | $ 39,700 | 2012 est. |
| 28 | Germany | $ 38,700 | 2012 est. |
| 29 | Taiwan | $ 38,400 | 2012 est. |
| 30 | New Caledonia | $ 37,700 | 2008 est. |
| 31 | Belgium | $ 37,500 | 2012 est. |
| 32 | Greenland | $ 37,400 | 2008 est. |
| 33 | Denmark | $ 37,300 | 2012 est. |
| 34 | Andorra | $ 37,200 | 2011 est. |
| 35 | United Kingdom | $ 36,600 | 2012 est. |
| 36 | Japan | $ 35,900 | 2012 est. |
| 37 | Finland | $ 35,800 | 2012 est. |
| 38 | France | $ 35,300 | 2012 est. |
| 39 | Saint Pierre and Miquelon | $ 34,900 | 2006 est. |
| 40 | European Union | $ 34,100 | 2012 est. |
| 41 | Israel | $ 33,900 | 2012 est. |
| 42 | Korea, South | $ 31,900 | 2012 est. |
| 43 | Bahamas, The | $ 31,300 | 2012 est. |
| 44 | Faroe Islands | $ 30,500 | 2008 est. |
| 45 | Saudi Arabia | $ 30,500 | 2012 est. |
| 46 | Spain | $ 30,100 | 2012 est. |
| 47 | Italy | $ 29,800 | 2012 est. |
| 48 | New Zealand | $ 29,500 | 2012 est. |
| 49 | United Arab Emirates | $ 29,200 | 2012 est. |
| 50 | Turks and Caicos Islands | $ 29,100 | 2007 est. |
| 51 | Oman | $ 28,800 | 2012 est. |
| 52 | Bahrain | $ 28,700 | 2012 est. |
| 53 | Guam | $ 28,700 | 2010 est. |
| 54 | Slovenia | $ 27,800 | 2012 est. |
| 55 | Czech Republic | $ 27,000 | 2012 est. |
| 56 | Malta | $ 26,900 | 2012 est. |
| 57 | Cyprus | $ 26,800 | 2012 est. |
| 58 | Equatorial Guinea | $ 26,500 | 2012 est. |
| 59 | Aruba | $ 25,300 | 2011 est. |
| 60 | Seychelles | $ 25,000 | 2012 est. |
| 61 | Barbados | $ 25,000 | 2012 est. |
