CIA - The World Factbook --  GDP - per capita (PPP)   

This entry shows GDP on a purchasing power parity basis divided by population as of 1 July for the same year.

| Rank | country | GDP - per capita (PPP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Qatar | $ 102,800 | 2012 est. |
| 2 | Liechtenstein | $ 89,400 | 2009 est. |
| 3 | Luxembourg | $ 80,700 | 2012 est. |
| 4 | Macau | $ 74,900 | 2011 est. |
| 5 | Bermuda | $ 69,900 | 2004 est. |
| 6 | Singapore | $ 60,900 | 2012 est. |
| 7 | Jersey | $ 57,000 | 2005 est. |
| 8 | Falkland Islands (Islas Malvinas) | $ 55,400 | 2002 est. |
| 9 | Norway | $ 55,300 | 2012 est. |
| 10 | Hong Kong | $ 50,700 | 2012 est. |
| 11 | Brunei | $ 50,500 | 2012 est. |
| 12 | United States | $ 49,800 | 2012 est. |
| 13 | United Arab Emirates | $ 49,000 | 2012 est. |
| 14 | Switzerland | $ 45,300 | 2012 est. |
| 15 | Guernsey | $ 44,600 | 2005 |
| 16 | Kuwait | $ 43,800 | 2012 est. |
| 17 | Cayman Islands | $ 43,800 | 2004 est. |
| 18 | Gibraltar | $ 43,000 | 2006 est. |
| 19 | Austria | $ 42,500 | 2012 est. |
| 20 | Australia | $ 42,400 | 2012 est. |
| 21 | Netherlands | $ 42,300 | 2012 est. |
| 22 | Sweden | $ 41,700 | 2012 est. |
| 23 | Ireland | $ 41,700 | 2012 est. |
| 24 | Canada | $ 41,500 | 2012 est. |
| 25 | Iceland | $ 39,400 | 2012 est. |
| 26 | Germany | $ 39,100 | 2012 est. |
| 27 | Taiwan | $ 38,500 | 2012 est. |
| 28 | British Virgin Islands | $ 38,500 | 2004 est. |
| 29 | Belgium | $ 38,100 | 2012 est. |
| 30 | Denmark | $ 37,700 | 2012 est. |
| 31 | Greenland | $ 37,400 | 2008 est. |
| 32 | Andorra | $ 37,200 | 2011 est. |
| 33 | United Kingdom | $ 36,700 | 2012 est. |
| 34 | Finland | $ 36,500 | 2012 est. |
| 35 | Japan | $ 36,200 | 2012 est. |
| 36 | San Marino | $ 36,200 | 2009 |
| 37 | France | $ 35,500 | 2012 est. |
| 38 | Isle of Man | $ 35,000 | 2005 est. |
| 39 | European Union | $ 34,500 | 2012 est. |
| 40 | Korea, South | $ 32,400 | 2012 est. |
| 41 | Israel | $ 32,200 | 2012 est. |
| 42 | Bahamas, The | $ 31,300 | 2012 est. |
| 43 | Faroe Islands | $ 30,500 | 2008 est. |
| 44 | Spain | $ 30,400 | 2012 est. |
| 45 | Italy | $ 30,100 | 2012 est. |
| 46 | New Zealand | $ 28,800 | 2012 est. |
| 47 | Slovenia | $ 28,600 | 2012 est. |
| 48 | Oman | $ 28,500 | 2012 est. |
| 49 | Bahrain | $ 28,200 | 2012 est. |
| 50 | Czech Republic | $ 27,200 | 2012 est. |
| 51 | Cyprus | $ 26,900 | 2012 est. |
| 52 | Seychelles | $ 26,200 | 2012 est. |
| 53 | Malta | $ 26,100 | 2012 est. |
| 54 | Saudi Arabia | $ 25,700 | 2012 est. |
| 55 | Barbados | $ 25,500 | 2012 est. |
| 56 | Greece | $ 25,100 | 2012 est. |
| 57 | Slovakia | $ 24,300 | 2012 est. |
| 58 | Portugal | $ 23,000 | 2012 est. |
| 59 | Aruba | $ 21,800 | 2004 est. |
| 60 | Estonia | $ 21,200 | 2012 est. |
| 61 | Poland | $ 21,000 | 2012 est. |
| 62 | Trinidad and Tobago | $ 20,400 | 2012 est. |
| 63 | Equatorial Guinea | $ 20,200 | 2012 est. |
| 64 | Lithuania | $ 20,100 | 2012 est. |
| 65 | Hungary | $ 19,800 | 2012 est. |
| 66 | Chile | $ 18,400 | 2012 est. |
| 67 | Argentina | $ 18,200 | 2012 est. |
| 68 | Latvia | $ 18,100 | 2012 est. |
| 69 | Croatia | $ 18,100 | 2012 est. |
| 70 | French Polynesia | $ 18,000 | 2004 est. |
| 71 | Russia | $ 17,700 | 2012 est. |
| 72 | Antigua and Barbuda | $ 17,500 | 2012 est. |
| 73 | Gabon | $ 17,300 | 2012 est. |
| 74 | Malaysia | $ 16,900 | 2012 est. |
| 75 | Botswana | $ 16,800 | 2012 est. |
| 76 | Puerto Rico | $ 16,300 | 2010 est. |
| 77 | Belarus | $ 16,000 | 2012 est. |
| 78 | Lebanon | $ 15,900 | 2012 est. |
| 79 | Uruguay | $ 15,800 | 2012 est. |
| 80 | Mauritius | $ 15,600 | 2012 est. |
| 81 | Saint Kitts and Nevis | $ 15,500 | 2012 est. |
| 82 | Sint Maarten | $ 15,400 | 2008 est. |
| 83 | Panama | $ 15,300 | 2012 est. |
| 84 | Mexico | $ 15,300 | 2012 est. |
| 85 | New Caledonia | $ 15,000 | 2003 est. |
| 86 | Guam | $ 15,000 | 2005 est. |
| 87 | Curacao | $ 15,000 | 2004 est. |
| 88 | Turkey | $ 15,000 | 2012 est. |
| 89 | Dominica | $ 14,600 | 2012 est. |
| 90 | Virgin Islands | $ 14,500 | 2004 est. |
| 91 | Bulgaria | $ 14,200 | 2012 est. |
| 92 | Grenada | $ 14,100 | 2012 est. |
| 93 | Kazakhstan | $ 13,900 | 2012 est. |
