CIA - The World Factbook --  GDP - per capita (PPP)   

This entry shows GDP on a purchasing power parity basis divided by population as of 1 July for the same year.

| Rank | country | GDP - per capita (PPP) | Date of Information |
| 116 | Cook Islands | $ 9,100 | 2005 est. |
| 117 | Angola | $ 8,700 | 2010 est. |
| 118 | Thailand | $ 8,700 | 2010 est. |
| 119 | Dominican Republic | $ 8,600 | 2010 est. |
| 120 | Belize | $ 8,400 | 2010 est. |
| 121 | Jamaica | $ 8,400 | 2010 est. |
| 122 | Palau | $ 8,100 | 2008 est. |
| 123 | Albania | $ 8,000 | 2010 est. |
| 124 | American Samoa | $ 8,000 | 2007 est. |
| 125 | Ecuador | $ 7,800 | 2010 est. |
| 126 | Algeria | $ 7,400 | 2010 est. |
| 127 | China | $ 7,400 | 2010 est. |
| 128 | Turkmenistan | $ 7,400 | 2010 est. |
| 129 | El Salvador | $ 7,300 | 2010 est. |
| 130 | Saint Pierre and Miquelon | $ 7,000 | 2001 est. |
| 131 | Namibia | $ 6,900 | 2010 est. |
| 132 | Guyana | $ 6,800 | 2010 est. |
| 133 | Ukraine | $ 6,700 | 2010 est. |
| 134 | Bosnia and Herzegovina | $ 6,600 | 2010 est. |
| 135 | Tonga | $ 6,300 | 2010 est. |
| 136 | Egypt | $ 6,200 | 2010 est. |
| 137 | Kiribati | $ 6,200 | 2010 est. |
| 138 | Armenia | $ 5,800 | 2010 est. |
| 139 | Niue | $ 5,800 | 2003 est. |
| 140 | Vanuatu | $ 5,500 | 2010 est. |
| 141 | Jordan | $ 5,300 | 2010 est. |
| 142 | Guatemala | $ 5,200 | 2010 est. |
| 143 | Samoa | $ 5,200 | 2010 est. |
| 144 | Bhutan | $ 5,000 | 2010 est. |
| 145 | Nauru | $ 5,000 | 2005 est. |
| 146 | Mayotte | $ 4,900 | 2005 est. |
| 147 | Morocco | $ 4,900 | 2010 est. |
| 148 | Sri Lanka | $ 4,900 | 2010 est. |
| 149 | Paraguay | $ 4,900 | 2010 est. |
| 150 | Bolivia | $ 4,800 | 2010 est. |
| 151 | Syria | $ 4,800 | 2010 est. |
| 152 | Georgia | $ 4,800 | 2010 est. |
| 153 | Maldives | $ 4,500 | 2010 est. |
| 154 | Swaziland | $ 4,500 | 2010 est. |
| 155 | Fiji | $ 4,300 | 2010 est. |
| 156 | Indonesia | $ 4,300 | 2010 est. |
| 157 | Congo, Republic of the | $ 4,200 | 2010 est. |
| 158 | Honduras | $ 4,200 | 2010 est. |
| 159 | Wallis and Futuna | $ 3,800 | 2004 est. |
| 160 | Cape Verde | $ 3,700 | 2010 est. |
| 161 | Iraq | $ 3,600 | 2010 est. |
| 162 | Philippines | $ 3,500 | 2010 est. |
| 163 | India | $ 3,400 | 2010 est. |
| 164 | Montserrat | $ 3,400 | 2002 est. |
| 165 | Mongolia | $ 3,300 | 2010 est. |
| 166 | Uzbekistan | $ 3,100 | 2010 est. |
| 167 | Vietnam | $ 3,100 | 2010 est. |
| 168 | Nicaragua | $ 2,900 | 2010 est. |
| 169 | West Bank | $ 2,900 | 2008 est. |
| 170 | Djibouti | $ 2,800 | 2010 est. |
| 171 | Solomon Islands | $ 2,800 | 2010 est. |
| 172 | Timor-Leste | $ 2,600 | 2010 est. |
| 173 | Yemen | $ 2,600 | 2010 est. |
| 174 | Kosovo | $ 2,500 | 2007 |
| 175 | Western Sahara | $ 2,500 | 2007 est. |
| 176 | Papua New Guinea | $ 2,500 | 2010 est. |
| 177 | Saint Helena, Ascension, and Tristan da Cunha | $ 2,500 | 1998 est. |
| 178 | Moldova | $ 2,500 | 2010 est. |
| 179 | Marshall Islands | $ 2,500 | 2008 est. |
| 180 | Laos | $ 2,400 | 2010 est. |
| 181 | Pakistan | $ 2,400 | 2010 est. |
| 182 | Nigeria | $ 2,400 | 2010 est. |
| 183 | Cameroon | $ 2,300 | 2010 est. |
| 184 | Kyrgyzstan | $ 2,200 | 2010 est. |
| 185 | Micronesia, Federated States of | $ 2,200 | 2008 est. |
| 186 | Sudan | $ 2,200 | 2010 est. |
| 187 | Mauritania | $ 2,100 | 2010 est. |
| 188 | Cambodia | $ 2,000 | 2010 est. |
| 189 | Tajikistan | $ 2,000 | 2010 est. |
| 190 | Gambia, The | $ 1,900 | 2010 est. |
| 191 | Senegal | $ 1,900 | 2010 est. |
| 192 | Chad | $ 1,800 | 2010 est. |
| 193 | Sao Tome and Principe | $ 1,800 | 2010 est. |
| 194 | Cote d'Ivoire | $ 1,800 | 2010 est. |
| 195 | Korea, North | $ 1,800 | 2009 est. |
| 196 | Bangladesh | $ 1,700 | 2010 est. |
| 197 | Lesotho | $ 1,700 | 2010 est. |
| 198 | Benin | $ 1,600 | 2010 est. |
| 199 | Tuvalu | $ 1,600 | 2002 est. |
| 200 | Kenya | $ 1,600 | 2010 est. |
| 201 | Ghana | $ 1,600 | 2010 est. |
| 202 | Tanzania | $ 1,500 | 2010 est. |
| 203 | Zambia | $ 1,500 | 2010 est. |
| 204 | Burkina Faso | $ 1,200 | 2010 est. |
| 205 | Haiti | $ 1,200 | 2010 est. |
| 206 | Mali | $ 1,200 | 2010 est. |
| 207 | Uganda | $ 1,200 | 2010 est. |
| 208 | Nepal | $ 1,200 | 2010 est. |
| 209 | Burma | $ 1,100 | 2010 est. |
| 210 | Guinea-Bissau | $ 1,100 | 2010 est. |
| 211 | Rwanda | $ 1,100 | 2010 est. |
| 212 | Afghanistan | $ 1,000 | 2010 est. |
| 213 | Guinea | $ 1,000 | 2010 est. |
| 214 | Ethiopia | $ 1,000 | 2010 est. |
| 215 | Tokelau | $ 1,000 | 1993 est. |
| 216 | Comoros | $ 1,000 | 2010 est. |
| 217 | Madagascar | $ 1,000 | 2010 est. |
| 218 | Mozambique | $ 1,000 | 2010 est. |
| 219 | Malawi | $ 900 | 2010 est. |
| 220 | Togo | $ 900 | 2010 est. |
| 221 | Sierra Leone | $ 900 | 2010 est. |
| 222 | Central African Republic | $ 700 | 2010 est. |
| 223 | Eritrea | $ 700 | 2010 est. |
| 224 | Niger | $ 700 | 2010 est. |
| 225 | Somalia | $ 600 | 2010 est. |
| 226 | Liberia | $ 500 | 2010 est. |
| 227 | Zimbabwe | $ 400 | 2010 est. |
| 228 | Burundi | $ 300 | 2010 est. |
| 229 | Congo, Democratic Republic of the | $ 300 | 2010 est. |
