CIA - The World Factbook --  GDP - PER CAPITA (PPP)

GDP - per capita (PPP) compares GDP on a purchasing power parity basis divided by population as of 1 July for the same year.

| Rank | Country | GDP - PER CAPITA (PPP) | Date of Information |
| 115 | South Africa | $12,700 | 2014 est. |
| 116 | Serbia | $12,500 | 2014 est. |
| 117 | Maldives | $12,400 | 2014 est. |
| 118 | Anguilla | $12,200 | 2008 est. |
| 119 | Peru | $12,000 | 2014 est. |
| 120 | Jordan | $11,900 | 2014 est. |
| 121 | Grenada | $11,800 | 2014 est. |
| 122 | Tunisia | $11,400 | 2014 est. |
| 123 | Ecuador | $11,400 | 2014 est. |
| 124 | Saint Lucia | $11,100 | 2014 est. |
| 125 | Albania | $11,100 | 2014 est. |
| 126 | Egypt | $11,100 | 2014 est. |
| 127 | Saint Vincent and the Grenadines | $10,900 | 2014 est. |
| 128 | Namibia | $10,800 | 2014 est. |
| 129 | Dominica | $10,700 | 2014 est. |
| 130 | Sri Lanka | $10,400 | 2014 est. |
| 131 | Cuba | $10,200 | 2010 est. |
| 132 | Mongolia | $10,200 | 2014 est. |
| 133 | Indonesia | $10,200 | 2014 est. |
| 134 | Bosnia and Herzegovina | $9,800 | 2014 est. |
| 135 | Cook Islands | $9,100 | 2005 est. |
| 136 | Jamaica | $8,700 | 2014 est. |
| 137 | Montserrat | $8,500 | 2006 est. |
| 138 | Paraguay | $8,400 | 2014 est. |
| 139 | Ukraine | $8,200 | 2014 est. |
| 140 | Fiji | $8,200 | 2014 est. |
| 141 | Angola | $8,200 | 2014 est. |
| 142 | Belize | $8,100 | 2014 est. |
| 143 | El Salvador | $8,000 | 2014 est. |
| 144 | Kosovo | $8,000 | 2014 est. |
| 145 | American Samoa | $8,000 | 2007 est. |
| 146 | Saint Helena, Ascension, and Tristan da Cunha | $7,800 | FY09/10 est. |
| 147 | Swaziland | $7,800 | 2014 est. |
| 148 | Bhutan | $7,700 | 2014 est. |
| 149 | Georgia | $7,700 | 2014 est. |
| 150 | Morocco | $7,700 | 2014 est. |
| 151 | Guatemala | $7,500 | 2014 est. |
| 152 | Armenia | $7,400 | 2014 est. |
| 153 | Philippines | $7,000 | 2014 est. |
| 154 | Guyana | $6,900 | 2014 est. |
| 155 | Timor-Leste | $6,800 | 2014 est. |
| 156 | Congo, Republic of the | $6,600 | 2014 est. |
| 157 | Cabo Verde | $6,300 | 2014 est. |
| 158 | Bolivia | $6,200 | 2014 est. |
| 159 | Nigeria | $6,100 | 2014 est. |
| 160 | India | $5,800 | 2014 est. |
| 161 | Niue | $5,800 | 2003 est. |
| 162 | Uzbekistan | $5,600 | 2014 est. |
| 163 | Vietnam | $5,600 | 2014 est. |
| 164 | Samoa | $5,200 | 2014 est. |
| 165 | Syria | $5,100 | 2011 est. |
| 166 | Tonga | $5,000 | 2014 est. |
| 167 | Laos | $5,000 | 2014 est. |
| 168 | Nauru | $5,000 | 2005 est. |
| 169 | West Bank | $4,900 | 2012 est. |
| 170 | Burma | $4,800 | 2014 est. |
| 171 | Moldova | $4,800 | 2014 est. |
| 172 | Nicaragua | $4,800 | 2014 est. |
| 173 | Honduras | $4,700 | 2014 est. |
| 174 | Pakistan | $4,700 | 2014 est. |
| 175 | Sudan | $4,500 | 2014 est. |
| 176 | Ghana | $4,200 | 2014 est. |
| 177 | Zambia | $4,100 | 2014 est. |
| 178 | Yemen | $3,900 | 2014 est. |
| 179 | Wallis and Futuna | $3,800 | 2004 est. |
| 180 | Bangladesh | $3,400 | 2014 est. |
| 181 | Kyrgyzstan | $3,400 | 2014 est. |
| 182 | Mauritania | $3,400 | 2014 est. |
| 183 | Cambodia | $3,300 | 2014 est. |
| 184 | Micronesia, Federated States of | $3,200 | 2014 est. |
| 185 | Marshall Islands | $3,200 | 2014 est. |
| 186 | Tuvalu | $3,200 | 2014 est. |
| 187 | Kenya | $3,100 | 2014 est. |
| 188 | Sao Tome and Principe | $3,100 | 2014 est. |
| 189 | Cameroon | $3,000 | 2014 est. |
| 190 | Djibouti | $3,000 | 2014 est. |
| 191 | Cote d'Ivoire | $2,900 | 2014 est. |
| 192 | Lesotho | $2,900 | 2014 est. |
| 193 | Tajikistan | $2,700 | 2014 est. |
| 194 | Chad | $2,600 | 2014 est. |
| 195 | Vanuatu | $2,500 | 2014 est. |
| 196 | Western Sahara | $2,500 | 2007 est. |
| 197 | Nepal | $2,400 | 2014 est. |
| 198 | Papua New Guinea | $2,400 | 2014 est. |
| 199 | Senegal | $2,300 | 2014 est. |
| 200 | Sierra Leone | $2,100 | 2014 est. |
| 201 | Afghanistan | $2,000 | 2014 est. |
| 202 | South Sudan | $2,000 | 2014 est. |
| 203 | Zimbabwe | $2,000 | 2014 est. |
| 204 | Tanzania | $1,900 | 2014 est. |
| 205 | Benin | $1,900 | 2014 est. |
| 206 | Solomon Islands | $1,800 | 2014 est. |
| 207 | Haiti | $1,800 | 2014 est. |
| 208 | Korea, North | $1,800 | 2013 est. |
| 209 | Uganda | $1,800 | 2014 est. |
| 210 | Gambia, The | $1,700 | 2014 est. |
| 211 | Rwanda | $1,700 | 2014 est. |
| 212 | Burkina Faso | $1,700 | 2014 est. |
| 213 | Comoros | $1,700 | 2014 est. |
| 214 | Kiribati | $1,600 | 2014 est. |
| 215 | Mali | $1,600 | 2014 est. |
| 216 | Togo | $1,500 | 2014 est. |
| 217 | Ethiopia | $1,500 | 2014 est. |
| 218 | Madagascar | $1,400 | 2014 est. |
| 219 | Guinea-Bissau | $1,400 | 2014 est. |
| 220 | Guinea | $1,300 | 2014 est. |
| 221 | Eritrea | $1,200 | 2014 est. |
| 222 | Mozambique | $1,100 | 2014 est. |
| 223 | Niger | $1,000 | 2014 est. |
| 224 | Tokelau | $1,000 | 1993 est. |
| 225 | Liberia | $900 | 2014 est. |
| 226 | Burundi | $900 | 2014 est. |
| 227 | Malawi | $800 | 2014 est. |
| 228 | Congo, Democratic Republic of the | $700 | 2014 est. |
| 229 | Somalia | $600 | 2010 est. |
| 230 | Central African Republic | $600 | 2014 est. |


