CIA - The World Factbook --  GDP - PER CAPITA (PPP)

GDP - per capita (PPP) compares GDP on a purchasing power parity basis divided by population as of 1 July for the same year.

| Rank | Country | GDP - PER CAPITA (PPP) | Date of Information |
| --- | --- | --- | --- |
  1      Qatar                                                                    
| 2 | Luxembourg | $92,400 | 2014 est. |
| 3 | Liechtenstein | $89,400 | 2009 est. |
| 4 | Macau | $88,700 | 2013 est. |
| 5 | Bermuda | $86,000 | 2011 est. |
| 6 | Isle of Man | $83,100 | 2007 est. |
| 7 | Singapore | $81,300 | 2014 est. |
| 8 | Monaco | $78,700 | 2013 est. |
| 9 | Brunei | $77,700 | 2014 est. |
| 10 | Kuwait | $71,000 | 2014 est. |
| 11 | Sint Maarten | $66,800 | 2014 est. |
| 12 | Norway | $65,900 | 2014 est. |
| 13 | United Arab Emirates | $65,000 | 2014 est. |
| 14 | Jersey | $57,000 | 2005 est. |
| 15 | Falkland Islands (Islas Malvinas) | $55,400 | 2002 est. |
| 16 | Switzerland | $55,200 | 2014 est. |
| 17 | Hong Kong | $55,200 | 2014 est. |
| 18 | San Marino | $55,000 | 2013 est. |
| 19 | United States | $54,800 | 2014 est. |
| 20 | Saudi Arabia | $52,800 | 2014 est. |
| 21 | Bahrain | $51,400 | 2014 est. |
| 22 | Netherlands | $47,400 | 2014 est. |
| 23 | Ireland | $46,800 | 2014 est. |
| 24 | Australia | $46,600 | 2014 est. |
| 25 | Austria | $45,400 | 2014 est. |
| 26 | Sweden | $44,700 | 2014 est. |
| 27 | Germany | $44,700 | 2014 est. |
| 28 | Guernsey | $44,600 | 2005 est. |
| 29 | Canada | $44,500 | 2014 est. |
| 30 | Denmark | $44,300 | 2014 est. |
| 31 | Oman | $44,100 | 2014 est. |
| 32 | Cayman Islands | $43,800 | 2004 est. |
| 33 | Taiwan | $43,600 | 2014 est. |
| 34 | Gibraltar | $43,000 | 2008 est. |
| 35 | Iceland | $42,600 | 2014 est. |
| 36 | British Virgin Islands | $42,300 | 2010 est. |
| 37 | Belgium | $41,700 | 2014 est. |
| 38 | Finland | $40,500 | 2014 est. |
| 39 | France | $40,400 | 2014 est. |
| 40 | New Caledonia | $38,800 | 2012 est. |
| 41 | Greenland | $38,400 | 2008 est. |
| 42 | European Union | $38,300 | 2014 est. |
| 43 | Japan | $37,800 | 2014 est. |
| 44 | United Kingdom | $37,700 | 2014 est. |
| 45 | Andorra | $37,200 | 2011 est. |
| 46 | Korea, South | $35,400 | 2014 est. |
| 47 | New Zealand | $35,000 | 2014 est. |
| 48 | Saint Pierre and Miquelon | $34,900 | 2006 est. |
| 49 | Italy | $34,500 | 2014 est. |
| 50 | Israel | $33,400 | 2014 est. |
| 51 | Spain | $33,000 | 2014 est. |
| 52 | Equatorial Guinea | $32,600 | 2014 est. |
| 53 | Malta | $31,700 | 2014 est. |
| 54 | Trinidad and Tobago | $31,300 | 2014 est. |
| 55 | Faroe Islands | $30,500 | 2008 est. |
| 56 | Slovenia | $29,400 | 2014 est. |
| 57 | Turks and Caicos Islands | $29,100 | 2007 est. |
| 58 | Guam | $28,700 | 2010 est. |
| 59 | Czech Republic | $28,400 | 2014 est. |
| 60 | Cyprus | $28,000 | 2014 est. |
| 61 | Slovakia | $27,700 | 2014 est. |
| 62 | Lithuania | $26,700 | 2014 est. |
| 63 | Estonia | $26,600 | 2014 est. |
| 64 | Portugal | $26,300 | 2014 est. |
| 65 | French Polynesia | $26,100 | 2012 est. |
| 66 | Greece | $25,800 | 2014 est. |
| 67 | Aruba | $25,300 | 2011 est. |
| 68 | Bahamas, The | $25,100 | 2014 est. |
| 69 | Russia | $24,800 | 2014 est. |
| 70 | Seychelles | $24,500 | 2014 est. |
| 71 | Malaysia | $24,500 | 2014 est. |
| 72 | Poland | $24,400 | 2014 est. |
| 73 | Hungary | $24,300 | 2014 est. |
| 74 | Kazakhstan | $24,100 | 2014 est. |
| 75 | Latvia | $23,900 | 2014 est. |
| 76 | Chile | $23,200 | 2014 est. |
| 77 | Antigua and Barbuda | $22,600 | 2014 est. |
| 78 | Argentina | $22,100 | 2014 est. |
| 79 | Gabon | $21,600 | 2014 est. |
| 80 | Uruguay | $20,500 | 2014 est. |
| 81 | Croatia | $20,400 | 2014 est. |
| 82 | Panama | $20,300 | 2014 est. |
| 83 | Saint Kitts and Nevis | $20,300 | 2014 est. |
| 84 | Turkey | $19,600 | 2014 est. |
| 85 | Romania | $19,400 | 2014 est. |
| 86 | Saint Martin | $19,300 | 2005 est. |
| 87 | Belarus | $18,200 | 2014 est. |
| 88 | Venezuela | $17,900 | 2014 est. |
| 89 | Azerbaijan | $17,900 | 2014 est. |
| 90 | Lebanon | $17,900 | 2014 est. |
| 91 | Mauritius | $17,900 | 2014 est. |
| 92 | Mexico | $17,900 | 2014 est. |
| 93 | Bulgaria | $17,100 | 2014 est. |
| 94 | Suriname | $16,700 | 2014 est. |
| 95 | Libya | $16,600 | 2014 est. |
| 96 | Iran | $16,500 | 2014 est. |
| 97 | Puerto Rico | $16,300 | 2010 est. |
| 98 | Barbados | $16,200 | 2014 est. |
| 99 | Botswana | $16,000 | 2014 est. |
| 100 | Montenegro | $15,200 | 2014 est. |
| 101 | Brazil | $15,200 | 2014 est. |
| 102 | Palau | $15,100 | 2014 est. |
| 103 | Curacao | $15,000 | 2004 est. |
| 104 | Costa Rica | $14,900 | 2014 est. |
| 105 | Virgin Islands | $14,500 | 2004 est. |
| 106 | Thailand | $14,400 | 2014 est. |
| 107 | Algeria | $14,300 | 2014 est. |
| 108 | Turkmenistan | $14,200 | 2014 est. |
| 109 | Iraq | $14,100 | 2014 est. |
| 110 | Northern Mariana Islands | $13,600 | 2010 est. |
| 111 | Colombia | $13,500 | 2014 est. |
| 112 | Macedonia | $13,200 | 2014 est. |
| 113 | China | $12,900 | 2014 est. |
| 114 | Dominican Republic | $12,800 | 2014 est. |
