CIA - The World Factbook --  GDP - per capita (PPP)   

This entry shows GDP on a purchasing power parity basis divided by population as of 1 July for the same year.

| Rank | country | GDP - per capita (PPP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Qatar | $ 179,000 | 2010 est. |
| 2 | Liechtenstein | $ 141,100 | 2008 est. |
| 3 | Luxembourg | $ 82,600 | 2010 est. |
| 4 | Bermuda | $ 69,900 | 2004 est. |
| 5 | Singapore | $ 62,100 | 2010 est. |
| 6 | Jersey | $ 57,000 | 2005 est. |
| 7 | Norway | $ 54,600 | 2010 est. |
| 8 | Brunei | $ 51,600 | 2010 est. |
| 9 | United Arab Emirates | $ 49,600 | 2010 est. |
| 10 | Kuwait | $ 48,900 | 2010 est. |
| 11 | United States | $ 47,200 | 2010 est. |
| 12 | Andorra | $ 46,700 | 2009 est. |
| 13 | Hong Kong | $ 45,900 | 2010 est. |
| 14 | Guernsey | $ 44,600 | 2005 |
| 15 | Cayman Islands | $ 43,800 | 2004 est. |
| 16 | Gibraltar | $ 43,000 | 2006 est. |
| 17 | Switzerland | $ 42,600 | 2010 est. |
| 18 | Australia | $ 41,000 | 2010 est. |
| 19 | Austria | $ 40,400 | 2010 est. |
| 20 | Bahrain | $ 40,300 | 2010 est. |
| 21 | Netherlands | $ 40,300 | 2010 est. |
| 22 | Canada | $ 39,400 | 2010 est. |
| 23 | Sweden | $ 39,100 | 2010 est. |
| 24 | British Virgin Islands | $ 38,500 | 2004 est. |
| 25 | Iceland | $ 38,300 | 2010 est. |
| 26 | Belgium | $ 37,800 | 2010 est. |
| 27 | Ireland | $ 37,300 | 2010 est. |
| 28 | Denmark | $ 36,600 | 2010 est. |
| 29 | Equatorial Guinea | $ 36,600 | 2010 est. |
| 30 | Greenland | $ 36,500 | 2008 est. |
| 31 | San Marino | $ 36,200 | 2009 |
| 32 | Taiwan | $ 35,700 | 2010 est. |
| 33 | Germany | $ 35,700 | 2010 est. |
| 34 | Finland | $ 35,400 | 2010 est. |
| 35 | Falkland Islands (Islas Malvinas) | $ 35,400 | 2002 est. |
| 36 | Isle of Man | $ 35,000 | 2005 est. |
| 37 | United Kingdom | $ 34,800 | 2010 est. |
| 38 | Japan | $ 34,000 | 2010 est. |
| 39 | France | $ 33,100 | 2010 est. |
| 40 | Macau | $ 33,000 | 2009 |
| 41 | Faroe Islands | $ 32,900 | 2008 est. |
| 42 | European Union | $ 32,700 | 2010 est. |
| 43 | Italy | $ 30,500 | 2010 est. |
| 44 | Korea, South | $ 30,000 | 2010 est. |
| 45 | Monaco | $ 30,000 | 2006 est. |
| 46 | Israel | $ 29,800 | 2010 est. |
| 47 | Greece | $ 29,600 | 2010 est. |
| 48 | Spain | $ 29,400 | 2010 est. |
| 49 | Bahamas, The | $ 28,700 | 2010 est. |
| 50 | Slovenia | $ 28,200 | 2010 est. |
| 51 | New Zealand | $ 27,700 | 2010 est. |
| 52 | Czech Republic | $ 25,600 | 2010 est. |
| 53 | Malta | $ 25,600 | 2010 est. |
| 54 | Oman | $ 25,600 | 2010 est. |
| 55 | Saudi Arabia | $ 24,200 | 2010 est. |
| 56 | Seychelles | $ 23,200 | 2010 est. |
| 57 | Portugal | $ 23,000 | 2010 est. |
| 58 | Slovakia | $ 22,000 | 2010 est. |
| 59 | Barbados | $ 21,800 | 2010 est. |
| 60 | Aruba | $ 21,800 | 2004 est. |
| 61 | Trinidad and Tobago | $ 21,200 | 2010 est. |
| 62 | Cyprus | $ 21,000 | 2010 est. |
| 63 | Estonia | $ 19,100 | 2010 est. |
| 64 | Poland | $ 18,800 | 2010 est. |
| 65 | Hungary | $ 18,800 | 2010 est. |
| 66 | French Polynesia | $ 18,000 | 2004 est. |
| 67 | Croatia | $ 17,400 | 2010 est. |
| 68 | Antigua and Barbuda | $ 16,400 | 2010 est. |
| 69 | Puerto Rico | $ 16,300 | 2010 est. |
| 70 | Lithuania | $ 16,000 | 2010 est. |
| 71 | Russia | $ 15,900 | 2010 est. |
| 72 | Chile | $ 15,400 | 2010 est. |
| 73 | Sint Maarten | $ 15,400 | 2008 est. |
| 74 | New Caledonia | $ 15,000 | 2003 est. |
| 75 | Curacao | $ 15,000 | 2004 est. |
| 76 | Latvia | $ 14,700 | 2010 est. |
| 77 | Argentina | $ 14,700 | 2010 est. |
| 78 | Malaysia | $ 14,700 | 2010 est. |
| 79 | Gabon | $ 14,500 | 2010 est. |
| 80 | Virgin Islands | $ 14,500 | 2004 est. |
| 81 | Lebanon | $ 14,400 | 2010 est. |
| 82 | Mauritius | $ 14,000 | 2010 est. |
| 83 | Libya | $ 14,000 | 2010 est. |
| 84 | Botswana | $ 14,000 | 2010 est. |
