CIA - The World Factbook --  GDP - PER CAPITA (PPP)

GDP - per capita (PPP) compares GDP on a purchasing power parity basis divided by population as of 1 July for the same year.

| Rank | Country | GDP - PER CAPITA (PPP) | Date of Information |
| 124 | Anguilla | $12,200 | 2008 est. |
| 125 | Egypt | $11,800 | 2015 est. |
| 126 | Saint Lucia | $11,700 | 2015 est. |
| 127 | Tunisia | $11,500 | 2015 est. |
| 128 | Ecuador | $11,300 | 2015 est. |
| 129 | Albania | $11,300 | 2015 est. |
| 130 | Namibia | $11,200 | 2015 est. |
| 131 | Indonesia | $11,100 | 2015 est. |
| 132 | Dominica | $11,100 | 2015 est. |
| 133 | Saint Vincent and the Grenadines | $10,900 | 2015 est. |
| 134 | Jordan | $10,900 | 2015 est. |
| 135 | Sri Lanka | $10,600 | 2015 est. |
| 136 | Bosnia and Herzegovina | $10,600 | 2015 est. |
| 137 | Cuba | $10,200 | 2010 est. |
| 138 | Swaziland | $9,700 | 2015 est. |
| 139 | Georgia | $9,600 | 2015 est. |
| 140 | Fiji | $9,100 | 2015 est. |
| 141 | Paraguay | $9,000 | 2015 est. |
| 142 | Jamaica | $8,800 | 2015 est. |
| 143 | El Salvador | $8,600 | 2015 est. |
| 144 | Montserrat | $8,500 | 2006 est. |
| 145 | Armenia | $8,500 | 2015 est. |
| 146 | Belize | $8,300 | 2015 est. |
| 147 | Morocco | $8,200 | 2015 est. |
| 148 | Ukraine | $8,000 | 2015 est. |
| 149 | Guatemala | $7,800 | 2015 est. |
| 150 | Saint Helena, Ascension, and Tristan da Cunha | $7,800 | FY09/10 est. |
| 151 | Bhutan | $7,700 | 2015 est. |
| 152 | Guyana | $7,500 | 2015 est. |
| 153 | Philippines | $7,300 | 2015 est. |
| 154 | Bolivia | $7,000 | 2015 est. |
| 155 | Angola | $7,000 | 2015 est. |
| 156 | Congo, Republic of the | $6,700 | 2015 est. |
| 157 | Cabo Verde | $6,500 | 2015 est. |
| 158 | India | $6,200 | 2015 est. |
| 159 | Nigeria | $6,100 | 2015 est. |
| 160 | Uzbekistan | $6,100 | 2015 est. |
| 161 | Vietnam | $6,000 | 2015 est. |
| 162 | Niue | $5,800 | 2003 est. |
| 163 | Burma | $5,500 | 2015 est. |
| 164 | Laos | $5,400 | 2015 est. |
| 165 | Samoa | $5,200 | 2015 est. |
| 166 | Syria | $5,100 | 2011 est. |
| 167 | Honduras | $5,100 | 2015 est. |
| 168 | Tonga | $5,100 | 2015 est. |
| 169 | Nicaragua | $5,000 | 2015 est. |
| 170 | Moldova | $5,000 | 2015 est. |
| 171 | Pakistan | $4,900 | 2015 est. |
| 172 | Timor-Leste | $4,700 | 2015 est. |
| 173 | Sudan | $4,400 | 2015 est. |
| 174 | West Bank | $4,300 | 2014 est. |
| 175 | Mauritania | $4,300 | 2015 est. |
| 176 | Ghana | $4,300 | 2015 est. |
| 177 | Zambia | $3,900 | 2015 est. |
| 178 | Wallis and Futuna | $3,800 | 2004 est. |
| 179 | Bangladesh | $3,600 | 2015 est. |
| 180 | Papua New Guinea | $3,500 | 2015 est. |
| 181 | Cambodia | $3,500 | 2015 est. |
| 182 | Tuvalu | $3,400 | 2015 est. |
| 183 | Kyrgyzstan | $3,400 | 2015 est. |
| 184 | Cote d'Ivoire | $3,400 | 2015 est. |
| 185 | Sao Tome and Principe | $3,200 | 2015 est. |
| 186 | Marshall Islands | $3,200 | 2015 est. |
| 187 | Kenya | $3,200 | 2015 est. |
| 188 | Djibouti | $3,200 | 2015 est. |
| 189 | Cameroon | $3,100 | 2015 est. |
