CIA - The World Factbook --  Birth rate   

This entry gives the average annual number of births during a year per 1,000 persons in the population at midyear; also known as crude birth rate. The birth rate is usually the dominant factor in determining the rate of population growth. It depends on both the level of fertility and the age structure of the population.

| Rank | country | (births/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Niger | 51.08 | 2010 est. |
| 2 | Uganda | 47.55 | 2010 est. |
| 3 | Mali | 46.09 | 2010 est. |
| 4 | Zambia | 44.63 | 2010 est. |
| 5 | Burkina Faso | 43.98 | 2010 est. |
| 6 | Ethiopia | 43.34 | 2010 est. |
| 7 | Angola | 43.33 | 2010 est. |
| 8 | Somalia | 43.33 | 2010 est. |
| 9 | Congo, Democratic Republic of the | 42.26 | 2010 est. |
| 10 | Burundi | 41.43 | 2010 est. |
| 11 | Malawi | 41.28 | 2010 est. |
| 12 | Congo, Republic of the | 41.01 | 2010 est. |
| 13 | Chad | 40.12 | 2010 est. |
| 14 | Sao Tome and Principe | 39.09 | 2010 est. |
| 15 | Sierra Leone | 38.79 | 2010 est. |
| 16 | Mayotte | 38.76 | 2010 est. |
| 17 | Benin | 38.67 | 2010 est. |
| 18 | Liberia | 38.14 | 2010 est. |
| 19 | Afghanistan | 38.11 | 2010 est. |
| 20 | Madagascar | 37.89 | 2010 est. |
| 21 | Mozambique | 37.80 | 2010 est. |
| 22 | Gambia, The | 37.31 | 2010 est. |
| 23 | Senegal | 37.27 | 2010 est. |
| 24 | Rwanda | 37.26 | 2010 est. |
| 25 | Guinea | 37.21 | 2010 est. |
| 26 | Central African Republic | 36.79 | 2010 est. |
| 27 | Sudan | 36.58 | 2010 est. |
| 28 | Gaza Strip | 36.26 | 2010 est. |
| 29 | Nigeria | 36.07 | 2010 est. |
| 30 | Equatorial Guinea | 36.00 | 2010 est. |
| 31 | Togo | 35.88 | 2010 est. |
| 32 | Guinea-Bissau | 35.56 | 2010 est. |
| 33 | Gabon | 35.39 | 2010 est. |
| 34 | Kenya | 35.14 | 2010 est. |
| 35 | Comoros | 34.71 | 2010 est. |
| 36 | Yemen | 34.37 | 2010 est. |
| 37 | Mauritania | 33.67 | 2010 est. |
| 38 | Cameroon | 33.58 | 2010 est. |
| 39 | Eritrea | 33.48 | 2010 est. |
| 40 | Tanzania | 33.44 | 2010 est. |
| 41 | Western Sahara | 32.56 | 2010 est. |
| 42 | Zimbabwe | 31.57 | 2010 est. |
| 43 | Cote d'Ivoire | 31.48 | 2010 est. |
| 44 | Marshall Islands | 29.94 | 2010 est. |
| 45 | Iraq | 29.41 | 2010 est. |
| 46 | Solomon Islands | 28.60 | 2010 est. |
| 47 | Nauru | 28.16 | 2010 est. |
| 48 | Ghana | 28.09 | 2010 est. |
| 49 | Guatemala | 27.40 | 2010 est. |
| 50 | Lesotho | 27.17 | 2010 est. |
| 51 | Swaziland | 27.12 | 2010 est. |
| 52 | Jordan | 27.06 | 2010 est. |
| 53 | Papua New Guinea | 26.95 | 2010 est. |
| 54 | Belize | 26.84 | 2010 est. |
| 55 | Laos | 26.57 | 2010 est. |
| 56 | Tajikistan | 26.49 | 2010 est. |
| 57 | Timor-Leste | 25.93 | 2010 est. |
| 58 | Philippines | 25.68 | 2010 est. |
| 59 | Honduras | 25.61 | 2010 est. |
| 60 | Cambodia | 25.58 | 2010 est. |
| 61 | Djibouti | 25.58 | 2010 est. |
| 62 | Pakistan | 25.30 | 2010 est. |
| 63 | Bolivia | 25.16 | 2010 est. |
| 64 | Egypt | 25.02 | 2010 est. |
| 65 | West Bank | 24.91 | 2010 est. |
| 66 | Libya | 24.58 | 2010 est. |
| 67 | Syria | 24.44 | 2010 est. |
| 68 | Haiti | 24.40 | 2011 est. |
| 69 | Oman | 23.90 | 2010 est. |
| 70 | Kyrgyzstan | 23.58 | 2010 est. |
| 71 | Bangladesh | 23.43 | 2010 est. |
| 72 | Kiribati | 23.06 | 2010 est. |
| 73 | American Samoa | 23.05 | 2010 est. |
| 74 | Tuvalu | 23.01 | 2010 est. |
| 75 | Samoa | 22.92 | 2010 est. |
| 76 | Nicaragua | 22.77 | 2010 est. |
| 77 | Micronesia, Federated States of | 22.57 | 2010 est. |
| 78 | Botswana | 22.54 | 2010 est. |
| 79 | Nepal | 22.43 | 2010 est. |
| 80 | Namibia | 21.82 | 2010 est. |
| 81 | Cape Verde | 21.67 | 2010 est. |
| 82 | Kuwait | 21.64 | 2010 est. |
| 83 | Fiji | 21.52 | 2010 est. |
| 84 | Malaysia | 21.41 | 2010 est. |
| 85 | India | 21.34 | 2010 est. |
| 86 | Vanuatu | 21.08 | 2010 est. |
| 87 | Northern Mariana Islands | 21.05 | 2010 est. |
| 88 | Mongolia | 21.03 | 2010 est. |
| 89 | Turks and Caicos Islands | 20.44 | 2010 est. |
| 90 | Ecuador | 20.32 | 2010 est. |
| 91 | Venezuela | 20.29 | 2010 est. |
| 92 | Dominican Republic | 19.90 | 2010 est. |
| 93 | World | 19.86 | 2009 est. |
| 94 | Panama | 19.71 | 2010 est. |
| 95 | Bhutan | 19.62 | 2010 est. |
| 96 | Turkmenistan | 19.62 | 2010 est. |
| 97 | South Africa | 19.61 | 2010 est. |
| 98 | Israel | 19.51 | 2010 est. |
| 99 | Burma | 19.49 | 2010 est. |
| 100 | Jamaica | 19.47 | 2010 est. |
| 101 | Saudi Arabia | 19.43 | 2010 est. |
| 102 | Morocco | 19.40 | 2010 est. |
| 103 | Mexico | 19.39 | 2010 est. |
| 104 | Peru | 19.00 | 2010 est. |
| 105 | Iran | 18.52 | 2010 est. |
| 106 | Indonesia | 18.45 | 2010 est. |
| 107 | Turkey | 18.28 | 2010 est. |
| 108 | Brazil | 18.11 | 2010 est. |
| 109 | El Salvador | 18.06 | 2010 est. |
| 110 | Brunei | 18.00 | 2010 est. |
| 111 | Tonga | 17.78 | 2010 est. |
| 112 | Colombia | 17.76 | 2010 est. |
| 113 | Argentina | 17.75 | 2010 est. |
| 114 | Azerbaijan | 17.75 | 2010 est. |
| 115 | Paraguay | 17.73 | 2010 est. |
| 116 | Guyana | 17.61 | 2010 est. |
| 117 | Uzbekistan | 17.51 | 2010 est. |
| 118 | Vietnam | 17.29 | 2010 est. |
| 119 | Grenada | 17.20 | 2010 est. |
| 120 | Bahrain | 16.81 | 2010 est. |
| 121 | Algeria | 16.71 | 2010 est. |
| 122 | Kazakhstan | 16.66 | 2010 est. |
