CIA - The World Factbook --  Birth rate   

This entry gives the average annual number of births during a year per 1,000 persons in the population at midyear; also known as crude birth rate. The birth rate is usually the dominant factor in determining the rate of population growth. It depends on both the level of fertility and the age structure of the population.

| Rank | country | (births/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Niger | 47.60 | 2012 est. |
| 2 | Mali | 46.60 | 2012 est. |
| 3 | Uganda | 45.80 | 2012 est. |
| 4 | Burkina Faso | 43.20 | 2012 est. |
| 5 | Zambia | 43.10 | 2012 est. |
| 6 | Somalia | 42.12 | 2012 est. |
| 7 | Burundi | 40.58 | 2012 est. |
| 8 | Malawi | 40.42 | 2012 est. |
| 9 | Congo, Republic of the | 40.09 | 2012 est. |
| 10 | Angola | 39.36 | 2012 est. |
| 11 | Mozambique | 39.34 | 2012 est. |
| 12 | Afghanistan | 39.30 | 2012 est. |
| 13 | Nigeria | 39.23 | 2012 est. |
| 14 | Chad | 38.70 | 2012 est. |
| 15 | Ethiopia | 38.50 | 2012 est. |
| 16 | Sierra Leone | 38.12 | 2012 est. |
| 17 | Tanzania | 37.70 | 2012 est. |
| 18 | Benin | 37.55 | 2012 est. |
| 19 | Congo, Democratic Republic of the | 37.05 | 2012 est. |
| 20 | Sao Tome and Principe | 37.02 | 2012 est. |
| 21 | Guinea | 36.60 | 2012 est. |
| 22 | Liberia | 36.45 | 2012 est. |
| 23 | Senegal | 36.19 | 2012 est. |
| 24 | Rwanda | 36.14 | 2012 est. |
| 25 | Central African Republic | 36.13 | 2012 est. |
| 26 | Togo | 35.26 | 2012 est. |
| 27 | Timor-Leste | 35.20 | 2012 est. |
| 28 | Gabon | 35.00 | 2012 est. |
| 29 | Equatorial Guinea | 34.88 | 2012 est. |
| 30 | Guinea-Bissau | 34.72 | 2012 est. |
| 31 | Gaza Strip | 34.30 | 2012 est. |
| 32 | Madagascar | 34.00 | 2012 est. |
| 33 | Gambia, The | 33.41 | 2012 est. |
| 34 | Mauritania | 32.78 | 2012 est. |
| 35 | Yemen | 32.57 | 2012 est. |
| 36 | Cameroon | 32.49 | 2012 est. |
| 37 | Zimbabwe | 32.19 | 2012 est. |
| 38 | Eritrea | 32.10 | 2012 est. |
| 39 | Ghana | 32.00 | 2012 est. |
| 40 | Kenya | 31.93 | 2012 est. |
| 41 | Sudan | 31.70 | 2012 est. |
| 42 | Western Sahara | 31.65 | 2012 est. |
| 43 | Comoros | 31.49 | 2012 est. |
| 44 | Cote d'Ivoire | 30.40 | 2012 est. |
| 45 | Iraq | 28.19 | 2012 est. |
| 46 | Marshall Islands | 28.14 | 2012 est. |
| 47 | Solomon Islands | 27.46 | 2012 est. |
| 48 | Nauru | 27.08 | 2012 est. |
| 49 | Vanuatu | 27.00 | 2012 est. |
| 50 | Lesotho | 26.65 | 2012 est. |
| 51 | Jordan | 26.52 | 2012 est. |
| 52 | Guatemala | 26.48 | 2012 est. |
| 53 | Swaziland | 26.16 | 2012 est. |
| 54 | Belize | 26.02 | 2012 est. |
| 55 | Tajikistan | 25.93 | 2012 est. |
| 56 | Papua New Guinea | 25.92 | 2012 est. |
| 57 | Laos | 25.68 | 2012 est. |
| 58 | Cambodia | 25.17 | 2012 est. |
| 59 | Philippines | 24.98 | 2012 est. |
| 60 | Djibouti | 24.91 | 2012 est. |
| 61 | Tonga | 24.70 | 2012 est. |
| 62 | Honduras | 24.66 | 2012 est. |
| 63 | Algeria | 24.40 | 2012 est. |
| 64 | Oman | 24.33 | 2012 est. |
| 65 | Pakistan | 24.30 | 2012 est. |
