CIA - The World Factbook --  Birth rate   

This entry gives the average annual number of births during a year per 1,000 persons in the population at midyear; also known as crude birth rate. The birth rate is usually the dominant factor in determining the rate of population growth. It depends on both the level of fertility and the age structure of the population.

| Rank | country | (births/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Niger | 50.54 | 2011 est. |
| 2 | Uganda | 47.49 | 2011 est. |
| 3 | Mali | 45.62 | 2011 est. |
| 4 | Zambia | 44.08 | 2011 est. |
| 5 | Burkina Faso | 43.59 | 2011 est. |
| 6 | Ethiopia | 42.99 | 2011 est. |
| 7 | Angola | 42.91 | 2011 est. |
| 8 | Somalia | 42.71 | 2011 est. |
| 9 | Burundi | 41.01 | 2011 est. |
| 10 | Malawi | 40.85 | 2011 est. |
| 11 | Congo, Republic of the | 40.55 | 2011 est. |
| 12 | Mozambique | 39.62 | 2011 est. |
| 13 | Chad | 39.40 | 2011 est. |
| 14 | Sierra Leone | 38.46 | 2011 est. |
| 15 | Benin | 38.11 | 2011 est. |
| 16 | Sao Tome and Principe | 38.03 | 2011 est. |
| 17 | Afghanistan | 37.83 | 2011 est. |
| 18 | Congo, Democratic Republic of the | 37.74 | 2011 est. |
| 19 | Madagascar | 37.51 | 2011 est. |
| 20 | Liberia | 37.25 | 2011 est. |
| 21 | Guinea | 36.90 | 2011 est. |
| 22 | Rwanda | 36.74 | 2011 est. |
| 23 | Senegal | 36.73 | 2011 est. |
| 24 | Central African Republic | 36.46 | 2011 est. |
| 25 | Sudan | 36.12 | 2011 est. |
| 26 | Togo | 35.58 | 2011 est. |
| 27 | Nigeria | 35.51 | 2011 est. |
| 28 | Equatorial Guinea | 35.43 | 2011 est. |
| 29 | Gaza Strip | 35.30 | 2011 est. |
| 30 | Gabon | 35.19 | 2011 est. |
| 31 | Guinea-Bissau | 35.15 | 2011 est. |
| 32 | Gambia, The | 34.19 | 2011 est. |
| 33 | Comoros | 34.19 | 2011 est. |
| 34 | Kenya | 33.54 | 2011 est. |
| 35 | Yemen | 33.49 | 2011 est. |
| 36 | Mauritania | 33.23 | 2011 est. |
| 37 | Cameroon | 33.04 | 2011 est. |
| 38 | Eritrea | 32.80 | 2011 est. |
| 39 | Tanzania | 32.64 | 2011 est. |
| 40 | Western Sahara | 32.10 | 2011 est. |
| 41 | Zimbabwe | 31.86 | 2011 est. |
| 42 | Cote d'Ivoire | 30.95 | 2011 est. |
| 43 | Marshall Islands | 29.11 | 2011 est. |
| 44 | Iraq | 28.81 | 2011 est. |
| 45 | Solomon Islands | 28.03 | 2011 est. |
| 46 | Nauru | 27.78 | 2011 est. |
| 47 | Ghana | 27.55 | 2011 est. |
| 48 | Guatemala | 26.96 | 2011 est. |
| 49 | Lesotho | 26.93 | 2011 est. |
| 50 | Jordan | 26.79 | 2011 est. |
| 51 | Swaziland | 26.63 | 2011 est. |
| 52 | Papua New Guinea | 26.44 | 2011 est. |
| 53 | Belize | 26.43 | 2011 est. |
| 54 | Tajikistan | 26.29 | 2011 est. |
| 55 | Laos | 26.13 | 2011 est. |
| 56 | Timor-Leste | 25.70 | 2011 est. |
| 57 | Cambodia | 25.40 | 2011 est. |
| 58 | Philippines | 25.34 | 2011 est. |
| 59 | Djibouti | 25.27 | 2011 est. |
| 60 | Tonga | 25.27 | 2011 est. |
| 61 | Honduras | 25.14 | 2011 est. |
| 62 | Pakistan | 24.81 | 2011 est. |
| 63 | Bolivia | 24.71 | 2011 est. |
| 64 | Egypt | 24.63 | 2011 est. |
| 65 | West Bank | 24.56 | 2011 est. |
| 66 | Haiti | 24.40 | 2011 est. |
| 67 | Oman | 24.15 | 2011 est. |
| 68 | Libya | 24.04 | 2011 est. |
| 69 | Syria | 23.99 | 2011 est. |
| 70 | Kyrgyzstan | 23.66 | 2011 est. |
| 71 | Tuvalu | 23.24 | 2011 est. |
| 72 | Bangladesh | 22.98 | 2011 est. |
| 73 | American Samoa | 22.84 | 2011 est. |
| 74 | Kiribati | 22.73 | 2011 est. |
| 75 | Samoa | 22.50 | 2011 est. |
| 76 | Botswana | 22.31 | 2011 est. |
| 77 | Micronesia, Federated States of | 22.22 | 2011 est. |
| 78 | Nepal | 22.17 | 2011 est. |
| 79 | Namibia | 21.48 | 2011 est. |
| 80 | Cape Verde | 21.47 | 2011 est. |
| 81 | Kuwait | 21.32 | 2011 est. |
| 82 | Fiji | 21.11 | 2011 est. |
| 83 | Malaysia | 21.08 | 2011 est. |
| 84 | India | 20.97 | 2011 est. |
| 85 | Mongolia | 20.93 | 2011 est. |
| 86 | Vanuatu | 20.86 | 2011 est. |
| 87 | Northern Mariana Islands | 20.69 | 2011 est. |
| 88 | Venezuela | 20.10 | 2011 est. |
| 89 | Ecuador | 19.96 | 2011 est. |
| 90 | Dominican Republic | 19.67 | 2011 est. |
| 91 | Turkmenistan | 19.54 | 2011 est. |
| 92 | South Africa | 19.48 | 2011 est. |
| 93 | Nicaragua | 19.46 | 2011 est. |
| 94 | Panama | 19.43 | 2011 est. |
| 95 | Peru | 19.41 | 2011 est. |
| 96 | Saudi Arabia | 19.34 | 2011 est. |
| 97 | Burma | 19.31 | 2011 est. |
| 98 | Israel | 19.24 | 2011 est. |
| 99 | Jamaica | 19.20 | 2011 est. |
| 100 | Morocco | 19.19 | 2011 est. |
| 101 | Bhutan | 19.13 | 2011 est. |
| 102 | Mexico | 19.13 | 2011 est. |
| 103 | Iran | 18.55 | 2011 est. |
| 104 | Indonesia | 18.10 | 2011 est. |
