CIA - The World Factbook --  BIRTH RATE

Birth rate compares the average annual number of births during a year per 1,000 persons in the population at midyear; also known as crude birth rate.

| Rank | Country | (BIRTHS/1,000 POPULATION) | Date of Information |
| --- | --- | --- | --- |
| 1 | Niger | 44.80 | 2016 est. |
| 2 | Mali | 44.40 | 2016 est. |
| 3 | Uganda | 43.40 | 2016 est. |
| 4 | Zambia | 41.80 | 2016 est. |
| 5 | Burundi | 41.70 | 2016 est. |
| 6 | Burkina Faso | 41.60 | 2016 est. |
| 7 | Malawi | 41.30 | 2016 est. |
| 8 | Somalia | 40.00 | 2016 est. |
| 9 | Angola | 38.60 | 2016 est. |
| 10 | Mozambique | 38.30 | 2016 est. |
| 11 | Afghanistan | 38.30 | 2016 est. |
| 12 | Nigeria | 37.30 | 2016 est. |
| 13 | Ethiopia | 36.90 | 2016 est. |
| 14 | Sierra Leone | 36.70 | 2016 est. |
| 15 | South Sudan | 36.20 | 2016 est. |
| 16 | Chad | 36.10 | 2016 est. |
| 17 | Tanzania | 36.00 | 2016 est. |
| 18 | Cameroon | 35.80 | 2016 est. |
| 19 | Benin | 35.50 | 2016 est. |
| 20 | Guinea | 35.40 | 2016 est. |
| 21 | Congo, Republic of the | 35.10 | 2016 est. |
| 22 | Central African Republic | 34.70 | 2016 est. |
| 23 | Gabon | 34.30 | 2016 est. |
| 24 | Congo, Democratic Republic of the | 34.20 | 2016 est. |
| 25 | Senegal | 34.00 | 2016 est. |
| 26 | Liberia | 33.90 | 2016 est. |
| 27 | Timor-Leste | 33.80 | 2016 est. |
| 28 | Togo | 33.70 | 2016 est. |
| 29 | Sao Tome and Principe | 33.30 | 2016 est. |
| 30 | Rwanda | 33.30 | 2016 est. |
| 31 | Guinea-Bissau | 32.90 | 2016 est. |
| 32 | Equatorial Guinea | 32.80 | 2016 est. |
| 33 | Gaza Strip | 32.30 | 2016 est. |
| 34 | Madagascar | 32.10 | 2016 est. |
| 35 | Zimbabwe | 31.90 | 2016 est. |
| 36 | Iraq | 30.90 | 2016 est. |
| 37 | Mauritania | 30.90 | 2016 est. |
| 38 | Ghana | 30.80 | 2016 est. |
| 39 | Egypt | 30.30 | 2016 est. |
| 40 | Eritrea | 30.10 | 2016 est. |
| 41 | Gambia, The | 30.10 | 2016 est. |
| 42 | Western Sahara | 29.80 | 2016 est. |
| 43 | Yemen | 29.20 | 2016 est. |
| 44 | Sudan | 28.50 | 2016 est. |
| 45 | Cote d'Ivoire | 28.20 | 2016 est. |
| 46 | Namibia | 27.90 | 2016 est. |
| 47 | Comoros | 26.90 | 2016 est. |
| 48 | West Bank | 26.70 | 2016 est. |
| 49 | Jordan | 25.50 | 2016 est. |
| 50 | Solomon Islands | 25.30 | 2016 est. |
| 51 | Kenya | 25.10 | 2016 est. |
| 52 | Lesotho | 25.10 | 2016 est. |
| 53 | Marshall Islands | 25.00 | 2016 est. |
| 54 | Vanuatu | 24.50 | 2016 est. |
| 55 | Guatemala | 24.50 | 2016 est. |
| 56 | Nauru | 24.40 | 2016 est. |
| 57 | Oman | 24.30 | 2016 est. |
| 58 | Swaziland | 24.30 | 2016 est. |
| 59 | Belize | 24.30 | 2016 est. |
| 60 | Papua New Guinea | 24.00 | 2016 est. |
| 61 | Philippines | 24.00 | 2016 est. |
| 62 | Laos | 23.90 | 2016 est. |
