CIA - The World Factbook --  Birth rate   

This entry gives the average annual number of births during a year per 1,000 persons in the population at midyear; also known as crude birth rate. The birth rate is usually the dominant factor in determining the rate of population growth. It depends on both the level of fertility and the age structure of the population.

| Rank | country | (births/1,000 population) | Date of Information |
| 122 | Vietnam | 16.56 | 2013 est. |
| 123 | Guyana | 16.31 | 2013 est. |
| 124 | Costa Rica | 16.25 | 2013 est. |
| 125 | Antigua and Barbuda | 16.07 | 2013 est. |
| 126 | Bahamas, The | 15.81 | 2013 est. |
| 127 | New Caledonia | 15.81 | 2013 est. |
| 128 | French Polynesia | 15.70 | 2013 est. |
| 129 | United Arab Emirates | 15.65 | 2013 est. |
| 130 | Dominica | 15.61 | 2013 est. |
| 131 | Ireland | 15.50 | 2013 est. |
| 132 | Maldives | 15.38 | 2013 est. |
| 133 | Brazil | 14.97 | 2013 est. |
| 134 | Cook Islands | 14.93 | 2013 est. |
| 135 | Seychelles | 14.85 | 2013 est. |
| 136 | Lebanon | 14.79 | 2013 est. |
| 137 | Greenland | 14.57 | 2013 est. |
| 138 | Korea, North | 14.49 | 2013 est. |
| 139 | Saint Lucia | 14.19 | 2013 est. |
| 140 | Gibraltar | 14.19 | 2013 est. |
| 141 | Bahrain | 14.16 | 2013 est. |
| 142 | Saint Vincent and the Grenadines | 14.12 | 2013 est. |
| 143 | Chile | 14.12 | 2013 est. |
| 144 | Trinidad and Tobago | 14.07 | 2013 est. |
| 145 | Saint Kitts and Nevis | 13.79 | 2013 est. |
| 146 | Wallis and Futuna | 13.74 | 2013 est. |
| 147 | United States | 13.66 | 2013 est. |
| 148 | Mauritius | 13.62 | 2013 est. |
| 149 | New Zealand | 13.48 | 2013 est. |
| 150 | Faroe Islands | 13.36 | 2013 est. |
| 151 | Uruguay | 13.28 | 2013 est. |
| 152 | Iceland | 13.15 | 2013 est. |
| 153 | Sint Maarten | 13.00 | 2013 est. |
| 154 | Armenia | 12.86 | 2013 est. |
| 155 | Anguilla | 12.82 | 2013 est. |
| 156 | Aruba | 12.72 | 2013 est. |
| 157 | Thailand | 12.66 | 2013 est. |
| 158 | France | 12.60 | 2013 est. |
| 159 | Albania | 12.57 | 2013 est. |
| 160 | Moldova | 12.38 | 2013 est. |
| 161 | United Kingdom | 12.26 | 2013 est. |
| 162 | China | 12.25 | 2013 est. |
| 163 | Australia | 12.23 | 2013 est. |
| 164 | Cayman Islands | 12.17 | 2013 est. |
| 165 | Russia | 12.11 | 2013 est. |
| 166 | Barbados | 12.10 | 2013 est. |
| 167 | Macedonia | 11.72 | 2013 est. |
| 168 | Luxembourg | 11.72 | 2013 est. |
| 169 | Cyprus | 11.45 | 2013 est. |
| 170 | Bermuda | 11.39 | 2013 est. |
| 171 | Jersey | 11.38 | 2013 est. |
| 172 | Montserrat | 11.37 | 2013 est. |
| 173 | Puerto Rico | 11.28 | 2013 est. |
| 174 | Isle of Man | 11.27 | 2013 est. |
| 175 | Belarus | 10.99 | 2013 est. |
| 176 | Palau | 10.90 | 2013 est. |
| 177 | Netherlands | 10.85 | 2013 est. |
| 178 | Norway | 10.80 | 2013 est. |
| 179 | British Virgin Islands | 10.78 | 2013 est. |
| 180 | Montenegro | 10.75 | 2013 est. |
| 181 | Georgia | 10.72 | 2013 est. |
| 182 | Virgin Islands | 10.69 | 2013 est. |
| 183 | Liechtenstein | 10.67 | 2013 est. |
| 184 | Switzerland | 10.45 | 2013 est. |
| 185 | Estonia | 10.38 | 2013 est. |
| 186 | Finland | 10.36 | 2013 est. |
| 187 | Sweden | 10.33 | 2013 est. |
| 188 | Canada | 10.28 | 2013 est. |
| 189 | Slovakia | 10.27 | 2013 est. |
| 190 | Malta | 10.27 | 2013 est. |
| 191 | Denmark | 10.20 | 2013 est. |
| 192 | Saint Helena, Ascension, and Tristan da Cunha | 10.19 | 2013 est. |
| 193 | Spain | 10.14 | 2013 est. |
| 194 | Qatar | 10.08 | 2013 est. |
| 195 | Belgium | 10.00 | 2013 est. |
| 196 | Guernsey | 9.95 | 2013 est. |
| 197 | Cuba | 9.92 | 2013 est. |
| 198 | Latvia | 9.91 | 2013 est. |
| 199 | Poland | 9.88 | 2013 est. |
| 200 | Portugal | 9.59 | 2013 est. |
| 201 | Croatia | 9.53 | 2013 est. |
| 202 | Ukraine | 9.52 | 2013 est. |
| 203 | Romania | 9.40 | 2013 est. |
| 204 | Hungary | 9.37 | 2013 est. |
| 205 | Lithuania | 9.36 | 2013 est. |
| 206 | Serbia | 9.15 | 2013 est. |
| 207 | Bulgaria | 9.07 | 2013 est. |
| 208 | Macau | 9.03 | 2013 est. |
| 209 | Greece | 8.94 | 2013 est. |
| 210 | Italy | 8.94 | 2013 est. |
