CIA - The World Factbook --  Birth rate   

Birth rate compares the average annual number of births during a year per 1,000 persons in the population at midyear; also known as crude birth rate.

| Rank | country | (births/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Niger | 46.12 | 2014 est. |
| 2 | Mali | 45.53 | 2014 est. |
| 3 | Uganda | 44.17 | 2014 est. |
| 4 | Zambia | 42.46 | 2014 est. |
| 5 | Burkina Faso | 42.42 | 2014 est. |
| 6 | Burundi | 42.33 | 2014 est. |
| 7 | Malawi | 41.80 | 2014 est. |
| 8 | Somalia | 40.87 | 2014 est. |
| 9 | Angola | 38.97 | 2014 est. |
| 10 | Afghanistan | 38.84 | 2014 est. |
| 11 | Mozambique | 38.83 | 2014 est. |
| 12 | Nigeria | 38.03 | 2014 est. |
| 13 | South Sudan | 37.68 | 2014 est. |
| 14 | Ethiopia | 37.66 | 2014 est. |
| 15 | Sierra Leone | 37.40 | 2014 est. |
| 16 | Chad | 37.29 | 2014 est. |
| 17 | Tanzania | 36.82 | 2014 est. |
| 18 | Congo, Republic of the | 36.59 | 2014 est. |
| 19 | Cameroon | 36.58 | 2014 est. |
| 20 | Benin | 36.51 | 2014 est. |
| 21 | Guinea | 36.02 | 2014 est. |
| 22 | Congo, Democratic Republic of the | 35.62 | 2014 est. |
| 23 | Central African Republic | 35.45 | 2014 est. |
| 24 | Sao Tome and Principe | 35.12 | 2014 est. |
| 25 | Senegal | 35.09 | 2014 est. |
| 26 | Liberia | 35.07 | 2014 est. |
| 27 | Gabon | 34.64 | 2014 est. |
| 28 | Rwanda | 34.61 | 2014 est. |
| 29 | Togo | 34.52 | 2014 est. |
| 30 | Timor-Leste | 34.48 | 2014 est. |
| 31 | Guinea-Bissau | 33.83 | 2014 est. |
| 32 | Equatorial Guinea | 33.83 | 2014 est. |
| 33 | Madagascar | 33.12 | 2014 est. |
| 34 | Zimbabwe | 32.47 | 2014 est. |
| 35 | Gaza Strip | 32.20 | 2014 est. |
| 36 | Mauritania | 31.83 | 2014 est. |
| 37 | Gambia, The | 31.75 | 2014 est. |
| 38 | Ghana | 31.40 | 2014 est. |
| 39 | Yemen | 31.02 | 2014 est. |
| 40 | Western Sahara | 30.71 | 2014 est. |
| 41 | Eritrea | 30.69 | 2014 est. |
| 42 | Sudan | 30.01 | 2014 est. |
| 43 | Cote d'Ivoire | 29.25 | 2014 est. |
| 44 | Comoros | 29.05 | 2014 est. |
| 45 | Kenya | 28.27 | 2014 est. |
| 46 | Iraq | 26.85 | 2014 est. |
| 47 | Marshall Islands | 26.36 | 2014 est. |
| 48 | Solomon Islands | 26.33 | 2014 est. |
| 49 | Lesotho | 25.92 | 2014 est. |
| 50 | Vanuatu | 25.69 | 2014 est. |
| 51 | Nauru | 25.61 | 2014 est. |
| 52 | Guatemala | 25.46 | 2014 est. |
| 53 | Jordan | 25.23 | 2014 est. |
| 54 | Swaziland | 25.18 | 2014 est. |
| 55 | Belize | 25.14 | 2014 est. |
| 56 | Tajikistan | 24.99 | 2014 est. |
| 57 | Papua New Guinea | 24.89 | 2014 est. |
| 58 | Laos | 24.76 | 2014 est. |
| 59 | Oman | 24.47 | 2014 est. |
| 60 | Cambodia | 24.40 | 2014 est. |
| 61 | Philippines | 24.24 | 2014 est. |
| 62 | Djibouti | 24.08 | 2014 est. |
