CIA - The World Factbook --  GDP - real growth rate   

This entry gives GDP growth on an annual basis adjusted for inflation and expressed as a percent.

| Rank | country | (%) | Date of Information |
| 126 | Guinea | 3.00 | 2010 est. |
| 127 | Benin | 3.00 | 2010 est. |
| 128 | Canada | 3.00 | 2010 est. |
| 129 | Cameroon | 2.80 | 2010 est. |
| 130 | Nicaragua | 2.80 | 2010 est. |
| 131 | Solomon Islands | 2.80 | 2010 est. |
| 132 | Switzerland | 2.80 | 2010 est. |
| 133 | United States | 2.80 | 2010 est. |
| 134 | French Polynesia | 2.70 | 2005 |
| 135 | Pakistan | 2.70 | 2010 est. |
| 136 | Andorra | 2.60 | 2008 est. |
| 137 | United Arab Emirates | 2.60 | 2010 est. |
| 138 | Somalia | 2.60 | 2010 est. |
| 139 | Guyana | 2.50 | 2010 est. |
| 140 | Honduras | 2.50 | 2010 est. |
| 141 | Aruba | 2.40 | 2005 est. |
| 142 | Ecuador | 2.40 | 2010 est. |
| 143 | Guatemala | 2.20 | 2010 est. |
| 144 | Finland | 2.10 | 2010 est. |
| 145 | Trinidad and Tobago | 2.10 | 2010 est. |
| 146 | New Zealand | 2.10 | 2010 est. |
| 147 | Austria | 2.00 | 2010 est. |
| 148 | Chad | 2.00 | 2010 est. |
| 149 | Virgin Islands | 2.00 | 2002 est. |
| 150 | Swaziland | 2.00 | 2010 est. |
| 151 | Malta | 2.00 | 2010 est. |
| 152 | Equatorial Guinea | 2.00 | 2010 est. |
| 153 | Estonia | 1.90 | 2010 est. |
| 154 | Czech Republic | 1.80 | 2010 est. |
| 155 | Denmark | 1.80 | 2010 est. |
| 156 | Fiji | 1.80 | 2010 est. |
| 157 | Guinea-Bissau | 1.80 | 2010 est. |
| 158 | Serbia | 1.80 | 2010 est. |
| 159 | Comoros | 1.70 | 2010 est. |
| 160 | European Union | 1.70 | 2010 est. |
| 161 | Netherlands | 1.70 | 2010 est. |
| 162 | Belgium | 1.60 | 2010 est. |
| 163 | United Kingdom | 1.60 | 2010 est. |
| 164 | Sint Maarten | 1.60 | 2008 est. |
| 165 | France | 1.60 | 2010 est. |
| 166 | Belize | 1.50 | 2010 est. |
| 167 | Norway | 1.50 | 2010 est. |
| 168 | Madagascar | 1.50 | 2010 est. |
| 169 | Macedonia | 1.50 | 2010 est. |
| 170 | Kiribati | 1.50 | 2010 est. |
| 171 | Greenland | 1.50 | 2008 est. |
| 172 | Cuba | 1.50 | 2010 est. |
| 173 | Dominica | 1.40 | 2010 est. |
| 174 | El Salvador | 1.20 | 2010 est. |
| 175 | Bosnia and Herzegovina | 1.10 | 2010 est. |
| 176 | Cayman Islands | 1.10 | 2008 est. |
| 177 | Italy | 1.10 | 2010 est. |
| 178 | Saint Lucia | 1.10 | 2010 est. |
| 179 | Brunei | 1.00 | 2010 est. |
| 180 | Slovenia | 1.00 | 2010 est. |
| 181 | Macau | 1.00 | 2009 est. |
| 182 | Portugal | 1.00 | 2010 est. |
| 183 | Grenada | 0.80 | 2010 est. |
| 184 | Hungary | 0.80 | 2010 est. |
| 185 | Cyprus | 0.60 | 2010 est. |
| 186 | Faroe Islands | 0.50 | 2008 est. |
| 187 | Saint Vincent and the Grenadines | 0.50 | 2010 est. |
| 188 | Lithuania | 0.40 | 2010 est. |
| 189 | Cook Islands | 0.10 | 2005 est. |
| 190 | Bulgaria | 0.00 | 2010 est. |
| 191 | Marshall Islands | -0.30 | 2008 est. |
| 192 | Spain | -0.40 | 2010 est. |
| 193 | Bahamas, The | -0.50 | 2010 est. |
| 194 | Tonga | -0.50 | 2010 est. |
| 195 | British Virgin Islands | -0.60 | 2008 est. |
| 196 | Ireland | -0.60 | 2010 est. |
| 197 | Barbados | -0.70 | 2010 est. |
| 198 | Jamaica | -0.80 | 2010 est. |
| 199 | Korea, North | -0.90 | 2009 est. |
| 200 | Montserrat | -1.00 | 2002 est. |
| 201 | Croatia | -1.40 | 2010 est. |
| 202 | Saint Kitts and Nevis | -1.50 | 2010 est. |
| 203 | Latvia | -1.80 | 2010 est. |
| 204 | Montenegro | -1.80 | 2010 est. |
| 205 | Romania | -1.90 | 2010 est. |
| 206 | Samoa | -2.00 | 2010 est. |
| 207 | Venezuela | -2.80 | 2010 est. |
| 208 | Iceland | -3.40 | 2010 est. |
| 209 | Kyrgyzstan | -3.50 | 2010 est. |
| 210 | Antigua and Barbuda | -4.10 | 2010 est. |
| 211 | Greece | -4.80 | 2010 est. |
| 212 | Puerto Rico | -5.80 | 2010 est. |
| 213 | Haiti | -8.00 | 2010 est. |
| 214 | Anguilla | -8.50 | 2009 est. |
