CIA - The World Factbook --  Median age   

This entry is the age that divides a population into two numerically equal groups; that is, half the people are younger than this age and half are older. It is a single index that summarizes the age distribution of a population. Currently, the median age ranges from a low of about 15 in Uganda and Gaza Strip to 40 or more in several European countries and Japan. See the entry for "Age structure" for the importance of a young versus an older age structure and, by implication, a low versus a higher median age.

| Rank | country | (years) | Date of Information |
| --- | --- | --- | --- |
| 1 | Monaco | 49.40 | 2011 est. |
| 2 | Germany | 44.90 | 2011 est. |
| 3 | Japan | 44.80 | 2011 est. |
| 4 | Italy | 43.50 | 2011 est. |
| 5 | Hong Kong | 43.40 | 2011 est. |
| 6 | Austria | 43.00 | 2011 est. |
| 7 | Saint Pierre and Miquelon | 42.60 | 2011 est. |
| 8 | Isle of Man | 42.60 | 2011 est. |
| 9 | Finland | 42.50 | 2011 est. |
| 10 | Greece | 42.50 | 2011 est. |
| 11 | San Marino | 42.50 | 2011 est. |
| 12 | Slovenia | 42.40 | 2011 est. |
| 13 | Belgium | 42.30 | 2011 est. |
| 14 | Guernsey | 42.20 | 2011 est. |
| 15 | Bermuda | 42.00 | 2011 est. |
| 16 | Sweden | 42.00 | 2011 est. |
| 17 | Bulgaria | 41.90 | 2011 est. |
| 18 | Liechtenstein | 41.80 | 2011 est. |
| 19 | Switzerland | 41.70 | 2011 est. |
| 20 | Croatia | 41.40 | 2011 est. |
| 21 | Serbia | 41.30 | 2011 est. |
| 22 | Netherlands | 41.10 | 2011 est. |
| 23 | Canada | 41.00 | 2011 est. |
| 24 | Denmark | 40.90 | 2011 est. |
| 25 | Czech Republic | 40.80 | 2011 est. |
| 26 | Bosnia and Herzegovina | 40.70 | 2011 est. |
| 27 | Latvia | 40.60 | 2011 est. |
| 28 | Spain | 40.50 | 2011 est. |
| 29 | Estonia | 40.50 | 2011 est. |
| 30 | Andorra | 40.50 | 2011 est. |
| 31 | Saint Barthelemy | 40.40 | 2011 est. |
| 32 | Virgin Islands | 40.40 | 2011 est. |
| 33 | Hungary | 40.20 | 2011 est. |
| 34 | Jersey | 40.10 | 2011 est. |
| 35 | Lithuania | 40.10 | 2011 est. |
| 36 | Singapore | 40.10 | 2011 est. |
| 37 | Norway | 40.00 | 2011 est. |
| 38 | Malta | 40.00 | 2011 est. |
| 39 | United Kingdom | 40.00 | 2011 est. |
| 40 | Portugal | 40.00 | 2011 est. |
| 41 | France | 39.90 | 2011 est. |
| 42 | Ukraine | 39.90 | 2011 est. |
| 43 | Luxembourg | 39.40 | 2011 est. |
| 44 | Georgia | 39.10 | 2011 est. |
| 45 | Belarus | 39.00 | 2011 est. |
