CIA - The World Factbook --  Median age   

This entry is the age that divides a population into two numerically equal groups; that is, half the people are younger than this age and half are older. It is a single index that summarizes the age distribution of a population. Currently, the median age ranges from a low of about 15 in Uganda and Gaza Strip to 40 or more in several European countries and Japan. See the entry for "Age structure" for the importance of a young versus an older age structure and, by implication, a low versus a higher median age.

| Rank | country | (years) | Date of Information |
| --- | --- | --- | --- |
| 1 | Monaco | 50.50 | 2013 est. |
| 2 | Japan | 45.80 | 2013 est. |
| 3 | Germany | 45.70 | 2013 est. |
| 4 | Hong Kong | 44.50 | 2013 est. |
| 5 | Italy | 44.20 | 2013 est. |
| 6 | Austria | 43.90 | 2013 est. |
| 7 | Saint Pierre and Miquelon | 43.90 | 2013 est. |
| 8 | Virgin Islands | 43.50 | 2013 est. |
| 9 | San Marino | 43.20 | 2013 est. |
| 10 | Greece | 43.20 | 2013 est. |
| 11 | Slovenia | 43.10 | 2013 est. |
| 12 | Isle of Man | 43.10 | 2013 est. |
| 13 | Finland | 43.00 | 2013 est. |
| 14 | Belgium | 42.80 | 2013 est. |
| 15 | Guernsey | 42.80 | 2013 est. |
| 16 | Bermuda | 42.60 | 2013 est. |
| 17 | Sweden | 42.40 | 2013 est. |
| 18 | Bulgaria | 42.30 | 2013 est. |
| 19 | Liechtenstein | 42.10 | 2013 est. |
| 20 | Andorra | 41.80 | 2013 est. |
| 21 | Croatia | 41.80 | 2013 est. |
| 22 | Switzerland | 41.80 | 2013 est. |
| 23 | Netherlands | 41.80 | 2013 est. |
| 24 | Saint Barthelemy | 41.70 | 2013 est. |
| 25 | Serbia | 41.70 | 2013 est. |
| 26 | Canada | 41.50 | 2013 est. |
| 27 | Czech Republic | 41.40 | 2013 est. |
| 28 | Denmark | 41.40 | 2013 est. |
| 29 | Spain | 41.30 | 2013 est. |
| 30 | Latvia | 41.20 | 2013 est. |
| 31 | Estonia | 41.00 | 2013 est. |
| 32 | Hungary | 40.80 | 2013 est. |
| 33 | Lithuania | 40.80 | 2013 est. |
| 34 | Portugal | 40.70 | 2013 est. |
| 35 | France | 40.60 | 2013 est. |
| 36 | Norway | 40.60 | 2013 est. |
| 37 | Malta | 40.50 | 2013 est. |
| 38 | Bosnia and Herzegovina | 40.40 | 2013 est. |
| 39 | United Kingdom | 40.30 | 2013 est. |
| 40 | Ukraine | 40.30 | 2013 est. |
| 41 | Saint Helena, Ascension, and Tristan da Cunha | 40.00 | 2013 est. |
| 42 | Jersey | 39.90 | 2013 est. |
| 43 | Korea, South | 39.70 | 2013 est. |
| 44 | Sint Maarten | 39.70 | 2013 est. |
| 45 | Georgia | 39.60 | 2013 est. |
