CIA - The World Factbook --  Physicians density   

| Rank | country | (physicians/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Monaco | 7.06 | 2011 |
| 2 | Cuba | 6.72 | 2010 |
| 3 | Greece | 6.04 | 2008 |
| 4 | Niue | 6.00 | 2008 |
| 5 | San Marino | 4.88 | 2011 |
| 6 | Austria | 4.86 | 2010 |
| 7 | Russia | 4.31 | 2006 |
| 8 | Georgia | 4.24 | 2011 |
| 9 | Switzerland | 4.08 | 2010 |
| 10 | Spain | 3.96 | 2011 |
| 11 | Netherlands | 3.92 | 2007 |
| 12 | Andorra | 3.91 | 2009 |
| 13 | Australia | 3.85 | 2010 |
| 14 | Kazakhstan | 3.84 | 2011 |
| 15 | Italy | 3.80 | 2009 |
| 16 | Sweden | 3.80 | 2010 |
| 17 | Belgium | 3.78 | 2010 |
| 18 | Bulgaria | 3.76 | 2010 |
| 19 | Belarus | 3.76 | 2011 |
| 20 | Portugal | 3.76 | 2009 |
| 21 | Uruguay | 3.74 | 2008 |
| 22 | Czech Republic | 3.71 | 2010 |
| 23 | Norway | 3.70 | 2011 |
| 24 | Germany | 3.69 | 2010 |
| 25 | Moldova | 3.64 | 2011 |
| 26 | Lithuania | 3.64 | 2010 |
| 27 | Lebanon | 3.54 | 2009 |
| 28 | Ukraine | 3.52 | 2011 |
| 29 | Iceland | 3.46 | 2011 |
| 30 | Denmark | 3.42 | 2007 |
| 31 | Hungary | 3.41 | 2010 |
| 32 | France | 3.38 | 2011 |
| 33 | Azerbaijan | 3.38 | 2011 |
| 34 | Estonia | 3.34 | 2010 |
| 35 | Korea, North | 3.29 | 2003 |
| 36 | Malta | 3.23 | 2011 |
| 37 | Ireland | 3.19 | 2008 |
| 38 | Argentina | 3.16 | 2004 |
| 39 | Israel | 3.11 | 2011 |
| 40 | Slovakia | 3.00 | 2007 |
| 41 | Finland | 2.90 | 2010 |
| 42 | Latvia | 2.90 | 2010 |
| 43 | Cook Islands | 2.89 | 2009 |
| 44 | Armenia | 2.85 | 2011 |
| 45 | Egypt | 2.83 | 2009 |
| 46 | Bahamas, The | 2.82 | 2008 |
| 47 | Luxembourg | 2.78 | 2011 |
| 48 | United Kingdom | 2.77 | 2011 |
| 49 | Mongolia | 2.76 | 2008 |
| 50 | Qatar | 2.76 | 2006 |
| 51 | Cyprus | 2.75 | 2010 |
| 52 | New Zealand | 2.74 | 2010 |
| 53 | Croatia | 2.72 | 2010 |
| 54 | Macedonia | 2.62 | 2009 |
| 55 | Jordan | 2.56 | 2010 |
| 56 | Slovenia | 2.54 | 2010 |
| 57 | Uzbekistan | 2.54 | 2010 |
| 58 | Kyrgyzstan | 2.47 | 2011 |
| 59 | Turkmenistan | 2.44 | 2007 |
| 60 | United States | 2.42 | 2009 |
| 61 | Romania | 2.39 | 2010 |
| 62 | Japan | 2.14 | 2008 |
| 63 | Serbia | 2.11 | 2009 |
| 64 | Canada | 2.07 | 2010 |
| 65 | Poland | 2.07 | 2010 |
| 66 | Oman | 2.05 | 2010 |
| 67 | Montenegro | 2.03 | 2010 |
| 68 | Korea, South | 2.02 | 2010 |
| 69 | Mexico | 1.96 | 2009 |
| 70 | Venezuela | 1.94 | 2001 |
| 71 | United Arab Emirates | 1.93 | 2007 |
| 72 | Singapore | 1.92 | 2010 |
| 73 | Libya | 1.90 | 2009 |
| 74 | Tajikistan | 1.90 | 2011 |
| 75 | Dominican Republic | 1.88 | 2000 |
| 76 | Barbados | 1.81 | 2005 |
| 77 | Kuwait | 1.79 | 2009 |
| 78 | Brazil | 1.76 | 2008 |
| 79 | Turkey | 1.71 | 2011 |
| 80 | Bosnia and Herzegovina | 1.69 | 2010 |
| 81 | Ecuador | 1.69 | 2009 |
| 82 | Greenland | 1.67 | 2009 |
| 83 | El Salvador | 1.60 | 2008 |
| 84 | Maldives | 1.60 | 2007 |
| 85 | Dominica | 1.59 | 2001 |
| 86 | Seychelles | 1.51 | 2004 |
| 87 | Syria | 1.50 | 2008 |
| 88 | Panama | 1.50 | 2000 |
| 89 | Bahrain | 1.49 | 2010 |
| 90 | Colombia | 1.47 | 2010 |
| 91 | China | 1.46 | 2010 |
| 92 | Palau | 1.38 | 2010 |
| 93 | Brunei | 1.36 | 2010 |
| 94 | Costa Rica | 1.32 | 2000 |
| 95 | Vietnam | 1.22 | 2008 |
| 96 | Tunisia | 1.22 | 2010 |
| 97 | Bolivia | 1.22 | 2001 |
| 98 | Algeria | 1.21 | 2007 |
| 99 | Malaysia | 1.20 | 2010 |
| 100 | Trinidad and Tobago | 1.18 | 2007 |
| 101 | Saint Kitts and Nevis | 1.17 | 2001 |
| 102 | Philippines | 1.15 | 2004 |
| 103 | Albania | 1.11 | 2011 |
| 104 | Paraguay | 1.11 | 2002 |
| 105 | Tuvalu | 1.09 | 2009 |
| 106 | Mauritius | 1.06 | 2004 |
| 107 | Chile | 1.03 | 2009 |
| 108 | Saudi Arabia | 0.94 | 2008 |
| 109 | Guatemala | 0.93 | 2009 |
| 110 | Peru | 0.92 | 2009 |
| 111 | Suriname | 0.91 | 2004 |
| 112 | Iran | 0.89 | 2005 |
| 113 | Belize | 0.83 | 2009 |
| 114 | Pakistan | 0.81 | 2009 |
| 115 | South Africa | 0.76 | 2011 |
| 116 | Nauru | 0.71 | 2010 |
| 117 | Grenada | 0.66 | 2006 |
| 118 | India | 0.65 | 2009 |
| 119 | Morocco | 0.62 | 2009 |
| 120 | Iraq | 0.61 | 2010 |
| 121 | Tonga | 0.56 | 2010 |
| 122 | Saint Vincent and the Grenadines | 0.53 | 2001 |
| 123 | Burma | 0.50 | 2010 |
| 124 | Sri Lanka | 0.49 | 2006 |
| 125 | Sao Tome and Principe | 0.49 | 2004 |
| 126 | Samoa | 0.48 | 2008 |
| 127 | Saint Lucia | 0.47 | 2002 |
| 128 | Marshall Islands | 0.44 | 2010 |
| 129 | Fiji | 0.43 | 2009 |
| 130 | Jamaica | 0.41 | 2008 |
| 131 | Nigeria | 0.40 | 2008 |
| 132 | Kiribati | 0.38 | 2010 |
| 133 | Namibia | 0.37 | 2007 |
| 134 | Honduras | 0.37 | 2005 |
| 135 | Nicaragua | 0.37 | 2003 |
| 136 | Bangladesh | 0.36 | 2011 |
| 137 | Botswana | 0.34 | 2006 |
| 138 | Equatorial Guinea | 0.30 | 2004 |
| 139 | Thailand | 0.30 | 2004 |
| 140 | Cabo Verde | 0.30 | 2010 |
| 141 | Gabon | 0.29 | 2004 |
| 142 | Sudan | 0.28 | 2008 |
| 143 | Haiti | 0.25 | 1998 |
| 144 | Djibouti | 0.23 | 2006 |
| 145 | Cambodia | 0.23 | 2008 |
| 146 | Solomon Islands | 0.22 | 2009 |
| 147 | Guyana | 0.21 | 2010 |
| 148 | Nepal | 0.21 | 2004 |
| 149 | Indonesia | 0.20 | 2012 |
| 150 | Yemen | 0.20 | 2010 |
| 151 | Afghanistan | 0.19 | 2010 |
| 152 | Laos | 0.19 | 2009 |
| 153 | Kenya | 0.18 | 2011 |
| 154 | Micronesia, Federated States of | 0.18 | 2009 |
| 155 | Antigua and Barbuda | 0.17 | 1999 |
| 156 | Swaziland | 0.17 | 2009 |
| 157 | Angola | 0.17 | 2009 |
| 158 | Madagascar | 0.16 | 2007 |
| 159 | Comoros | 0.15 | 2004 |
| 160 | Cote d'Ivoire | 0.14 | 2008 |
| 161 | Mauritania | 0.13 | 2009 |
| 162 | Vanuatu | 0.12 | 2008 |
| 163 | Uganda | 0.12 | 2005 |
| 164 | Congo, Democratic Republic of the | 0.11 | 2004 |
| 165 | Gambia, The | 0.11 | 2008 |
| 166 | Timor-Leste | 0.10 | 2004 |
| 167 | Guinea | 0.10 | 2005 |
| 168 | Congo, Republic of the | 0.10 | 2007 |
| 169 | Ghana | 0.09 | 2009 |
| 170 | Mali | 0.08 | 2010 |
| 171 | Cameroon | 0.08 | 2009 |
| 172 | Bhutan | 0.07 | 2008 |
| 173 | Guinea-Bissau | 0.07 | 2009 |
| 174 | Zambia | 0.07 | 2010 |
| 175 | Zimbabwe | 0.06 | 2009 |
| 176 | Senegal | 0.06 | 2008 |
| 177 | Benin | 0.06 | 2008 |
| 178 | Rwanda | 0.06 | 2010 |
| 179 | Togo | 0.05 | 2008 |
| 180 | Lesotho | 0.05 | 2003 |
| 181 | Papua New Guinea | 0.05 | 2008 |
| 182 | Eritrea | 0.05 | 2004 |
| 183 | Central African Republic | 0.05 | 2009 |
| 184 | Burkina Faso | 0.05 | 2010 |
| 185 | Chad | 0.04 | 2006 |
| 186 | Somalia | 0.04 | 2006 |
