CIA - The World Factbook --  Health expenditures   

This entry provides the total expenditure on health as a percentage of GDP. Health expenditures are broadly defined as activities performed either by institutions or individuals through the application of medical, paramedical, and/or nursing knowledge and technology, the primary purpose of which is to promote, restore, or maintain health.

| Rank | country | (% of GDP) | Date of Information |
| 154 | Estonia | 4.30 | 2009 |
| 155 | Kazakhstan | 4.30 | 2009 |
| 156 | Iceland | 4.20 | 2009 |
| 157 | Benin | 4.20 | 2009 |
| 158 | Luxembourg | 4.10 | 2009 |
| 159 | Kyrgyzstan | 4.10 | 2009 |
| 160 | Seychelles | 4.00 | 2009 |
| 161 | Vanuatu | 4.00 | 2009 |
| 162 | Sri Lanka | 4.00 | 2009 |
| 163 | Micronesia, Federated States of | 3.90 | 2009 |
| 164 | El Salvador | 3.90 | 2009 |
| 165 | Cape Verde | 3.90 | 2009 |
| 166 | Iran | 3.90 | 2009 |
| 167 | Liberia | 3.90 | 2009 |
| 168 | Singapore | 3.90 | 2009 |
| 169 | Philippines | 3.80 | 2009 |
| 170 | Ethiopia | 3.60 | 2009 |
| 171 | France | 3.50 | 2009 |
| 172 | Bangladesh | 3.40 | 2009 |
| 173 | Comoros | 3.40 | 2009 |
| 174 | Belize | 3.30 | 2009 |
| 175 | Kiribati | 3.30 | 2009 |
| 176 | Papua New Guinea | 3.10 | 2009 |
| 177 | Brunei | 3.00 | 2009 |
| 178 | Oman | 3.00 | 2009 |
| 179 | Congo, Republic of the | 3.00 | 2009 |
| 180 | Syria | 2.90 | 2009 |
| 181 | United Arab Emirates | 2.80 | 2009 |
| 182 | Pakistan | 2.60 | 2009 |
| 183 | Qatar | 2.50 | 2009 |
| 184 | Marshall Islands | 2.50 | 2009 |
| 185 | India | 2.40 | 2009 |
| 186 | Turkmenistan | 2.30 | 2009 |
| 187 | Equatorial Guinea | 2.20 | 2009 |
| 188 | Burma | 2.00 | 2009 |
| 189 | Korea, North | 2.00 | 2009 |
