CIA - The World Factbook --  Suffrage   

| Rank | country | Suffrage | Date of Information |
| 158 | Bosnia and Herzegovina | 18.00 | NA |
| 159 | Botswana | 18.00 | NA |
| 160 | British Virgin Islands | 18.00 | NA |
| 161 | Bulgaria | 18.00 | NA |
| 162 | Burma | 18.00 | NA |
| 163 | Cambodia | 18.00 | NA |
| 164 | Canada | 18.00 | NA |
| 165 | Cabo Verde | 18.00 | NA |
| 166 | Cayman Islands | 18.00 | NA |
| 167 | Central African Republic | 18.00 | NA |
| 168 | Chad | 18.00 | NA |
| 169 | Chile | 18.00 | NA |
| 170 | China | 18.00 | NA |
| 171 | Christmas Island | 18.00 | NA |
| 172 | Cocos (Keeling) Islands | 18.00 | NA |
| 173 | Colombia | 18.00 | NA |
| 174 | Comoros | 18.00 | NA |
| 175 | Congo, Democratic Republic of the | 18.00 | NA |
| 176 | Congo, Republic of the | 18.00 | NA |
| 177 | Cook Islands | 18.00 | NA |
| 178 | Costa Rica | 18.00 | NA |
| 179 | Cote d'Ivoire | 18.00 | NA |
| 180 | Croatia | 18.00 | NA |
| 181 | Cyprus | 18.00 | NA |
| 182 | Czech Republic | 18.00 | NA |
| 183 | Denmark | 18.00 | NA |
| 184 | Djibouti | 18.00 | NA |
| 185 | Dominica | 18.00 | NA |
| 186 | Dominican Republic | 18.00 | NA |
| 187 | Egypt | 18.00 | NA |
| 188 | El Salvador | 18.00 | NA |
| 189 | Equatorial Guinea | 18.00 | NA |
| 190 | Eritrea | 18.00 | NA |
| 191 | Estonia | 18.00 | NA |
| 192 | Ethiopia | 18.00 | NA |
| 193 | Falkland Islands (Islas Malvinas) | 18.00 | NA |
| 194 | Faroe Islands | 18.00 | NA |
| 195 | Fiji | 18.00 | NA |
| 196 | Finland | 18.00 | NA |
| 197 | France | 18.00 | NA |
| 198 | French Polynesia | 18.00 | NA |
| 199 | Gabon | 18.00 | NA |
| 200 | Gambia, The | 18.00 | NA |
| 201 | Georgia | 18.00 | NA |
| 202 | Germany | 18.00 | NA |
| 203 | Ghana | 18.00 | NA |
| 204 | Gibraltar | 18.00 | NA |
| 205 | Greece | 18.00 | NA |
| 206 | Greenland | 18.00 | NA |
| 207 | Grenada | 18.00 | NA |
| 208 | Guam | 18.00 | NA |
| 209 | Guatemala | 18.00 | NA |
| 210 | Guinea | 18.00 | NA |
| 211 | Sudan | 17.00 | NA |
| 212 | Timor-Leste | 17.00 | NA |
| 213 | Korea, North | 17.00 | NA |
| 214 | Indonesia | 17.00 | NA |
| 215 | Guernsey | 16.00 | NA |
| 216 | Isle of Man | 16.00 | NA |
| 217 | Jersey | 16.00 | NA |
| 218 | Austria | 16.00 | NA |
| 219 | Cuba | 16.00 | NA |
| 220 | Nicaragua | 16.00 | NA |


