CIA - The World Factbook --  CRUDE OIL - PROVED RESERVES

Crude oil - proved reserves is the stock of proved reserves of crude oil, in barrels (bbl). Proved reserves are those quantities of petroleum which, by analysis of geological and engineering data, can be estimated with a high degree of confidence to be commercially recoverable from a given date forward, from known reservoirs and under current economic conditions.

| Rank | Country | (BBL) | Date of Information |
| --- | --- | --- | --- |
| 1 | Venezuela | 300,900,000,000 | 1 January 2017 est. |
| 2 | Saudi Arabia | 266,500,000,000 | 1 January 2017 est. |
| 3 | Canada | 169,700,000,000 | 1 January 2017 est. |
| 4 | Iran | 158,400,000,000 | 1 January 2017 est. |
| 5 | Iraq | 142,500,000,000 | 1 January 2017 est. |
| 6 | Kuwait | 101,500,000,000 | 1 January 2017 est. |
| 7 | United Arab Emirates | 97,800,000,000 | 1 January 2017 est. |
| 8 | Russia | 80,000,000,000 | 1 January 2017 est. |
| 9 | Libya | 48,360,000,000 | 1 January 2017 est. |
| 10 | Nigeria | 37,060,000,000 | 1 January 2017 est. |
| 11 | United States | 36,520,000,000 | 1 January 2017 est. |
| 12 | Kazakhstan | 30,000,000,000 | 1 January 2017 est. |
| 13 | China | 25,620,000,000 | 1 January 2017 est. |
| 14 | Qatar | 25,240,000,000 | 1 January 2017 est. |
| 15 | Brazil | 13,000,000,000 | 1 January 2017 est. |
| 16 | Algeria | 12,200,000,000 | 1 January 2017 est. |
| 17 | Angola | 8,273,000,000 | 1 January 2017 est. |
| 18 | Ecuador | 8,273,000,000 | 1 January 2017 est. |
| 19 | Mexico | 7,640,000,000 | 1 January 2017 est. |
| 20 | Azerbaijan | 7,000,000,000 | 1 January 2017 est. |
| 21 | Norway | 6,611,000,000 | 1 January 2017 |
| 22 | European Union | 5,600,000,000 | 1 January 2015 est. |
| 23 | Oman | 5,373,000,000 | 1 January 2017 est. |
| 24 | Sudan | 5,000,000,000 | 1 January 2017 est. |
| 25 | India | 4,621,000,000 | 1 January 2017 est. |
| 26 | Vietnam | 4,400,000,000 | 1 January 2017 est. |
| 27 | Egypt | 4,400,000,000 | 1 January 2017 est. |
| 28 | South Sudan | 3,750,000,000 | 1 January 2017 est. |
| 29 | Malaysia | 3,600,000,000 | 1 January 2017 est. |
| 30 | Indonesia | 3,230,000,000 | 1 January 2017 est. |
| 31 | Yemen | 3,000,000,000 | 1 January 2017 est. |
| 32 | United Kingdom | 2,564,000,000 | 1 January 2017 est. |
| 33 | Syria | 2,500,000,000 | 1 January 2017 est. |
| 34 | Guyana | 2,500,000,000 | 1 January 2017 est. |
| 35 | Uganda | 2,500,000,000 | 1 January 2017 |
| 36 | Argentina | 2,185,000,000 | 1 January 2017 est. |
