CIA - The World Factbook --  Crude oil - proved reserves   

This entry is the stock of proved reserves of crude oil, in barrels (bbl). Proved reserves are those quantities of petroleum which, by analysis of geological and engineering data, can be estimated with a high degree of confidence to be commercially recoverable from a given date forward, from known reservoirs and under current economic conditions.

| Rank | country | (bbl) | Date of Information |
| --- | --- | --- | --- |
| 1 | World | 1,532,000,000,000 | 1 January 2012 est. |
| 2 | Saudi Arabia | 264,600,000,000 | 1 January 2012 est. |
| 3 | Venezuela | 209,400,000,000 | 1 January 2012 est. |
| 4 | Canada | 173,600,000,000 | 1 January 2012 est. |
| 5 | Iran | 151,200,000,000 | 1 January 2013 est. |
| 6 | Iraq | 143,100,000,000 | 1 January 2012 est. |
| 7 | Kuwait | 101,500,000,000 | 1 January 2013 est. |
| 8 | United Arab Emirates | 97,800,000,000 | 1 January 2012 est. |
| 9 | Russia | 60,000,000,000 | 1 January 2012 est. |
| 10 | Libya | 48,080,000,000 | 1 January 2013 est. |
| 11 | Nigeria | 38,500,000,000 | 1 January 2012 est. |
| 12 | Kazakhstan | 30,000,000,000 | 1 January 2012 est. |
| 13 | Brazil | 26,000,000,000 | 1 January 2013 est. |
| 14 | Qatar | 25,570,000,000 | 1 January 2012 est. |
| 15 | United States | 20,680,000,000 | 1 January 2012 est. |
| 16 | Angola | 15,000,000,000 | 1 January 2013 est. |
| 17 | China | 14,700,000,000 | 1 January 2012 est. |
| 18 | Algeria | 12,260,000,000 | 1 January 2013 est. |
| 19 | Mexico | 12,170,000,000 | 1 January 2013 est. |
| 20 | India | 8,935,000,000 | 1 January 2012 est. |
| 21 | Azerbaijan | 7,000,000,000 | 1 January 2012 est. |
| 22 | Ecuador | 6,573,000,000 | 1 January 2013 est. |
| 23 | European Union | 5,337,000,000 | 1 January 2012 est. |
| 24 | Norway | 5,320,000,000 | 1 January 2010 est. |
| 25 | Sudan | 5,000,000,000 | 1 January 2012 est. |
| 26 | Oman | 4,902,000,000 | 1 January 2012 est. |
| 27 | Vietnam | 4,700,000,000 | 1 January 2013 est. |
| 28 | Egypt | 4,450,000,000 | 1 January 2013 est. |
| 29 | Indonesia | 4,000,000,000 | 1 January 2013 est. |
| 30 | Malaysia | 2,900,000,000 | 1 January 2013 est. |
| 31 | Yemen | 2,880,000,000 | 1 January 2013 est. |
| 32 | United Kingdom | 2,827,000,000 | 1 January 2013 est. |
| 33 | Argentina | 2,820,000,000 | 1 January 2013 est. |
| 34 | Colombia | 2,417,000,000 | 1 January 2013 est. |
| 35 | Syria | 2,183,000,000 | 1 January 2012 est. |
| 36 | Congo, Republic of the | 1,600,000,000 | 1 January 2012 est. |
| 37 | Chad | 1,500,000,000 | 1 January 2012 est. |
| 38 | Australia | 1,426,000,000 | 1 January 2012 est. |
| 39 | Gabon | 1,309,000,000 | 1 January 2013 est. |
| 40 | Equatorial Guinea | 1,100,000,000 | 1 January 2012 est. |
| 41 | Brunei | 1,100,000,000 | 1 January 2012 est. |
| 42 | Uganda | 1,000,000,000 | 1 January 2010 est. |
| 43 | Denmark | 900,000,000 | 1 January 2012 est. |
| 44 | Trinidad and Tobago | 728,300,000 | 1 January 2012 est. |
| 45 | Ghana | 660,000,000 | 1 January 2012 est. |
| 46 | Turkmenistan | 600,000,000 | 1 January 2012 est. |
| 47 | Romania | 600,000,000 | 1 January 2013 est. |
| 48 | Uzbekistan | 594,000,000 | 1 January 2012 est. |
| 49 | Peru | 586,100,000 | 1 January 2012 est. |
| 50 | Timor-Leste | 553,800,000 | 1 January 2012 est. |
| 51 | Italy | 523,200,000 | 1 January 2012 est. |
| 52 | Pakistan | 480,900,000 | 1 January 2013 est. |
| 53 | Thailand | 442,000,000 | 1 January 2012 est. |
| 54 | Tunisia | 425,000,000 | 1 January 2012 est. |
| 55 | Ukraine | 395,000,000 | 1 January 2012 est. |
| 56 | Netherlands | 287,400,000 | 1 January 2012 est. |
| 57 | Germany | 276,000,000 | 1 January 2012 est. |
| 58 | Turkey | 270,400,000 | 1 January 2012 est. |
| 59 | Cote d'Ivoire | 250,000,000 | 1 January 2013 est. |
