CIA - The World Factbook --  Crude oil - proved reserves   

Crude oil - proved reserves is the stock of proved reserves of crude oil, in barrels (bbl). Proved reserves are those quantities of petroleum which, by analysis of geological and engineering data, can be estimated with a high degree of confidence to be commercially recoverable from a given date forward, from known reservoirs and under current economic conditions.

| Rank | country | (bbl) | Date of Information |
| 0 | 1 January 2013 est. | 191 | Sweden |
| 0 | 1 January 2013 est. | 192 | Switzerland |
| 0 | 1 January 2013 est. | 193 | Turks and Caicos Islands |
| 0 | 1 January 2013 est. | 194 | Tokelau |
| 0 | 1 January 2013 est. | 195 | Tonga |
| 0 | 1 January 2010 est. | 196 | Togo |
| 0 | 1 January 2013 est. | 197 | Sao Tome and Principe |
| 0 | 1 January 2010 est. | 198 | Timor-Leste |
| 0 | 1 January 2013 est. | 199 | Tanzania |
| 0 | NA | 200 | Burkina Faso |
| 0 | 1 January 2013 est. | 201 | Uruguay |
| 0 | 1 January 2009 est. | 202 | Saint Vincent and the Grenadines |
| 0 | 1 January 2013 est. | 203 | British Virgin Islands |
| 0 | 1 January 2013 est. | 204 | Virgin Islands |
| 0 | 1 January 2013 est. | 205 | Namibia |
| 0 | 1 January 2013 est. | 206 | West Bank |
| 0 | 1 January 2009 est. | 207 | Western Sahara |
| 0 | 1 January 2013 est. | 208 | Samoa |
| 0 | 1 January 2013 est. | 209 | Swaziland |
| 0 | 1 January 2010 est. | 210 | Zambia |
| 0 | 1 January 2013 est. | 211 | Zimbabwe |
| 0 |
| 1 January 2013 est. |



