CIA - The World Factbook --  HIV/AIDS - adult prevalence rate   

This entry gives an estimate of the percentage of adults (aged 15-49) living with HIV/AIDS. The adult prevalence rate is calculated by dividing the estimated number of adults living with HIV/AIDS at yearend by the total adult population at yearend.

| Rank | country | (%) | Date of Information |
| 130 | Norway | 0.10 | 2007 est. |
| 131 | New Zealand | 0.10 | 2007 est. |
| 132 | Morocco | 0.10 | 2007 est. |
| 133 | Mongolia | 0.10 | 2007 est. |
| 134 | Uzbekistan | 0.10 | 2007 est. |
| 135 | Georgia | 0.10 | 2007 est. |
| 136 | Finland | 0.10 | 2007 est. |
| 137 | Fiji | 0.10 | 2007 est. |
| 138 | Cuba | 0.10 | 2007 est. |
| 139 | Bangladesh | 0.10 | 2001 est. |
| 140 | Brunei | 0.10 | 2003 est. |
| 141 | Bulgaria | 0.10 | 2001 est. |
| 142 | Comoros | 0.10 | 2007 est. |
| 143 | Philippines | 0.10 | 2003 est. |
| 144 | Oman | 0.10 | 2001 est. |
| 145 | Maldives | 0.10 | 2001 est. |
| 146 | Macedonia | 0.10 | 2007 est. |
| 147 | Kuwait | 0.10 | 2001 est. |
| 148 | Korea, South | 0.10 | 2007 est. |
| 149 | Jordan | 0.10 | 2001 est. |
| 150 | Japan | 0.10 | 2003 est. |
| 151 | Iraq | 0.10 | 2001 est. |
| 152 | Hong Kong | 0.10 | 2003 est. |
| 153 | Yemen | 0.10 | 2001 est. |
| 154 | Turkmenistan | 0.10 | 2007 est. |
| 155 | Turkey | 0.10 | 2001 est. |
| 156 | Syria | 0.10 | 2001 est. |
| 157 | Sri Lanka | 0.10 | 2001 est. |
| 158 | Slovenia | 0.10 | 2007 est. |
| 159 | Slovakia | 0.10 | 2007 est. |
| 160 | Serbia | 0.10 | 2009 est. |
| 161 | Qatar | 0.10 | 2001 est. |
| 162 | Czech Republic | 0.10 | 2001 est. |
| 163 | Egypt | 0.10 | 2001 est. |
| 164 | Cyprus | 0.10 | 2003 est. |
| 165 | Croatia | 0.10 | 2007 est. |
| 166 | Bosnia and Herzegovina | 0.10 | 2007 est. |
| 167 | Cape Verde | 0.04 | NA |
| 168 | Afghanistan | 0.01 | 2001 est. |
| 169 | Saudi Arabia | 0.01 | 2001 est. |
| 170 | Svalbard | 0.00 | 2001 |
