CIA - The World Factbook --  Dependency ratios   

| Rank | country | Dependency ratios | Date of Information |
| 546 | Burma | 13.20 | 2014 est. |
| 547 | Saint Lucia | 13.10 | 2014 est. |
| 548 | Iran | 13.10 | 2014 est. |
| 549 | Azerbaijan | 13.00 | 2014 est. |
| 550 | Mauritius | 12.80 | 2014 est. |
| 551 | Guam | 12.80 | 2014 est. |
| 552 | Cabo Verde | 12.60 | 2014 est. |
| 553 | Indonesia | 12.50 | 2014 est. |
| 554 | China | 12.50 | 2014 est. |
| 555 | Malaysia | 12.40 | 2014 est. |
| 556 | India | 12.30 | 2014 est. |
| 557 | Lebanon | 12.30 | 2014 est. |
| 558 | Jamaica | 12.20 | 2014 est. |
| 559 | Bolivia | 12.10 | 2014 est. |
| 560 | Guatemala | 12.00 | 2014 est. |
| 561 | Nepal | 11.70 | 2014 est. |
| 562 | Fiji | 11.60 | 2014 est. |
| 563 | Cambodia | 11.60 | 2014 est. |
| 564 | South Africa | 11.50 | 2014 est. |
| 565 | Panama | 11.40 | 2014 est. |
| 566 | El Salvador | 11.40 | 2014 est. |
| 567 | Brazil | 11.30 | 2014 est. |
| 568 | Bahamas, The | 11.30 | 2014 est. |
| 569 | Turkey | 11.20 | 2014 est. |
| 570 | Paraguay | 11.20 | 2014 est. |
| 571 | Seychelles | 11.10 | 2014 est. |
| 572 | Samoa | 11.10 | 2014 est. |
| 573 | Gabon | 11.10 | 2014 est. |
| 574 | Egypt | 10.80 | 2014 est. |
| 575 | Macau | 10.80 | 2014 est. |
| 576 | Grenada | 10.70 | 2014 est. |
| 577 | Vietnam | 10.60 | 2014 est. |
| 578 | French Polynesia | 10.50 | 2014 est. |
| 579 | Tunisia | 10.50 | 2014 est. |
| 580 | Saint Vincent and the Grenadines | 10.50 | 2014 est. |
| 581 | Ecuador | 10.50 | 2014 est. |
| 582 | Costa Rica | 10.40 | 2014 est. |
| 583 | Antigua and Barbuda | 10.40 | 2014 est. |
| 584 | Colombia | 10.40 | 2014 est. |
| 585 | Tonga | 10.30 | 2014 est. |
| 586 | Venezuela | 10.20 | 2014 est. |
| 587 | Dominican Republic | 10.10 | 2014 est. |
| 588 | Mexico | 10.10 | 2014 est. |
| 589 | Suriname | 10.10 | 2014 est. |
| 590 | Peru | 10.00 | 2014 est. |
| 591 | Peru | 10.00 | 2014 est. |
| 592 | Kazakhstan | 10.00 | 2014 est. |
| 593 | Kazakhstan | 10.00 | 2014 est. |
| 594 | Dominican Republic | 9.90 | 2014 est. |
| 595 | Suriname | 9.90 | 2014 est. |
| 596 | Mexico | 9.90 | 2014 est. |
| 597 | Venezuela | 9.80 | 2014 est. |
| 598 | Tonga | 9.70 | 2014 est. |
| 599 | Costa Rica | 9.60 | 2014 est. |
| 600 | Antigua and Barbuda | 9.60 | 2014 est. |
| 601 | Colombia | 9.60 | 2014 est. |
| 602 | French Polynesia | 9.60 | 2014 est. |
| 603 | Ecuador | 9.60 | 2014 est. |
| 604 | Saint Vincent and the Grenadines | 9.50 | 2014 est. |
| 605 | Tunisia | 9.50 | 2014 est. |
| 606 | Vietnam | 9.40 | 2014 est. |
| 607 | Egypt | 9.30 | 2014 est. |
| 608 | Grenada | 9.30 | 2014 est. |
| 609 | Macau | 9.20 | 2014 est. |
| 610 | Samoa | 9.00 | 2014 est. |
| 611 | Seychelles | 9.00 | 2014 est. |
| 612 | Gabon | 9.00 | 2014 est. |
| 613 | Paraguay | 8.90 | 2014 est. |
| 614 | Bahamas, The | 8.90 | 2014 est. |
| 615 | Turkey | 8.90 | 2014 est. |
| 616 | Brazil | 8.80 | 2014 est. |
| 617 | El Salvador | 8.80 | 2014 est. |
| 618 | South Africa | 8.70 | 2014 est. |
| 619 | Panama | 8.70 | 2014 est. |
| 620 | Nepal | 8.60 | 2014 est. |
| 621 | Cambodia | 8.60 | 2014 est. |
| 622 | Fiji | 8.60 | 2014 est. |
| 623 | Guatemala | 8.30 | 2014 est. |
| 624 | Bolivia | 8.20 | 2014 est. |
| 625 | Jamaica | 8.20 | 2014 est. |
| 626 | Lebanon | 8.10 | 2014 est. |
| 627 | Malaysia | 8.10 | 2014 est. |
| 628 | India | 8.10 | 2014 est. |
| 629 | Indonesia | 8.00 | 2014 est. |
| 630 | Cabo Verde | 8.00 | 2014 est. |
| 631 | China | 8.00 | 2014 est. |
| 632 | Guam | 7.80 | 2014 est. |
| 633 | Mauritius | 7.80 | 2014 est. |
| 634 | Azerbaijan | 7.70 | 2014 est. |
| 635 | Sri Lanka | 7.60 | 2014 est. |
| 636 | Burma | 7.60 | 2014 est. |
| 637 | Iran | 7.60 | 2014 est. |
| 638 | Saint Lucia | 7.60 | 2014 est. |
| 639 | Trinidad and Tobago | 7.50 | 2014 est. |
| 640 | Haiti | 7.50 | 2014 est. |
| 641 | Morocco | 7.50 | 2014 est. |
| 642 | Libya | 7.40 | 2014 est. |
| 643 | Nicaragua | 7.40 | 2014 est. |
| 644 | Honduras | 7.40 | 2014 est. |
| 645 | Maldives | 7.40 | 2014 est. |
| 646 | Bangladesh | 7.30 | 2014 est. |
| 647 | Bhutan | 7.20 | 2014 est. |
| 648 | Korea, North | 7.20 | 2014 est. |
| 649 | Thailand | 7.20 | 2014 est. |
| 650 | Pakistan | 7.10 | 2014 est. |
| 651 | Lesotho | 7.00 | 2014 est. |
| 652 | Micronesia, Federated States of | 6.90 | 2014 est. |
| 653 | Singapore | 6.90 | 2014 est. |
| 654 | Syria | 6.90 | 2014 est. |
| 655 | Algeria | 6.80 | 2014 est. |
| 656 | Armenia | 6.70 | 2014 est. |
| 657 | Chile | 6.70 | 2014 est. |
| 658 | Zimbabwe | 6.70 | 2014 est. |
| 659 | New Caledonia | 6.70 | 2014 est. |
| 660 | Central African Republic | 6.70 | 2014 est. |
| 661 | Kiribati | 6.60 | 2014 est. |
| 662 | Vanuatu | 6.60 | 2014 est. |
| 663 | Djibouti | 6.50 | 2014 est. |
| 664 | Brunei | 6.50 | 2014 est. |
| 665 | Timor-Leste | 6.50 | 2014 est. |
| 666 | South Sudan | 6.40 | 2014 est. |
| 667 | Belize | 6.40 | 2014 est. |
| 668 | Mozambique | 6.40 | 2014 est. |
| 669 | Philippines | 6.40 | 2014 est. |
| 670 | Ethiopia | 6.30 | 2014 est. |
| 671 | Malawi | 6.30 | 2014 est. |
| 672 | Kyrgyzstan | 6.30 | 2014 est. |
| 673 | Uzbekistan | 6.30 | 2014 est. |
| 674 | Barbados | 6.30 | 2014 est. |
| 675 | Albania | 6.30 | 2014 est. |
| 676 | Congo, Republic of the | 6.30 | 2014 est. |
| 677 | Laos | 6.20 | 2014 est. |
| 678 | Tanzania | 6.20 | 2014 est. |
| 679 | Moldova | 6.20 | 2014 est. |
| 680 | Turkmenistan | 6.10 | 2014 est. |
| 681 | Cameroon | 6.00 | 2014 est. |
| 682 | Swaziland | 6.00 | 2014 est. |
| 683 | Sao Tome and Principe | 6.00 | 2014 est. |
| 684 | Solomon Islands | 6.00 | 2014 est. |
| 685 | Namibia | 5.90 | 2014 est. |
| 686 | Aruba | 5.90 | 2014 est. |
| 687 | Ghana | 5.90 | 2014 est. |
| 688 | Sudan | 5.90 | 2014 est. |
| 689 | Argentina | 5.90 | 2014 est. |
| 690 | Botswana | 5.90 | 2014 est. |
| 691 | Korea, South | 5.80 | 2014 est. |
| 692 | Guyana | 5.70 | 2014 est. |
| 693 | Cote d'Ivoire | 5.70 | 2014 est. |
| 694 | Jordan | 5.70 | 2014 est. |
| 695 | Israel | 5.70 | 2014 est. |
| 696 | Somalia | 5.60 | 2014 est. |
| 697 | Macedonia | 5.60 | 2014 est. |
| 698 | Cyprus | 5.60 | 2014 est. |
| 699 | Mauritania | 5.60 | 2014 est. |
| 700 | Liberia | 5.60 | 2014 est. |
| 701 | Guinea | 5.60 | 2014 est. |
| 702 | Niger | 5.50 | 2014 est. |
| 703 | Mali | 5.50 | 2014 est. |
| 704 | Senegal | 5.50 | 2014 est. |
| 705 | Mongolia | 5.50 | 2014 est. |
| 706 | Congo, Democratic Republic of the | 5.50 | 2014 est. |
| 707 | Iraq | 5.50 | 2014 est. |
| 708 | Russia | 5.40 | 2014 est. |
| 709 | Slovakia | 5.40 | 2014 est. |
| 710 | Ireland | 5.40 | 2014 est. |
| 711 | West Bank | 5.30 | 2014 est. |
| 712 | Benin | 5.30 | 2014 est. |
| 713 | Gaza Strip | 5.30 | 2014 est. |
| 714 | Cuba | 5.20 | 2014 est. |
| 715 | Nigeria | 5.20 | 2014 est. |
| 716 | Guinea-Bissau | 5.20 | 2014 est. |
| 717 | Tajikistan | 5.20 | 2014 est. |
| 718 | Comoros | 5.10 | 2014 est. |
| 719 | Belarus | 5.10 | 2014 est. |
| 720 | Zambia | 5.10 | 2014 est. |
| 721 | Montenegro | 5.10 | 2014 est. |
| 722 | Yemen | 5.10 | 2014 est. |
| 723 | Hong Kong | 5.10 | 2014 est. |
| 724 | Iceland | 5.10 | 2014 est. |
| 725 | Madagascar | 5.10 | 2014 est. |
| 726 | Papua New Guinea | 5.00 | 2014 est. |
| 727 | Togo | 5.00 | 2014 est. |
| 728 | Uganda | 4.90 | 2014 est. |
| 729 | Kenya | 4.90 | 2014 est. |
| 730 | Sierra Leone | 4.80 | 2014 est. |
| 731 | Chad | 4.80 | 2014 est. |
| 732 | Luxembourg | 4.80 | 2014 est. |
| 733 | Angola | 4.80 | 2014 est. |
| 734 | Puerto Rico | 4.70 | 2014 est. |
| 735 | Serbia | 4.70 | 2014 est. |
| 736 | Poland | 4.70 | 2014 est. |
| 737 | Burkina Faso | 4.70 | 2014 est. |
| 738 | Ukraine | 4.70 | 2014 est. |
| 739 | Equatorial Guinea | 4.70 | 2014 est. |
| 740 | Georgia | 4.60 | 2014 est. |
| 741 | Curacao | 4.60 | 2014 est. |
| 742 | United States | 4.60 | 2014 est. |
| 743 | Afghanistan | 4.60 | 2014 est. |
| 744 | Romania | 4.60 | 2014 est. |
| 745 | New Zealand | 4.60 | 2014 est. |
| 746 | Burundi | 4.50 | 2014 est. |
| 747 | Australia | 4.50 | 2014 est. |
| 748 | Uruguay | 4.50 | 2014 est. |
| 749 | Gambia, The | 4.50 | 2014 est. |
| 750 | Lithuania | 4.40 | 2014 est. |
| 751 | Rwanda | 4.40 | 2014 est. |
| 752 | Bosnia and Herzegovina | 4.40 | 2014 est. |
| 753 | Canada | 4.40 | 2014 est. |
| 754 | Saudi Arabia | 4.30 | 2014 est. |
| 755 | Eritrea | 4.20 | 2014 est. |
| 756 | Norway | 4.10 | 2014 est. |
| 757 | Guernsey | 4.00 | 2014 est. |
| 758 | Malta | 4.00 | 2014 est. |
| 759 | Jersey | 4.00 | 2014 est. |
| 760 | Czech Republic | 3.90 | 2014 est. |
| 761 | Slovenia | 3.90 | 2014 est. |
| 762 | Hungary | 3.90 | 2014 est. |
| 763 | Oman | 3.90 | 2014 est. |
| 764 | Western Sahara | 3.80 | 2014 est. |
| 765 | Spain | 3.70 | 2014 est. |
| 766 | Switzerland | 3.70 | 2014 est. |
| 767 | Netherlands | 3.70 | 2014 est. |
| 768 | Virgin Islands | 3.70 | 2014 est. |
| 769 | United Kingdom | 3.60 | 2014 est. |
| 770 | Latvia | 3.60 | 2014 est. |
| 771 | Estonia | 3.60 | 2014 est. |
| 772 | Austria | 3.60 | 2014 est. |
| 773 | Croatia | 3.60 | 2014 est. |
| 774 | France | 3.50 | 2014 est. |
| 775 | Belgium | 3.50 | 2014 est. |
| 776 | Denmark | 3.50 | 2014 est. |
| 777 | Portugal | 3.50 | 2014 est. |
| 778 | Bulgaria | 3.40 | 2014 est. |
| 779 | Kuwait | 3.30 | 2014 est. |
| 780 | Greece | 3.30 | 2014 est. |
| 781 | Finland | 3.20 | 2014 est. |
| 782 | Sweden | 3.20 | 2014 est. |
| 783 | Germany | 3.10 | 2014 est. |
| 784 | Bahrain | 3.00 | 2014 est. |
| 785 | Italy | 3.00 | 2014 est. |
| 786 | Japan | 2.40 | 2014 est. |
| 787 | Qatar | 1.10 | 2014 est. |
| 788 | United Arab Emirates | 0.50 | 2014 est. |


