CIA - The World Factbook --  Dependency ratios   

| Rank | country | Dependency ratios | Date of Information |
| 125 | Pakistan | 60.40 | 2014 est. |
| 126 | Virgin Islands | 60.20 | 2014 est. |
| 127 | Lesotho | 60.10 | 2014 est. |
| 128 | Belize | 59.70 | 2014 est. |
| 129 | Jordan | 59.40 | 2014 est. |
| 130 | Tajikistan | 59.10 | 2014 est. |
| 131 | Nicaragua | 58.80 | 2014 est. |
| 132 | Botswana | 58.60 | 2014 est. |
| 133 | Namibia | 58.30 | 2014 est. |
| 134 | Egypt | 58.30 | 2014 est. |
| 135 | Sweden | 58.30 | 2014 est. |
| 136 | Guyana | 57.70 | 2014 est. |
| 137 | El Salvador | 57.60 | 2014 est. |
| 138 | Cambodia | 57.60 | 2014 est. |
| 139 | France | 57.40 | 2014 est. |
| 140 | Honduras | 57.20 | 2014 est. |
| 141 | Dominican Republic | 57.10 | 2014 est. |
| 142 | Bolivia | 57.00 | 2014 est. |
| 143 | Syria | 57.00 | 2014 est. |
| 144 | Ecuador | 56.90 | 2014 est. |
| 145 | Finland | 56.80 | 2014 est. |
| 146 | Haiti | 56.70 | 2014 est. |
| 147 | Laos | 56.40 | 2014 est. |
| 148 | Micronesia, Federated States of | 56.40 | 2014 est. |
| 149 | Uruguay | 55.90 | 2014 est. |
| 150 | Denmark | 55.60 | 2014 est. |
| 151 | Nepal | 55.40 | 2014 est. |
| 152 | Kiribati | 55.30 | 2014 est. |
| 153 | Italy | 55.00 | 2014 est. |
| 154 | United Kingdom | 54.80 | 2014 est. |
| 155 | Belgium | 54.80 | 2014 est. |
| 156 | Panama | 54.70 | 2014 est. |
| 157 | Philippines | 54.30 | 2014 est. |
| 158 | Argentina | 54.10 | 2014 est. |
| 159 | Djibouti | 54.00 | 2014 est. |
| 160 | South Africa | 53.90 | 2014 est. |
| 161 | Peru | 53.70 | 2014 est. |
| 162 | Jordan | 53.70 | 2014 est. |
| 163 | Pakistan | 53.40 | 2014 est. |
| 164 | Belize | 53.30 | 2014 est. |
| 165 | Kyrgyzstan | 53.20 | 2014 est. |
| 166 | Norway | 53.20 | 2014 est. |
| 167 | Venezuela | 52.90 | 2014 est. |
| 168 | Greece | 52.90 | 2014 est. |
| 169 | Netherlands | 52.80 | 2014 est. |
| 170 | Botswana | 52.80 | 2014 est. |
| 171 | Mexico | 52.70 | 2014 est. |
| 172 | Jamaica | 52.60 | 2014 est. |
| 173 | Fiji | 52.50 | 2014 est. |
| 174 | New Zealand | 52.50 | 2014 est. |
| 175 | Libya | 52.20 | 2014 est. |
| 176 | Bangladesh | 52.20 | 2014 est. |
| 177 | Guam | 52.10 | 2014 est. |
| 178 | Germany | 52.10 | 2014 est. |
| 179 | Estonia | 52.00 | 2014 est. |
| 180 | India | 51.80 | 2014 est. |
| 181 | Cabo Verde | 51.70 | 2014 est. |
| 182 | Paraguay | 51.50 | 2014 est. |
| 183 | Nicaragua | 51.40 | 2014 est. |
| 184 | Ireland | 51.40 | 2014 est. |
| 185 | Sri Lanka | 51.30 | 2014 est. |
| 186 | Australia | 51.00 | 2014 est. |
| 187 | United States | 51.00 | 2014 est. |
| 188 | Indonesia | 51.00 | 2014 est. |
| 189 | Latvia | 51.00 | 2014 est. |
| 190 | Grenada | 50.90 | 2014 est. |
| 191 | Iceland | 50.90 | 2014 est. |
| 192 | Colombia | 50.90 | 2014 est. |
| 193 | Portugal | 50.80 | 2014 est. |
| 194 | Suriname | 50.70 | 2014 est. |
| 195 | Curacao | 50.60 | 2014 est. |
| 196 | Bulgaria | 50.30 | 2014 est. |
| 197 | Spain | 50.30 | 2014 est. |
| 198 | Puerto Rico | 50.10 | 2014 est. |
| 199 | Croatia | 50.00 | 2014 est. |
| 200 | Maldives | 50.00 | 2014 est. |
| 201 | Morocco | 49.10 | 2014 est. |
| 202 | Egypt | 49.10 | 2014 est. |
| 203 | Austria | 49.10 | 2014 est. |
| 204 | Cambodia | 49.00 | 2014 est. |
| 205 | Turkey | 48.90 | 2014 est. |
| 206 | Kazakhstan | 48.70 | 2014 est. |
| 207 | Kiribati | 48.70 | 2014 est. |
| 208 | Georgia | 48.60 | 2014 est. |
| 209 | Switzerland | 48.50 | 2014 est. |
| 210 | Algeria | 48.50 | 2014 est. |
| 211 | Uzbekistan | 48.30 | 2014 est. |
