CIA - The World Factbook --  ELECTRICITY - FROM OTHER RENEWABLE SOURCES

Electricity - from other renewable sources measures the capacity of plants that generate electricity by using renewable energy sources other than hydroelectric (including, for example, wind, waves, solar, and geothermal), expressed as a share of the country's total generating capacity.

| Rank | Country | (% OF TOTAL INSTALLED CAPACITY) | Date of Information |
| --- | --- | --- | --- |
| 1 | Dominica | 73.5 | 2011 est. |
| 2 | Denmark | 38.4 | 2011 est. |
| 3 | Germany | 36.0 | 2012 est. |
| 4 | Nicaragua | 34.1 | 2013 est. |
| 5 | Cabo Verde | 31.6 | 2011 est. |
| 6 | Spain | 30.0 | 2011 est. |
| 7 | Portugal | 27.2 | 2011 est. |
| 8 | Iceland | 24.9 | 2011 est. |
| 9 | Belgium | 22.6 | 2011 est. |
| 10 | Italy | 20.9 | 2011 est. |
| 11 | Belize | 20.7 | 2011 est. |
| 12 | Ireland | 19.9 | 2011 est. |
| 13 | Austria | 19.9 | 2011 est. |
| 14 | Sweden | 19.6 | 2011 est. |
| 15 | European Union | 19.6 | 2011 est. |
| 16 | Luxembourg | 17.9 | 2011 est. |
| 17 | Mauritius | 17.8 | 2011 est. |
| 18 | El Salvador | 15.5 | 2011 est. |
| 19 | New Zealand | 15.1 | 2011 est. |
| 20 | Greece | 14.2 | 2011 est. |
| 21 | Costa Rica | 13.6 | 2011 est. |
| 22 | Netherlands | 13.2 | 2012 est. |
| 23 | Cyprus | 13.1 | 2011 est. |
| 24 | Finland | 12.7 | 2011 est. |
| 25 | Guatemala | 12.5 | 2011 est. |
| 26 | Kenya | 12.4 | 2011 est. |
| 27 | India | 12.3 | 31 March 2012 est. |
| 28 | Philippines | 12.3 | 2011 est. |
| 29 | Czech Republic | 11.5 | 2012 est. |
| 30 | Honduras | 10.7 | 2011 est. |
| 31 | Vanuatu | 10.7 | 2011 est. |
| 32 | Brazil | 10.4 | 2011 est. |
| 33 | Falkland Islands (Islas Malvinas) | 10.0 | 2011 est. |
| 34 | Aruba | 9.4 | 2011 est. |
| 35 | Slovakia | 9.4 | 2011 est. |
| 36 | France | 9.3 | 2011 est. |
| 37 | Hungary | 8.9 | 2011 est. |
| 38 | Estonia | 8.7 | 2011 est. |
| 39 | Romania | 8.6 | 2012 est. |
| 40 | Papua New Guinea | 8.0 | 2011 est. |
| 41 | United Kingdom | 8.0 | 2012 est. |
| 42 | Bulgaria | 7.9 | 2011 est. |
| 43 | New Caledonia | 7.6 | 2011 est. |
| 44 | Lithuania | 7.2 | 2011 est. |
| 45 | China | 7.2 | 2013 est. |
| 46 | Australia | 7.1 | 2011 est. |
| 47 | Chile | 6.3 | 2011 est. |
| 48 | United States | 6.2 | 2011 est. |
| 49 | Jamaica | 5.8 | 2011 est. |
| 50 | Fiji | 5.7 | 2011 est. |
| 51 | Poland | 5.6 | 2011 est. |
| 52 | Canada | 5.5 | 2011 est. |
| 53 | Slovenia | 5.5 | 2012 est. |
| 54 | Turkey | 5.4 | 2011 est. |
| 55 | Israel | 5.2 | 2011 est. |
| 56 | Morocco | 4.9 | 2011 est. |
| 57 | Saint Kitts and Nevis | 4.8 | 2011 est. |
| 58 | Faroe Islands | 4.1 | 2011 est. |
| 59 | Guyana | 3.7 | 2011 est. |
| 60 | Japan | 3.6 | 2011 est. |
| 61 | Croatia | 3.5 | 2011 est. |
| 62 | Serbia | 3.5 | 2013 est. |
| 63 | Bosnia and Herzegovina | 3.5 | 2012 est. |
| 64 | Switzerland | 3.5 | 2011 est. |
| 65 | Uganda | 3.4 | 2011 est. |
| 66 | Mexico | 3.2 | 2011 est. |
| 67 | Taiwan | 3.1 | 2011 est. |
| 68 | Sudan | 3.0 | 2010 est. |
| 69 | Indonesia | 3.0 | 2011 est. |
| 70 | South Sudan | 3.0 | 2010 est. |
| 71 | Latvia | 2.7 | 2011 est. |
| 72 | Singapore | 2.6 | 2011 est. |
| 73 | Malta | 2.5 | 2013 est. |
| 74 | Saint Pierre and Miquelon | 2.3 | 2011 est. |
| 75 | Norway | 2.2 | 2011 est. |
| 76 | Korea, South | 2.1 | 2011 est. |
| 77 | Egypt | 2.0 | 2011 est. |
| 78 | Ecuador | 1.9 | 2011 est. |
| 79 | Ethiopia | 1.8 | 2011 est. |
| 80 | Bermuda | 1.8 | 2012 est. |
| 81 | Uruguay | 1.6 | 2011 est. |
| 82 | Bolivia | 1.5 | 2012 est. |
| 83 | Grenada | 1.4 | 2011 est. |
| 84 | Dominican Republic | 1.4 | 2011 est. |
| 85 | Eritrea | 1.3 | 2011 est. |
