CIA - The World Factbook --  Infant mortality rate   

This entry gives the number of deaths of infants under one year old in a given year per 1,000 live births in the same year; included is the total death rate, and deaths by sex, male and female. This rate is often used as an indicator of the level of health in a country.

| Rank | country | (deaths/1,000 live births) | Date of Information |
| --- | --- | --- | --- |
| 1 | Angola | 175.90 | 2011 est. |
| 2 | Afghanistan | 149.20 | 2011 est. |
| 3 | Niger | 112.22 | 2011 est. |
| 4 | Mali | 111.35 | 2011 est. |
| 5 | Somalia | 105.56 | 2011 est. |
| 6 | South Sudan | 102.00 | 2006 |
| 7 | Central African Republic | 99.38 | 2011 est. |
| 8 | Guinea-Bissau | 96.23 | 2011 est. |
| 9 | Chad | 95.31 | 2011 est. |
| 10 | Nigeria | 91.54 | 2011 est. |
| 11 | Burkina Faso | 81.40 | 2011 est. |
| 12 | Malawi | 81.04 | 2011 est. |
| 13 | Mozambique | 78.95 | 2011 est. |
| 14 | Congo, Democratic Republic of the | 78.43 | 2011 est. |
| 15 | Sierra Leone | 78.38 | 2011 est. |
| 16 | Equatorial Guinea | 77.30 | 2011 est. |
| 17 | Ethiopia | 77.12 | 2011 est. |
| 18 | Congo, Republic of the | 76.05 | 2011 est. |
| 19 | Liberia | 74.52 | 2011 est. |
| 20 | Gambia, The | 71.67 | 2011 est. |
| 21 | Sudan | 68.07 | 2011 est. |
| 22 | Tanzania | 66.93 | 2011 est. |
| 23 | Zambia | 66.60 | 2011 est. |
| 24 | Cote d'Ivoire | 64.78 | 2011 est. |
| 25 | Rwanda | 64.04 | 2011 est. |
| 26 | Pakistan | 63.26 | 2011 est. |
| 27 | Swaziland | 63.09 | 2011 est. |
| 28 | Comoros | 62.63 | 2011 est. |
| 29 | Uganda | 62.47 | 2011 est. |
| 30 | Burundi | 61.82 | 2011 est. |
| 31 | Benin | 61.56 | 2011 est. |
| 32 | Guinea | 61.03 | 2011 est. |
| 33 | Cameroon | 60.91 | 2011 est. |
| 34 | Western Sahara | 60.44 | 2011 est. |
| 35 | Mauritania | 60.42 | 2011 est. |
| 36 | Laos | 59.46 | 2011 est. |
| 37 | Senegal | 56.42 | 2011 est. |
| 38 | Cambodia | 55.49 | 2011 est. |
| 39 | Yemen | 55.11 | 2011 est. |
| 40 | Lesotho | 55.04 | 2011 est. |
| 41 | Djibouti | 54.94 | 2011 est. |
| 42 | Haiti | 54.02 | 2011 est. |
| 43 | Sao Tome and Principe | 53.21 | 2011 est. |
| 44 | Kenya | 52.29 | 2011 est. |
| 45 | Togo | 51.48 | 2011 est. |
| 46 | Madagascar | 51.45 | 2011 est. |
| 47 | Azerbaijan | 51.08 | 2011 est. |
| 48 | Bangladesh | 50.73 | 2011 est. |
| 49 | Gabon | 49.95 | 2011 est. |
