CIA - The World Factbook --  Infant mortality rate   

Infant mortality rate compares the number of deaths of infants under one year old in a given year per 1,000 live births in the same year. This rate is often used as an indicator of the level of health in a country.

| Rank | country | (deaths/1,000 live births) | Date of Information |
| --- | --- | --- | --- |
| 1 | Afghanistan | 117.23 | 2014 est. |
| 2 | Mali | 104.34 | 2014 est. |
| 3 | Somalia | 100.14 | 2014 est. |
| 4 | Central African Republic | 92.86 | 2014 est. |
| 5 | Guinea-Bissau | 90.92 | 2014 est. |
| 6 | Chad | 90.30 | 2014 est. |
| 7 | Niger | 86.27 | 2014 est. |
| 8 | Angola | 79.99 | 2014 est. |
| 9 | Burkina Faso | 76.80 | 2014 est. |
| 10 | Nigeria | 74.09 | 2014 est. |
| 11 | Sierra Leone | 73.29 | 2014 est. |
| 12 | Congo, Democratic Republic of the | 73.15 | 2014 est. |
| 13 | Mozambique | 72.42 | 2014 est. |
| 14 | Equatorial Guinea | 71.12 | 2014 est. |
| 15 | Liberia | 69.19 | 2014 est. |
| 16 | South Sudan | 68.16 | 2014 est. |
| 17 | Zambia | 66.62 | 2014 est. |
| 18 | Gambia, The | 65.74 | 2014 est. |
| 19 | Comoros | 65.31 | 2014 est. |
| 20 | Burundi | 63.44 | 2014 est. |
| 21 | Uganda | 60.82 | 2014 est. |
| 22 | Cote d'Ivoire | 60.16 | 2014 est. |
| 23 | Rwanda | 59.59 | 2014 est. |
| 24 | Congo, Republic of the | 59.34 | 2014 est. |
| 25 | Pakistan | 57.48 | 2014 est. |
| 26 | Benin | 57.09 | 2014 est. |
| 27 | Western Sahara | 56.09 | 2014 est. |
| 28 | Mauritania | 56.06 | 2014 est. |
| 29 | Ethiopia | 55.77 | 2014 est. |
| 30 | Guinea | 55.24 | 2014 est. |
| 31 | Cameroon | 55.10 | 2014 est. |
| 32 | Swaziland | 54.82 | 2014 est. |
| 33 | Laos | 54.53 | 2014 est. |
| 34 | Sudan | 52.86 | 2014 est. |
| 35 | Senegal | 52.72 | 2014 est. |
| 36 | Cambodia | 51.36 | 2014 est. |
| 37 | Lesotho | 50.48 | 2014 est. |
| 38 | Yemen | 50.41 | 2014 est. |
| 39 | Djibouti | 50.20 | 2014 est. |
| 40 | Haiti | 49.43 | 2014 est. |
| 41 | Sao Tome and Principe | 49.16 | 2014 est. |
| 42 | Malawi | 48.01 | 2014 est. |
| 43 | Gabon | 47.03 | 2014 est. |
| 44 | Togo | 46.73 | 2014 est. |
| 45 | Bangladesh | 45.67 | 2014 est. |
| 46 | Namibia | 45.64 | 2014 est. |
| 47 | Burma | 44.91 | 2014 est. |
| 48 | Madagascar | 44.88 | 2014 est. |
| 49 | Tanzania | 43.74 | 2014 est. |
| 50 | India | 43.19 | 2014 est. |
| 51 | South Africa | 41.61 | 2014 est. |
| 52 | Kenya | 40.71 | 2014 est. |
| 53 | Nepal | 40.43 | 2014 est. |
| 54 | Papua New Guinea | 39.67 | 2014 est. |
| 55 | Iran | 39.00 | 2014 est. |
| 56 | Timor-Leste | 38.79 | 2014 est. |
| 57 | Bolivia | 38.61 | 2014 est. |
| 58 | Ghana | 38.52 | 2014 est. |
| 59 | Eritrea | 38.44 | 2014 est. |
| 60 | Turkmenistan | 38.13 | 2014 est. |
| 61 | Bhutan | 37.89 | 2014 est. |
| 62 | Iraq | 37.53 | 2014 est. |
| 63 | Kiribati | 35.37 | 2014 est. |
| 64 | Tajikistan | 35.03 | 2014 est. |
| 65 | Guyana | 33.56 | 2014 est. |
| 66 | Tuvalu | 31.69 | 2014 est. |
| 67 | Kyrgyzstan | 28.71 | 2014 est. |
