CIA - The World Factbook --  INFANT MORTALITY RATE

Infant mortality rate compares the number of deaths of infants under one year old in a given year per 1,000 live births in the same year. This rate is often used as an indicator of the level of health in a country.

| Rank | Country | (DEATHS/1,000 LIVE BIRTHS) | Date of Information |
| 121 | China | 12.20 | 2016 est. |
| 122 | Mexico | 11.90 | 2016 est. |
| 123 | Bahamas, The | 11.70 | 2016 est. |
| 124 | Tonga | 11.60 | 2016 est. |
| 125 | Saint Lucia | 11.20 | 2016 est. |
| 126 | Libya | 11.10 | 2016 est. |
| 127 | Aruba | 11.00 | 2016 est. |
| 128 | Dominica | 10.90 | 2016 est. |
| 129 | Palau | 10.90 | 2016 est. |
| 130 | Barbados | 10.50 | 2016 est. |
| 131 | Turks and Caicos Islands | 10.40 | 2016 est. |
| 132 | United Arab Emirates | 10.30 | 2016 est. |
| 133 | Seychelles | 10.20 | 2016 est. |
| 134 | Argentina | 10.10 | 2016 est. |
| 135 | Panama | 10.10 | 2016 est. |
| 136 | Mauritius | 10.00 | 2016 est. |
| 137 | Grenada | 9.90 | 2016 est. |
| 138 | Brunei | 9.90 | 2016 est. |
| 139 | Fiji | 9.70 | 2016 est. |
| 140 | Romania | 9.60 | 2016 est. |
| 141 | Croatia | 9.50 | 2016 est. |
| 142 | Thailand | 9.40 | 2016 est. |
| 143 | Bahrain | 9.20 | 2016 est. |
| 144 | Greenland | 9.00 | 2016 est. |
| 145 | Botswana | 8.60 | 2016 est. |
| 146 | Sri Lanka | 8.60 | 2016 est. |
| 147 | Saint Kitts and Nevis | 8.60 | 2016 est. |
| 148 | American Samoa | 8.50 | 2016 est. |
| 149 | Bulgaria | 8.50 | 2016 est. |
| 150 | Uruguay | 8.50 | 2016 est. |
| 151 | Costa Rica | 8.30 | 2016 est. |
| 152 | Sint Maarten | 8.30 | 2013 est. |
| 153 | Cyprus | 8.10 | 2016 est. |
| 154 | Ukraine | 8.00 | 2016 est. |
| 155 | Nauru | 7.90 | 2016 est. |
| 156 | Curacao | 7.70 | 2016 est. |
| 157 | Lebanon | 7.60 | 2016 est. |
| 158 | Macedonia | 7.50 | 2016 est. |
| 159 | Puerto Rico | 7.40 | 2016 est. |
| 160 | Kuwait | 7.10 | 2016 est. |
| 161 | Russia | 6.90 | 2016 est. |
| 162 | Chile | 6.70 | 2016 est. |
| 163 | Saint Pierre and Miquelon | 6.60 | 2016 est. |
| 164 | Virgin Islands | 6.50 | 2016 est. |
| 165 | Qatar | 6.20 | 2016 est. |
| 166 | Cayman Islands | 6.00 | 2016 est. |
| 167 | Gibraltar | 6.00 | 2016 est. |
| 168 | Serbia | 5.90 | 2016 est. |
| 169 | United States | 5.80 | 2016 est. |
| 170 | Bosnia and Herzegovina | 5.60 | 2016 est. |
| 171 | Faroe Islands | 5.50 | 2016 est. |
| 172 | Guam | 5.30 | 2016 est. |
| 173 | Latvia | 5.30 | 2016 est. |
| 174 | New Caledonia | 5.30 | 2016 est. |
| 175 | Northern Mariana Islands | 5.30 | 2016 est. |
| 176 | Slovakia | 5.20 | 2016 est. |
| 177 | Hungary | 5.00 | 2016 est. |
| 178 | French Polynesia | 4.70 | 2016 est. |
| 179 | Canada | 4.60 | 2016 est. |
| 180 | Greece | 4.60 | 2016 est. |
| 181 | Cuba | 4.50 | 2016 est. |
| 182 | Poland | 4.50 | 2016 est. |
| 183 | New Zealand | 4.50 | 2016 est. |
| 184 | Wallis and Futuna | 4.40 | 2016 est. |
| 185 | Portugal | 4.40 | 2016 est. |
| 186 | Taiwan | 4.40 | 2016 est. |
| 187 | San Marino | 4.40 | 2016 est. |
| 188 | Australia | 4.30 | 2016 est. |
| 189 | Liechtenstein | 4.30 | 2016 est. |
| 190 | United Kingdom | 4.30 | 2016 est. |
| 191 | Isle of Man | 4.10 | 2016 est. |
| 192 | European Union | 4.00 | 2016 est. |
| 193 | Denmark | 4.00 | 2016 est. |
| 194 | Slovenia | 4.00 | 2016 est. |
| 195 | Lithuania | 3.80 | 2016 est. |
| 196 | Jersey | 3.80 | 2016 est. |
| 197 | Estonia | 3.80 | 2016 est. |
| 198 | Ireland | 3.70 | 2016 est. |
| 199 | Switzerland | 3.60 | 2016 est. |
| 200 | Belarus | 3.60 | 2016 est. |
| 201 | Andorra | 3.60 | 2016 est. |
| 202 | Netherlands | 3.60 | 2016 est. |
| 203 | Malta | 3.50 | 2016 est. |
| 204 | Israel | 3.50 | 2016 est. |
| 205 | Germany | 3.40 | 2016 est. |
| 206 | Guernsey | 3.40 | 2016 est. |
| 207 | Belgium | 3.40 | 2016 est. |
| 208 | Anguilla | 3.40 | 2016 est. |
| 209 | Austria | 3.40 | 2016 est. |
| 210 | Luxembourg | 3.40 | 2016 est. |
| 211 | Italy | 3.30 | 2016 est. |
| 212 | France | 3.30 | 2016 est. |
| 213 | Spain | 3.30 | 2016 est. |
| 214 | Macau | 3.10 | 2016 est. |
| 215 | Korea, South | 3.00 | 2016 est. |
| 216 | Hong Kong | 2.70 | 2016 est. |
| 217 | Czechia | 2.60 | 2016 est. |
| 218 | Sweden | 2.60 | 2016 est. |
| 219 | Bermuda | 2.50 | 2016 est. |
| 220 | Finland | 2.50 | 2016 est. |
| 221 | Norway | 2.50 | 2016 est. |
| 222 | Singapore | 2.40 | 2016 est. |
| 223 | Iceland | 2.10 | 2016 est. |
| 224 | Japan | 2.00 | 2016 est. |
| 225 | Monaco | 1.80 | 2016 est. |


