CIA - The World Factbook --  Crude oil - imports   

Crude oil - imports is the total amount of crude oil imported, in barrels per day (bbl/day).

| Rank | country | (bbl/day) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 9,213,000 | 2010 est. |
| 2 | China | 5,664,000 | 2013 est. |
| 3 | Japan | 3,472,000 | 2010 est. |
| 4 | India | 3,272,000 | 2010 est. |
| 5 | Korea, South | 2,590,000 | 2012 est. |
| 6 | Germany | 1,876,000 | 2010 est. |
| 7 | Italy | 1,591,000 | 2010 est. |
| 8 | France | 1,298,000 | 2010 est. |
| 9 | Netherlands | 1,202,000 | 2012 est. |
| 10 | Singapore | 1,137,000 | 2010 est. |
| 11 | Spain | 1,061,000 | 2010 est. |
| 12 | United Kingdom | 1,053,000 | 2013 est. |
| 13 | Taiwan | 885,900 | 2010 est. |
| 14 | Thailand | 793,900 | 2011 est. |
| 15 | Canada | 770,300 | 2010 est. |
| 16 | Belgium | 667,700 | 2010 est. |
| 17 | Poland | 547,900 | 2011 est. |
| 18 | Australia | 475,900 | 2010 est. |
| 19 | Greece | 405,500 | 2010 est. |
| 20 | Virgin Islands | 402,000 | 2010 est. |
| 21 | Sweden | 398,100 | 2010 est. |
| 22 | Indonesia | 388,400 | 2010 est. |
| 23 | South Africa | 385,100 | 2010 est. |
| 24 | Brazil | 343,600 | 2010 est. |
| 25 | Turkey | 338,900 | 2010 est. |
| 26 | Belarus | 294,800 | 2010 est. |
| 27 | Israel | 260,600 | 2010 est. |
| 28 | Switzerland | 258,200 | 2011 est. |
| 29 | Bahrain | 256,000 | 2011 est. |
| 30 | Aruba | 228,800 | 2010 est. |
| 31 | Portugal | 222,300 | 2010 est. |
| 32 | Finland | 214,700 | 2010 est. |
| 33 | Lithuania | 190,100 | 2010 est. |
| 34 | Philippines | 182,000 | 2010 est. |
| 35 | Chile | 169,700 | 2010 est. |
| 36 | Cuba | 165,000 | 2012 est. |
| 37 | Malaysia | 160,500 | 2010 est. |
| 38 | Ukraine | 155,300 | 2010 est. |
| 39 | Ecuador | 154,000 | 2012 est. |
| 40 | Czech Republic | 154,000 | 2010 est. |
| 41 | Pakistan | 151,200 | 2010 est. |
| 42 | Austria | 139,000 | 2011 est. |
| 43 | Bulgaria | 124,700 | 2010 est. |
| 44 | Morocco | 122,900 | 2010 est. |
| 45 | Romania | 122,000 | 2010 est. |
| 46 | Kazakhstan | 119,600 | 2010 est. |
| 47 | Hungary | 114,800 | 2010 est. |
| 48 | Slovakia | 108,400 | 2010 est. |
| 49 | New Zealand | 99,810 | 2010 est. |
| 50 | Peru | 99,590 | 2012 est. |
| 51 | Trinidad and Tobago | 70,260 | 2010 est. |
| 52 | Jordan | 68,320 | 2010 est. |
| 53 | Ireland | 62,070 | 2010 est. |
| 54 | Denmark | 55,010 | 2010 est. |
| 55 | Macedonia | 51,510 | 2013 est. |
| 56 | Croatia | 51,470 | 2013 est. |
| 57 | Cote d'Ivoire | 49,780 | 2010 est. |
| 58 | Egypt | 48,740 | 2010 est. |
| 59 | Uruguay | 38,680 | 2010 est. |
| 60 | Sri Lanka | 36,380 | 2010 est. |
| 61 | Cameroon | 34,220 | 2010 est. |
| 62 | Serbia | 33,330 | 2013 est. |
| 63 | Ghana | 32,060 | 2010 est. |
| 64 | Kenya | 31,040 | 2010 est. |
| 65 | Dominican Republic | 27,260 | 2010 est. |
| 66 | Bangladesh | 23,620 | 2010 est. |
