CIA - The World Factbook --  Crude oil - imports   

This entry is the total amount of crude oil imported, in barrels per day (bbl/day).

| Rank | country | (bbl/day) | Date of Information |
| --- | --- | --- | --- |
| 1 | World | 43,010,000 | 2009 est. |
| 2 | United States | 9,013,000 | 2009 est. |
| 3 | China | 5,072,000 | 2011 est. |
| 4 | Japan | 3,384,000 | 2009 est. |
| 5 | India | 2,768,000 | 2009 est. |
| 6 | Korea, South | 2,302,000 | 2009 est. |
| 7 | Germany | 1,961,000 | 2009 est. |
| 8 | Italy | 1,591,000 | 2010 est. |
| 9 | France | 1,428,000 | 2009 est. |
| 10 | Spain | 1,046,000 | 2009 est. |
| 11 | Netherlands | 964,100 | 2009 est. |
| 12 | Taiwan | 952,800 | 2009 est. |
| 13 | United Kingdom | 942,100 | 2009 est. |
| 14 | Singapore | 883,500 | 2009 est. |
| 15 | Thailand | 807,400 | 2009 est. |
| 16 | Canada | 791,100 | 2009 est. |
| 17 | Belgium | 624,500 | 2009 est. |
| 18 | Belarus | 431,300 | 2009 est. |
| 19 | Virgin Islands | 425,000 | 2009 est. |
| 20 | Brazil | 412,500 | 2009 est. |
| 21 | South Africa | 402,300 | 2009 est. |
| 22 | Poland | 402,000 | 2009 est. |
| 23 | Australia | 380,900 | 2009 est. |
| 24 | Sweden | 380,100 | 2009 est. |
| 25 | Greece | 355,600 | 2009 est. |
| 26 | Indonesia | 324,900 | 2009 est. |
| 27 | Turkey | 284,400 | 2009 est. |
| 28 | Switzerland | 258,200 | 2011 est. |
| 29 | Aruba | 227,000 | 2009 est. |
| 30 | Bahrain | 225,100 | 2009 est. |
| 31 | Israel | 224,400 | 2009 est. |
| 32 | Finland | 215,700 | 2009 est. |
| 33 | Portugal | 205,400 | 2009 est. |
| 34 | Malaysia | 199,100 | 2009 est. |
| 35 | Chile | 197,000 | 2009 est. |
| 36 | Pakistan | 183,000 | 2009 est. |
| 37 | Philippines | 176,000 | 2009 est. |
| 38 | Romania | 169,000 | 2009 est. |
| 39 | Lithuania | 168,300 | 2009 est. |
| 40 | Czech Republic | 143,700 | 2009 est. |
| 41 | Ukraine | 143,600 | 2009 est. |
| 42 | Austria | 137,100 | 2011 est. |
| 43 | Bulgaria | 123,400 | 2009 est. |
