CIA - The World Factbook -- Field Listing - Heliports

| Country | Heliports |
| --- | --- |
| **Afghanistan** | 9 (2006) |
| **Albania** | 1 (2006) |
| **Algeria** | 1 (2006) |
| **Antarctica** | 37 |
| | *note:* all 37 year-round and 15 seasonal stations operated by National Antarctic Programs stations have restricted helicopter landing facilities (helipads) (2006) |
| **Australia** | 1 (2006) |
| **Austria** | 1 (2006) |
| **Azerbaijan** | 1 (2006) |
| **Bahamas, The** | 1 (2006) |
| **Bahrain** | 1 (2006) |
| **Belarus** | 1 (2006) |
| **Belgium** | 1 (2006) |
| **Bosnia and Herzegovina** | 5 (2006) |
| **Brazil** | 417 (2006) |
| **Brunei** | 3 (2006) |
| **Bulgaria** | 4 (2006) |
| **Burma** | 1 (2006) |
| **Cambodia** | 2 (2006) |
| **Canada** | 319 (2006) |
| **China** | 32 (2006) |
| **Colombia** | 2 (2006) |
| **Croatia** | 2 (2006) |
| **Cyprus** | 10 (2006) |
| **Czech Republic** | 2 (2006) |
| **East Timor** | 9 (2006) |
| **Ecuador** | 1 (2006) |
| **Egypt** | 3 (2006) |
| **El Salvador** | 1 (2006) |
| **Estonia** | 1 (2006) |
| **European Union** | 93 (2006) |
| **France** | 3 (2006) |
| **French Polynesia** | 1 (2006) |
| **Gaza Strip** | 1 (2006) |
| **Georgia** | 3 (2006) |
| **Germany** | 32 (2006) |
| **Greece** | 8 (2006) |
| **Hong Kong** | 3 (2006) |
| **Hungary** | 5 (2006) |
| **India** | 28 (2006) |
| **Indonesia** | 23 (2006) |
| **Iran** | 15 (2006) |
| **Iraq** | 8 (2006) |
| **Israel** | 3 (2006) |
| **Italy** | 5 (2006) |
| **Japan** | 15 (2006) |
| **Jordan** | 1 (2006) |
| **Kazakhstan** | 4 (2006) |
| **Korea, North** | 22 (2006) |
| **Korea, South** | 540 (2006) |
| **Kuwait** | 5 (2006) |
| **Libya** | 2 (2006) |
| **Luxembourg** | 1 (2006) |
| **Malaysia** | 2 (2006) |
| **Mexico** | 1 (2006) |
| **Monaco** | 1 (2006) |
| **Mongolia** | 2 (2006) |
| **Morocco** | 1 (2006) |
| **Netherlands** | 1 (2006) |
| **New Caledonia** | 6 (2006) |
| **Nigeria** | 1 (2006) |
| **Northern Mariana Islands** | 1 (2006) |
| **Norway** | 1 (2006) |
| **Oman** | 1 (2006) |
| **Pakistan** | 18 (2006) |
| **Papua New Guinea** | 2 (2006) |
| **Peru** | 1 (2006) |
| **Philippines** | 2 (2006) |
| **Poland** | 3 (2006) |
| **Qatar** | 1 (2006) |
| **Romania** | 1 (2006) |
| **Russia** | 52 (2006) |
| **Saudi Arabia** | 6 (2006) |
| **Serbia** | 4 (2006) |
| **Sierra Leone** | 2 (2006) |
| **Slovakia** | 1 (2006) |
| **Spain** | 8 (2006) |
| **Sudan** | 1 (2006) |
| **Sweden** | 2 (2006) |
| **Switzerland** | 2 (2006) |
| **Syria** | 7 (2006) |
| **Taiwan** | 3 (2006) |
| **Thailand** | 3 (2006) |
| **Turkey** | 18 (2006) |
| **Turkmenistan** | 1 (2006) |
| **Ukraine** | 10 (2006) |
| **United Arab Emirates** | 4 (2006) |
| **United Kingdom** | 11 (2006) |
| **United States** | 149 (2006) |
| **Venezuela** | 1 (2006) |
| **World** | 2,021 (2006) |

This page was last updated on 19 December, 2006
 
