CIA - The World Factbook -- Field Listing - Heliports

| Country | Heliports |
| --- | --- |
| **Afghanistan** | 5 (2003 est.) |
| **Albania** | 1 (2003 est.) |
| **Algeria** | 1 (2003 est.) |
| **Antarctica** | 27 stations have restricted helicopter landing facilities (helipads) (2003 est.) |
| **Austria** | 1 (2003 est.) |
| **Azerbaijan** | 2 (2003 est.) |
| **Bahamas, The** | 1 (2003 est.) |
| **Bahrain** | 1 (2003 est.) |
| **Belarus** | 1 (2003 est.) |
| **Belgium** | 1 (2003 est.) |
| **Bosnia and Herzegovina** | 5 (2003 est.) |
| **Brazil** | 417 (2003 est.) |
| **Brunei** | 3 (2003 est.) |
| **Bulgaria** | 1 (2003 est.) |
| **Burma** | 1 (2003 est.) |
| **Cambodia** | 2 (2003 est.) |
| **Canada** | 12 (2003 est.) |
| **China** | 15 (2003 est.) |
| **Colombia** | 1 (2003 est.) |
| **Croatia** | 1 (2003 est.) |
| **Cyprus** | 10 (2003 est.) |
| **Czech Republic** | 2 (2003 est.) |
| **East Timor** | 1 (2003 est.) |
| **Ecuador** | 1 (2003 est.) |
| **Egypt** | 2 (2003 est.) |
| **El Salvador** | 1 (2003 est.) |
| **European Union** | 94 (2003) |
| **France** | 3 (2003 est.) |
| **French Polynesia** | 1 (2003 est.) |
| **Gaza Strip** | 1 (2003 est.) |
| **Georgia** | 2 (2003 est.) |
| **Germany** | 34 (2003 est.) |
| **Greece** | 7 (2003 est.) |
| **Hong Kong** | 2 (2003 est.) |
| **Hungary** | 5 (2003 est.) |
| **India** | 20 (2003 est.) |
| **Indonesia** | 22 (2003 est.) |
| **Iran** | 13 (2003 est.) |
| **Iraq** | 6 (2003 est.) |
| **Israel** | 3 (2003 est.) |
| **Italy** | 4 (2003 est.) |
| **Japan** | 15 (2003 est.) |
| **Jordan** | 1 (2003 est.) |
| **Kazakhstan** | 1 (2003 est.) |
| **Korea, North** | 19 (2003 est.) |
| **Korea, South** | 206 (2003 est.) |
| **Kuwait** | 3 (2003 est.) |
| **Libya** | 1 (2003 est.) |
| **Luxembourg** | 1 (2003 est.) |
| **Malaysia** | 1 (2003 est.) |
| **Mexico** | 2 (2003 est.) |
| **Monaco** | 1 (shuttle service between the international airport at Nice, France, and Monaco's heliport at Fontvieille) (2003 est.) |
| **Mongolia** | 2 (2003 est.) |
| **Morocco** | 1 (2003 est.) |
| **Netherlands** | 1 (2003 est.) |
| **New Caledonia** | 6 (2003 est.) |
| **Nigeria** | 1 (2003 est.) |
| **Northern Mariana Islands** | 1 (2003 est.) |
| **Norway** | 1 (2003 est.) |
| **Oman** | 1 (2003 est.) |
| **Pakistan** | 15 (2003 est.) |
| **Papua New Guinea** | 2 (2003 est.) |
| **Peru** | 1 (2003 est.) |
| **Philippines** | 2 (2003 est.) |
| **Poland** | 3 (2003 est.) |
| **Qatar** | 1 (2003 est.) |
| **Romania** | 1 (2003 est.) |
| **Russia** | 36 (2003 est.) |
| **Saudi Arabia** | 5 (2003 est.) |
| **Serbia and Montenegro** | 4 (2003 est.) |
| **Sierra Leone** | 2 (2003 est.) |
| **Slovakia** | 1 (2003 est.) |
| **Spain** | 8 (2003 est.) |
| **Sudan** | 2 (2003 est.) |
| **Sweden** | 2 (2003 est.) |
| **Switzerland** | 2 (2003 est.) |
| **Syria** | 7 (2003 est.) |
| **Taiwan** | 3 (2003 est.) |
| **Thailand** | 3 (2003 est.) |
| **Turkey** | 14 (2003 est.) |
| **Turkmenistan** | 1 (2003 est.) |
| **Ukraine** | 8 (2003 est.) |
| **United Arab Emirates** | 2 (2003 est.) |
| **United Kingdom** | 11 (2003 est.) |
| **United States** | 155 (2003 est.) |

This page was last updated on 10 February, 2005
 
