CIA - The World Factbook --  Electricity - from nuclear fuels   

This entry measures the capacity of plants that generate electricity through radioactive decay of nuclear fuel, expressed as a share of the country's total generating capacity.

| Rank | country | (% of total installed capacity) | Date of Information |
| --- | --- | --- | --- |
| 1 | France | 50.8 | 2010 est. |
| 2 | Belgium | 32.3 | 2010 est. |
| 3 | Ukraine | 25.2 | 2010 est. |
| 4 | Sweden | 24.6 | 2010 est. |
| 5 | Slovakia | 23.2 | 2010 est. |
| 6 | Germany | 23.0 | 2011 est. |
| 7 | Czech Republic | 21.3 | 2010 est. |
| 8 | Korea, South | 20.9 | 2010 est. |
| 9 | Slovenia | 20.9 | 2010 est. |
| 10 | Hungary | 20.0 | 2011 est. |
| 11 | Bulgaria | 19.0 | 2010 est. |
| 12 | Switzerland | 18.0 | 2010 est. |
| 13 | Russia | 17.2 | 2012 est. |
| 14 | Japan | 17.1 | 2010 est. |
| 15 | Finland | 16.2 | 2010 est. |
| 16 | United Kingdom | 11.6 | 2010 est. |
| 17 | Armenia | 10.8 | 2010 est. |
| 18 | Taiwan | 10.6 | 2011 est. |
| 19 | United States | 9.7 | 2010 est. |
| 20 | Romania | 9.4 | 2011 est. |
| 21 | Canada | 9.2 | 2010 est. |
| 22 | Spain | 7.3 | 2010 est. |
| 23 | South Africa | 4.1 | 2010 est. |
| 24 | Argentina | 3.1 | 2010 est. |
| 25 | India | 2.2 | 2010 est. |
| 26 | Mexico | 2.2 | 2010 est. |
| 27 | Pakistan | 2.1 | 2010 est. |
| 28 | Netherlands | 1.9 | 2010 est. |
| 29 | Brazil | 1.8 | 2010 est. |
| 30 | China | 1.1 | 2012 est. |
| 31 | Aruba | 0.0 | 2010 est. |
| 32 | Antigua and Barbuda | 0.0 | 2010 est. |
| 33 | United Arab Emirates | 0.0 | 2010 est. |
| 34 | Afghanistan | 0.0 | 2010 est. |
| 35 | Algeria | 0.0 | 2010 est. |
| 36 | Azerbaijan | 0.0 | 2010 est. |
| 37 | Albania | 0.0 | 2010 est. |
| 38 | Angola | 0.0 | 2010 est. |
| 39 | American Samoa | 0.0 | 2010 est. |
| 40 | Australia | 0.0 | 2010 est. |
| 41 | Austria | 0.0 | 2010 est. |
| 42 | Bahrain | 0.0 | 2011 est. |
| 43 | Barbados | 0.0 | 2010 est. |
| 44 | Botswana | 0.0 | 2010 est. |
| 45 | Bermuda | 0.0 | 2012 est. |
| 46 | Bahamas, The | 0.0 | 2012 est. |
| 47 | Bangladesh | 0.0 | 2010 est. |
| 48 | Belize | 0.0 | 2010 est. |
| 49 | Bosnia and Herzegovina | 0.0 | 2010 est. |
| 50 | Bolivia | 0.0 | 2012 est. |
| 51 | Burma | 0.0 | 2010 est. |
| 52 | Benin | 0.0 | 2010 est. |
| 53 | Belarus | 0.0 | 2010 est. |
| 54 | Solomon Islands | 0.0 | 2010 est. |
| 55 | Bhutan | 0.0 | 2010 est. |
| 56 | Brunei | 0.0 | 2010 est. |
| 57 | Burundi | 0.0 | 2010 est. |
| 58 | Cambodia | 0.0 | 2010 est. |
| 59 | Chad | 0.0 | 2010 est. |
| 60 | Sri Lanka | 0.0 | 2011 est. |
| 61 | Congo, Republic of the | 0.0 | 2012 est. |
| 62 | Congo, Democratic Republic of the | 0.0 | 2010 est. |
| 63 | Chile | 0.0 | 2010 est. |
| 64 | Cayman Islands | 0.0 | 2010 est. |
| 65 | Cameroon | 0.0 | 2010 est. |
| 66 | Comoros | 0.0 | 2010 est. |
| 67 | Colombia | 0.0 | 2010 est. |
| 68 | Costa Rica | 0.0 | 2010 est. |
| 69 | Central African Republic | 0.0 | 2010 est. |
| 70 | Cuba | 0.0 | 2011 est. |
| 71 | Cabo Verde | 0.0 | 2010 est. |
| 72 | Cook Islands | 0.0 | 2010 est. |
| 73 | Cyprus | 0.0 | 2010 est. |
| 74 | Denmark | 0.0 | 2010 est. |
| 75 | Djibouti | 0.0 | 2010 est. |
| 76 | Dominica | 0.0 | 2010 est. |
| 77 | Dominican Republic | 0.0 | 2010 est. |
| 78 | Ecuador | 0.0 | 2010 est. |
| 79 | Egypt | 0.0 | 2010 est. |
| 80 | Ireland | 0.0 | 2010 est. |
| 81 | Equatorial Guinea | 0.0 | 2010 est. |
| 82 | Estonia | 0.0 | 2010 est. |
| 83 | Eritrea | 0.0 | 2010 est. |
| 84 | El Salvador | 0.0 | 2010 est. |
| 85 | Ethiopia | 0.0 | 2010 est. |
| 86 | Fiji | 0.0 | 2010 est. |
| 87 | Falkland Islands (Islas Malvinas) | 0.0 | 2010 est. |
| 88 | Faroe Islands | 0.0 | 2010 est. |
| 89 | French Polynesia | 0.0 | 2010 est. |
| 90 | Gambia, The | 0.0 | 2010 est. |
| 91 | Gabon | 0.0 | 2010 est. |
| 92 | Georgia | 0.0 | 2010 est. |
| 93 | Ghana | 0.0 | 2010 est. |
| 94 | Gibraltar | 0.0 | 2010 est. |
| 95 | Grenada | 0.0 | 2010 est. |
| 96 | Greenland | 0.0 | 2010 est. |
| 97 | Guam | 0.0 | 2010 est. |
| 98 | Greece | 0.0 | 2010 est. |
| 99 | Guatemala | 0.0 | 2010 est. |
| 100 | Guinea | 0.0 | 2010 est. |
| 101 | Guyana | 0.0 | 2010 est. |
| 102 | Haiti | 0.0 | 2011 est. |
| 103 | Hong Kong | 0.0 | 2012 est. |
| 104 | Honduras | 0.0 | 2010 est. |
| 105 | Croatia | 0.0 | 2010 est. |
| 106 | Iceland | 0.0 | 2010 est. |
| 107 | Indonesia | 0.0 | 2011 est. |
| 108 | Iran | 0.0 | 2010 est. |
| 109 | Israel | 0.0 | 2010 est. |
| 110 | Italy | 0.0 | 2011 est. |
| 111 | Cote d'Ivoire | 0.0 | 2010 est. |
| 112 | Iraq | 0.0 | 2012 est. |
| 113 | Jamaica | 0.0 | 2010 est. |
| 114 | Jordan | 0.0 | 2010 est. |
| 115 | Kenya | 0.0 | 2010 est. |
| 116 | Kyrgyzstan | 0.0 | 2010 est. |
| 117 | Korea, North | 0.0 | 2010 est. |
| 118 | Kiribati | 0.0 | 2010 est. |
| 119 | Kuwait | 0.0 | 2010 est. |
| 120 | Kazakhstan | 0.0 | 2010 est. |
| 121 | Laos | 0.0 | 2010 est. |
| 122 | Lebanon | 0.0 | 2010 est. |
| 123 | Latvia | 0.0 | 2010 est. |
| 124 | Lithuania | 0.0 | 2010 est. |
| 125 | Liberia | 0.0 | 2010 est. |
| 126 | Lesotho | 0.0 | 2010 est. |
| 127 | Luxembourg | 0.0 | 2010 est. |
| 128 | Libya | 0.0 | 2010 est. |
| 129 | Madagascar | 0.0 | 2010 est. |
| 130 | Macau | 0.0 | 2012 est. |
| 131 | Moldova | 0.0 | 2010 est. |
| 132 | Mongolia | 0.0 | 2010 est. |
| 133 | Montserrat | 0.0 | 2010 est. |
| 134 | Malawi | 0.0 | 2010 est. |
| 135 | Montenegro | 0.0 | 2010 est. |
| 136 | Macedonia | 0.0 | 2010 est. |
| 137 | Mali | 0.0 | 2010 est. |
| 138 | Morocco | 0.0 | 2010 est. |
| 139 | Mauritius | 0.0 | 2010 est. |
| 140 | Mauritania | 0.0 | 2010 est. |
| 141 | Malta | 0.0 | 2010 est. |
| 142 | Oman | 0.0 | 2010 est. |
| 143 | Maldives | 0.0 | 2010 est. |
| 144 | Malaysia | 0.0 | 2010 est. |
| 145 | Mozambique | 0.0 | 2012 est. |
| 146 | New Caledonia | 0.0 | 2010 est. |
| 147 | Niue | 0.0 | 2010 est. |
| 148 | Niger | 0.0 | 2010 est. |
| 149 | Vanuatu | 0.0 | 2010 est. |
| 150 | Nigeria | 0.0 | 2010 est. |
| 151 | Norway | 0.0 | 2010 est. |
| 152 | Nepal | 0.0 | 2010 est. |
| 153 | Nauru | 0.0 | 2010 est. |
| 154 | Suriname | 0.0 | 2010 est. |
| 155 | Nicaragua | 0.0 | 2011 est. |
| 156 | New Zealand | 0.0 | 2010 est. |
| 157 | South Sudan | 0.0 | 2010 est. |
| 158 | Paraguay | 0.0 | 2010 est. |
| 159 | Peru | 0.0 | 2010 est. |
| 160 | Poland | 0.0 | 2010 est. |
| 161 | Panama | 0.0 | 2010 est. |
| 162 | Portugal | 0.0 | 2010 est. |
| 163 | Papua New Guinea | 0.0 | 2010 est. |
| 164 | Guinea-Bissau | 0.0 | 2010 est. |
| 165 | Qatar | 0.0 | 2010 est. |
| 166 | Serbia | 0.0 | 2010 est. |
| 167 | Philippines | 0.0 | 2010 est. |
| 168 | Puerto Rico | 0.0 | 2010 est. |
| 169 | Rwanda | 0.0 | 2010 est. |
| 170 | Saudi Arabia | 0.0 | 2010 est. |
| 171 | Saint Pierre and Miquelon | 0.0 | 2010 est. |
| 172 | Saint Kitts and Nevis | 0.0 | 2010 est. |
| 173 | Seychelles | 0.0 | 2010 est. |
| 174 | Senegal | 0.0 | 2010 est. |
| 175 | Saint Helena, Ascension, and Tristan da Cunha | 0.0 | 2010 est. |
| 176 | Sierra Leone | 0.0 | 2010 est. |
| 177 | Singapore | 0.0 | 2010 est. |
| 178 | Somalia | 0.0 | 2010 est. |
| 179 | Saint Lucia | 0.0 | 2010 est. |
| 180 | Sudan | 0.0 | 2010 est. |
| 181 | Syria | 0.0 | 2010 est. |
| 182 | Trinidad and Tobago | 0.0 | 2010 est. |
| 183 | Thailand | 0.0 | 2012 est. |
| 184 | Tajikistan | 0.0 | 2012 est. |
| 185 | Turks and Caicos Islands | 0.0 | 2010 est. |
| 186 | Tonga | 0.0 | 2010 est. |
| 187 | Togo | 0.0 | 2010 est. |
| 188 | Sao Tome and Principe | 0.0 | 2010 est. |
| 189 | Tunisia | 0.0 | 2010 est. |
| 190 | Turkey | 0.0 | 2010 est. |
| 191 | Turkmenistan | 0.0 | 2010 est. |
| 192 | Tanzania | 0.0 | 2010 est. |
| 193 | Uganda | 0.0 | 2010 est. |
| 194 | Burkina Faso | 0.0 | 2010 est. |
| 195 | Uruguay | 0.0 | 2010 est. |
| 196 | Uzbekistan | 0.0 | 2010 est. |
| 197 | Saint Vincent and the Grenadines | 0.0 | 2010 est. |
| 198 | Venezuela | 0.0 | 2012 est. |
| 199 | British Virgin Islands | 0.0 | 2010 est. |
| 200 | Vietnam | 0.0 | 2012 est. |
| 201 | Virgin Islands | 0.0 | 2010 est. |
| 202 | Namibia | 0.0 | 2012 est. |
| 203 | West Bank | 0.0 | 2010 est. |
| 204 | Western Sahara | 0.0 | 2010 est. |
