CIA - The World Factbook --  Electricity - from nuclear fuels   

Electricity - from nuclear fuels measures the capacity of plants that generate electricity through radioactive decay of nuclear fuel, expressed as a share of the country's total generating capacity.

| Rank | country | (% of total installed capacity) | Date of Information |
| --- | --- | --- | --- |
| 1 | France | 50.8 | 2010 est. |
| 2 | Belgium | 32.3 | 2010 est. |
| 3 | Ukraine | 25.2 | 2010 est. |
| 4 | Sweden | 24.6 | 2010 est. |
| 5 | Switzerland | 24.3 | 2012 est. |
| 6 | Slovakia | 23.2 | 2010 est. |
| 7 | Korea, South | 21.9 | 2010 est. |
| 8 | Slovenia | 20.5 | 2012 est. |
| 9 | Hungary | 20.0 | 2011 est. |
| 10 | Czech Republic | 19.7 | 2012 est. |
| 11 | Bulgaria | 19.0 | 2010 est. |
| 12 | Russia | 17.8 | 2012 est. |
| 13 | Japan | 17.1 | 2010 est. |
| 14 | Finland | 16.2 | 2010 est. |
| 15 | United Kingdom | 11.2 | 2012 est. |
| 16 | Armenia | 10.8 | 2010 est. |
| 17 | Taiwan | 10.6 | 2011 est. |
| 18 | United States | 9.7 | 2010 est. |
| 19 | Canada | 9.2 | 2010 est. |
| 20 | Spain | 7.3 | 2010 est. |
| 21 | Germany | 7.0 | 2012 est. |
| 22 | Romania | 6.5 | 2012 est. |
| 23 | South Africa | 4.1 | 2010 est. |
| 24 | Argentina | 3.1 | 2010 est. |
| 25 | India | 2.4 | 31 March 2012 est. |
| 26 | Mexico | 2.2 | 2010 est. |
| 27 | Pakistan | 2.1 | 2010 est. |
| 28 | Brazil | 1.8 | 2010 est. |
| 29 | Netherlands | 1.6 | 2012 est. |
| 30 | China | 1.2 | 2013 est. |
| 31 | Aruba | 0.0 | 2010 est. |
| 32 | Antigua and Barbuda | 0.0 | 2010 est. |
| 33 | United Arab Emirates | 0.0 | 2010 est. |
| 34 | Afghanistan | 0.0 | 2010 est. |
| 35 | Algeria | 0.0 | 2010 est. |
| 36 | Azerbaijan | 0.0 | 2010 est. |
| 37 | Albania | 0.0 | 2012 est. |
| 38 | Andorra | 0.0 | 2010 |
| 39 | Angola | 0.0 | 2010 est. |
| 40 | American Samoa | 0.0 | 2010 est. |
| 41 | Australia | 0.0 | 2010 est. |
| 42 | Austria | 0.0 | 2012 est. |
| 43 | Bahrain | 0.0 | 2011 est. |
| 44 | Barbados | 0.0 | 2010 est. |
| 45 | Botswana | 0.0 | 2010 est. |
| 46 | Bermuda | 0.0 | 2012 est. |
| 47 | Bahamas, The | 0.0 | 2012 est. |
| 48 | Bangladesh | 0.0 | 2013 est. |
| 49 | Belize | 0.0 | 2010 est. |
| 50 | Bosnia and Herzegovina | 0.0 | 2012 est. |
| 51 | Bolivia | 0.0 | 2012 est. |
| 52 | Burma | 0.0 | 2010 est. |
| 53 | Benin | 0.0 | 2010 est. |
| 54 | Belarus | 0.0 | 2010 est. |
| 55 | Solomon Islands | 0.0 | 2010 est. |
| 56 | Bhutan | 0.0 | 2010 est. |
| 57 | Brunei | 0.0 | 2010 est. |
| 58 | Burundi | 0.0 | 2010 est. |
| 59 | Cambodia | 0.0 | 2010 est. |
| 60 | Chad | 0.0 | 2010 est. |
| 61 | Sri Lanka | 0.0 | 2011 est. |
| 62 | Congo, Republic of the | 0.0 | 2012 est. |
| 63 | Congo, Democratic Republic of the | 0.0 | 2010 est. |
| 64 | Chile | 0.0 | 2010 est. |
| 65 | Cayman Islands | 0.0 | 2010 est. |
| 66 | Cameroon | 0.0 | 2010 est. |
| 67 | Comoros | 0.0 | 2010 est. |
| 68 | Colombia | 0.0 | 2010 est. |
| 69 | Costa Rica | 0.0 | 2010 est. |
| 70 | Central African Republic | 0.0 | 2010 est. |
| 71 | Cuba | 0.0 | 2011 est. |
| 72 | Cabo Verde | 0.0 | 2010 est. |
| 73 | Cook Islands | 0.0 | 2010 est. |
| 74 | Cyprus | 0.0 | 2010 est. |
| 75 | Denmark | 0.0 | 2010 est. |
| 76 | Djibouti | 0.0 | 2010 est. |
| 77 | Dominica | 0.0 | 2010 est. |
| 78 | Dominican Republic | 0.0 | 2010 est. |
| 79 | Ecuador | 0.0 | 2010 est. |
| 80 | Egypt | 0.0 | 2010 est. |
| 81 | Ireland | 0.0 | 2010 est. |
| 82 | Equatorial Guinea | 0.0 | 2010 est. |
| 83 | Estonia | 0.0 | 2010 est. |
| 84 | Eritrea | 0.0 | 2010 est. |
| 85 | El Salvador | 0.0 | 2010 est. |
| 86 | Ethiopia | 0.0 | 2010 est. |
| 87 | Fiji | 0.0 | 2010 est. |
| 88 | Falkland Islands (Islas Malvinas) | 0.0 | 2010 est. |
| 89 | Faroe Islands | 0.0 | 2010 est. |
| 90 | French Polynesia | 0.0 | 2010 est. |
| 91 | Gambia, The | 0.0 | 2010 est. |
| 92 | Gabon | 0.0 | 2010 est. |
| 93 | Georgia | 0.0 | 2010 est. |
| 94 | Ghana | 0.0 | 2010 est. |
| 95 | Gibraltar | 0.0 | 2010 est. |
| 96 | Grenada | 0.0 | 2010 est. |
| 97 | Greenland | 0.0 | 2010 est. |
| 98 | Guam | 0.0 | 2010 est. |
| 99 | Greece | 0.0 | 2010 est. |
| 100 | Guatemala | 0.0 | 2010 est. |
| 101 | Guinea | 0.0 | 2010 est. |
| 102 | Guyana | 0.0 | 2010 est. |
| 103 | Haiti | 0.0 | 2011 est. |
| 104 | Hong Kong | 0.0 | 2013 est. |
| 105 | Honduras | 0.0 | 2010 est. |
| 106 | Croatia | 0.0 | 2010 est. |
| 107 | Iceland | 0.0 | 2010 est. |
| 108 | Indonesia | 0.0 | 2011 est. |
| 109 | Iran | 0.0 | 2010 est. |
| 110 | Israel | 0.0 | 2010 est. |
| 111 | Italy | 0.0 | 2012 est. |
| 112 | Cote d'Ivoire | 0.0 | 2010 est. |
| 113 | Iraq | 0.0 | 2013 est. |
| 114 | Jamaica | 0.0 | 2010 est. |
| 115 | Jordan | 0.0 | 2010 est. |
| 116 | Kenya | 0.0 | 2010 est. |
| 117 | Kyrgyzstan | 0.0 | 2010 est. |
| 118 | Korea, North | 0.0 | 2011 est. |
| 119 | Kiribati | 0.0 | 2010 est. |
| 120 | Kuwait | 0.0 | 2010 est. |
| 121 | Kazakhstan | 0.0 | 2010 est. |
| 122 | Laos | 0.0 | 2010 est. |
| 123 | Lebanon | 0.0 | 2010 est. |
| 124 | Latvia | 0.0 | 2010 est. |
| 125 | Lithuania | 0.0 | 2010 est. |
| 126 | Liberia | 0.0 | 2010 est. |
| 127 | Lesotho | 0.0 | 2010 est. |
| 128 | Luxembourg | 0.0 | 2010 est. |
| 129 | Libya | 0.0 | 2010 est. |
| 130 | Madagascar | 0.0 | 2010 est. |
| 131 | Macau | 0.0 | 2013 est. |
| 132 | Moldova | 0.0 | 2013 est. |
| 133 | Mongolia | 0.0 | 2010 est. |
| 134 | Montserrat | 0.0 | 2010 est. |
| 135 | Malawi | 0.0 | 2010 est. |
| 136 | Montenegro | 0.0 | 2010 est. |
| 137 | Macedonia | 0.0 | 2013 est. |
| 138 | Mali | 0.0 | 2010 est. |
| 139 | Morocco | 0.0 | 2010 est. |
| 140 | Mauritius | 0.0 | 2010 est. |
| 141 | Mauritania | 0.0 | 2010 est. |
| 142 | Malta | 0.0 | 2013 est. |
| 143 | Oman | 0.0 | 2010 est. |
| 144 | Maldives | 0.0 | 2010 est. |
| 145 | Malaysia | 0.0 | 2010 est. |
| 146 | Mozambique | 0.0 | 2012 est. |
| 147 | New Caledonia | 0.0 | 2010 est. |
| 148 | Niue | 0.0 | 2010 est. |
| 149 | Niger | 0.0 | 2010 est. |
| 150 | Vanuatu | 0.0 | 2010 est. |
| 151 | Nigeria | 0.0 | 2010 est. |
| 152 | Norway | 0.0 | 2010 est. |
| 153 | Nepal | 0.0 | 2010 est. |
| 154 | Nauru | 0.0 | 2010 est. |
| 155 | Suriname | 0.0 | 2010 est. |
| 156 | Nicaragua | 0.0 | 2013 est. |
| 157 | New Zealand | 0.0 | 2010 est. |
| 158 | South Sudan | 0.0 | 2010 est. |
| 159 | Paraguay | 0.0 | 2010 est. |
| 160 | Peru | 0.0 | 2010 est. |
| 161 | Poland | 0.0 | 2010 est. |
| 162 | Panama | 0.0 | 2010 est. |
| 163 | Portugal | 0.0 | 2010 est. |
| 164 | Papua New Guinea | 0.0 | 2010 est. |
| 165 | Guinea-Bissau | 0.0 | 2010 est. |
| 166 | Qatar | 0.0 | 2010 est. |
| 167 | Serbia | 0.0 | 2013 est. |
| 168 | Philippines | 0.0 | 2010 est. |
| 169 | Puerto Rico | 0.0 | 2010 est. |
| 170 | Rwanda | 0.0 | 2010 est. |
| 171 | Saudi Arabia | 0.0 | 2010 est. |
| 172 | Saint Pierre and Miquelon | 0.0 | 2010 est. |
| 173 | Saint Kitts and Nevis | 0.0 | 2010 est. |
| 174 | Seychelles | 0.0 | 2010 est. |
| 175 | Senegal | 0.0 | 2010 est. |
| 176 | Saint Helena, Ascension, and Tristan da Cunha | 0.0 | 2010 est. |
| 177 | Sierra Leone | 0.0 | 2010 est. |
| 178 | Singapore | 0.0 | 2010 est. |
| 179 | Somalia | 0.0 | 2010 est. |
| 180 | Saint Lucia | 0.0 | 2010 est. |
| 181 | Sudan | 0.0 | 2010 est. |
| 182 | Syria | 0.0 | 2010 est. |
| 183 | Trinidad and Tobago | 0.0 | 2010 est. |
| 184 | Thailand | 0.0 | 2012 est. |
| 185 | Tajikistan | 0.0 | 2013 est. |
| 186 | Turks and Caicos Islands | 0.0 | 2010 est. |
| 187 | Tonga | 0.0 | 2010 est. |
| 188 | Togo | 0.0 | 2010 est. |
| 189 | Sao Tome and Principe | 0.0 | 2010 est. |
| 190 | Tunisia | 0.0 | 2010 est. |
| 191 | Turkey | 0.0 | 2010 est. |
| 192 | Turkmenistan | 0.0 | 2010 est. |
| 193 | Tanzania | 0.0 | 2010 est. |
| 194 | Uganda | 0.0 | 2010 est. |
| 195 | Burkina Faso | 0.0 | 2010 est. |
| 196 | Uruguay | 0.0 | 2010 est. |
| 197 | Uzbekistan | 0.0 | 2010 est. |
| 198 | Saint Vincent and the Grenadines | 0.0 | 2010 est. |
| 199 | Venezuela | 0.0 | 2012 est. |
| 200 | British Virgin Islands | 0.0 | 2010 est. |
| 201 | Vietnam | 0.0 | 2012 est. |
| 202 | Virgin Islands | 0.0 | 2010 est. |
| 203 | Namibia | 0.0 | 2013 est. |
