CIA - The World Factbook --  Life expectancy at birth   

This entry contains the average number of years to be lived by a group of people born in the same year, if mortality at each age remains constant in the future. The entry includes total population as well as the male and female components. Life expectancy at birth is also a measure of overall quality of life in a country and summarizes the mortality at all ages. It can also be thought of as indicating the potential return on investment in human capital and is necessary for the calculation of various actuarial measures.

| Rank | country | (years) | Date of Information |
| --- | --- | --- | --- |
| 1 | Monaco | 89.63 | 2013 est. |
| 2 | Macau | 84.46 | 2013 est. |
| 3 | Japan | 84.19 | 2013 est. |
| 4 | Singapore | 84.07 | 2013 est. |
| 5 | San Marino | 83.12 | 2013 est. |
| 6 | Andorra | 82.58 | 2013 est. |
| 7 | Guernsey | 82.32 | 2013 est. |
| 8 | Switzerland | 82.28 | 2013 est. |
| 9 | Hong Kong | 82.20 | 2013 est. |
| 10 | Australia | 81.98 | 2013 est. |
| 11 | Italy | 81.95 | 2013 est. |
| 12 | Liechtenstein | 81.59 | 2013 est. |
| 13 | Canada | 81.57 | 2013 est. |
| 14 | Jersey | 81.57 | 2013 est. |
| 15 | France | 81.56 | 2013 est. |
| 16 | Spain | 81.37 | 2013 est. |
| 17 | Sweden | 81.28 | 2013 est. |
| 18 | Israel | 81.17 | 2013 est. |
| 19 | Iceland | 81.11 | 2013 est. |
| 20 | Anguilla | 81.09 | 2013 est. |
| 21 | Netherlands | 81.01 | 2013 est. |
| 22 | Bermuda | 80.93 | 2013 est. |
| 23 | Cayman Islands | 80.91 | 2013 est. |
| 24 | Isle of Man | 80.87 | 2013 est. |
| 25 | New Zealand | 80.82 | 2013 est. |
| 26 | Ireland | 80.44 | 2013 est. |
| 27 | Norway | 80.44 | 2013 est. |
| 28 | Germany | 80.32 | 2013 est. |
| 29 | Jordan | 80.30 | 2013 est. |
| 30 | United Kingdom | 80.29 | 2013 est. |
| 31 | Greece | 80.18 | 2013 est. |
| 32 | Saint Pierre and Miquelon | 80.13 | 2013 est. |
| 33 | Austria | 80.04 | 2013 est. |
| 34 | Malta | 79.98 | 2013 est. |
| 35 | Faroe Islands | 79.98 | 2013 est. |
| 36 | Luxembourg | 79.88 | 2013 est. |
| 37 | European Union | 79.86 | 2013 est. |
| 38 | Belgium | 79.78 | 2013 est. |
| 39 | Taiwan | 79.71 | 2013 est. |
| 40 | Virgin Islands | 79.61 | 2013 est. |
| 41 | Finland | 79.55 | 2013 est. |
| 42 | Korea, South | 79.55 | 2013 est. |
| 43 | Turks and Caicos Islands | 79.40 | 2013 est. |
| 44 | Wallis and Futuna | 79.27 | 2013 est. |
| 45 | Puerto Rico | 79.07 | 2013 est. |
| 46 | Saint Helena, Ascension, and Tristan da Cunha | 79.06 | 2013 est. |
| 47 | Gibraltar | 78.98 | 2013 est. |
| 48 | Denmark | 78.94 | 2013 est. |
| 49 | Portugal | 78.85 | 2013 est. |
| 50 | Guam | 78.66 | 2013 est. |
| 51 | United States | 78.62 | 2013 est. |
| 52 | Bahrain | 78.43 | 2013 est. |
| 53 | Chile | 78.27 | 2013 est. |
| 54 | Qatar | 78.24 | 2013 est. |
| 55 | Cyprus | 78.17 | 2013 est. |
| 56 | Panama | 78.13 | 2013 est. |
| 57 | British Virgin Islands | 78.12 | 2013 est. |
| 58 | Costa Rica | 78.06 | 2013 est. |
| 59 | Cuba | 78.05 | 2013 est. |
| 60 | Albania | 77.77 | 2013 est. |
| 61 | Slovenia | 77.66 | 2013 est. |
| 62 | Dominican Republic | 77.62 | 2013 est. |
| 63 | Sint Maarten | 77.61 | 2013 est. |
| 64 | Czech Republic | 77.56 | 2013 est. |
| 65 | Georgia | 77.51 | 2013 est. |
| 66 | Kuwait | 77.46 | 2013 est. |
| 67 | Northern Mariana Islands | 77.45 | 2013 est. |
| 68 | Argentina | 77.32 | 2013 est. |
| 69 | Saint Lucia | 77.22 | 2013 est. |
| 70 | New Caledonia | 77.13 | 2013 est. |
| 71 | United Arab Emirates | 76.91 | 2013 est. |
| 72 | Mexico | 76.86 | 2013 est. |
| 73 | Uruguay | 76.61 | 2013 est. |
| 74 | Paraguay | 76.60 | 2013 est. |
| 75 | French Polynesia | 76.59 | 2013 est. |
| 76 | Brunei | 76.57 | 2013 est. |
| 77 | Poland | 76.45 | 2013 est. |
| 78 | Dominica | 76.39 | 2013 est. |
| 79 | Morocco | 76.31 | 2013 est. |
| 80 | Slovakia | 76.24 | 2013 est. |
| 81 | Croatia | 76.20 | 2013 est. |
| 82 | Algeria | 76.18 | 2013 est. |
| 83 | Sri Lanka | 76.15 | 2013 est. |
| 84 | Ecuador | 76.15 | 2013 est. |
| 85 | Aruba | 76.14 | 2013 est. |
| 86 | Bosnia and Herzegovina | 76.12 | 2013 est. |
| 87 | Antigua and Barbuda | 75.91 | 2013 est. |
| 88 | Libya | 75.83 | 2013 est. |
| 89 | Lithuania | 75.77 | 2013 est. |
| 90 | Tonga | 75.60 | 2013 est. |
| 91 | Macedonia | 75.58 | 2013 est. |
| 92 | West Bank | 75.46 | 2013 est. |
| 93 | Tunisia | 75.46 | 2013 est. |
| 94 | Lebanon | 75.46 | 2013 est. |
| 95 | Hungary | 75.24 | 2013 est. |
