CIA - The World Factbook --  LIFE EXPECTANCY AT BIRTH

Life expectancy at birth compares the average number of years to be lived by a group of people born in the same year, if mortality at each age remains constant in the future. Life expectancy at birth is also a measure of overall quality of life in a country and summarizes the mortality at all ages.

| Rank | Country | (YEARS) | Date of Information |
| --- | --- | --- | --- |
| 1 | Monaco | 89.50 | 2016 est. |
| 2 | Singapore | 85.00 | 2016 est. |
| 3 | Japan | 85.00 | 2016 est. |
| 4 | Macau | 84.50 | 2016 est. |
| 5 | San Marino | 83.30 | 2016 est. |
| 6 | Iceland | 83.00 | 2016 est. |
| 7 | Hong Kong | 82.90 | 2016 est. |
| 8 | Andorra | 82.80 | 2016 est. |
| 9 | Switzerland | 82.60 | 2016 est. |
| 10 | Guernsey | 82.50 | 2016 est. |
| 11 | Israel | 82.40 | 2016 est. |
| 12 | Korea, South | 82.40 | 2016 est. |
| 13 | Luxembourg | 82.30 | 2016 est. |
| 14 | Italy | 82.20 | 2016 est. |
| 15 | Australia | 82.20 | 2016 est. |
| 16 | Sweden | 82.10 | 2016 est. |
| 17 | Liechtenstein | 81.90 | 2016 est. |
| 18 | Jersey | 81.90 | 2016 est. |
| 19 | Canada | 81.90 | 2016 est. |
| 20 | France | 81.80 | 2016 est. |
| 21 | Norway | 81.80 | 2016 est. |
| 22 | Spain | 81.70 | 2016 est. |
| 23 | Austria | 81.50 | 2016 est. |
| 24 | Anguilla | 81.40 | 2016 est. |
| 25 | Netherlands | 81.30 | 2016 est. |
| 26 | Bermuda | 81.30 | 2016 est. |
| 27 | Isle of Man | 81.20 | 2016 est. |
| 28 | New Zealand | 81.20 | 2016 est. |
| 29 | Cayman Islands | 81.20 | 2016 est. |
| 30 | Belgium | 81.00 | 2016 est. |
| 31 | Finland | 80.90 | 2016 est. |
| 32 | Ireland | 80.80 | 2016 est. |
| 33 | United Kingdom | 80.70 | 2016 est. |
| 34 | Germany | 80.70 | 2016 est. |
| 35 | Greece | 80.50 | 2016 est. |
| 36 | Saint Pierre and Miquelon | 80.50 | 2016 est. |
| 37 | Malta | 80.40 | 2016 est. |
| 38 | Faroe Islands | 80.40 | 2016 est. |
| 39 | European Union | 80.20 | 2016 est. |
| 40 | Taiwan | 80.10 | 2016 est. |
| 41 | Virgin Islands | 80.00 | 2016 est. |
| 42 | United States | 79.80 | 2016 est. |
| 43 | Turks and Caicos Islands | 79.80 | 2016 est. |
| 44 | Wallis and Futuna | 79.70 | 2016 est. |
| 45 | Saint Helena, Ascension, and Tristan da Cunha | 79.50 | 2016 est. |
| 46 | Gibraltar | 79.40 | 2016 est. |
| 47 | Denmark | 79.40 | 2016 est. |
| 48 | Puerto Rico | 79.40 | 2016 est. |
| 49 | Portugal | 79.30 | 2016 est. |
| 50 | Guam | 79.10 | 2016 est. |
| 51 | Bahrain | 78.90 | 2016 est. |
| 52 | Chile | 78.80 | 2016 est. |
| 53 | Cyprus | 78.70 | 2016 est. |
| 54 | Qatar | 78.70 | 2016 est. |
| 55 | Cuba | 78.70 | 2016 est. |
| 56 | Czechia | 78.60 | 2016 est. |
| 57 | Panama | 78.60 | 2016 est. |
| 58 | Costa Rica | 78.60 | 2016 est. |
| 59 | British Virgin Islands | 78.60 | 2016 est. |
| 60 | Curacao | 78.30 | 2016 est. |
| 61 | Albania | 78.30 | 2016 est. |
| 62 | Slovenia | 78.20 | 2016 est. |
| 63 | Sint Maarten | 78.10 | 2013 est. |
| 64 | Dominican Republic | 78.10 | 2016 est. |
| 65 | Northern Mariana Islands | 78.00 | 2016 est. |
| 66 | Kuwait | 78.00 | 2016 est. |
| 67 | Saint Lucia | 77.80 | 2016 est. |
| 68 | New Caledonia | 77.70 | 2016 est. |
| 69 | Lebanon | 77.60 | 2016 est. |
| 70 | Poland | 77.60 | 2016 est. |
| 71 | United Arab Emirates | 77.50 | 2016 est. |
| 72 | French Polynesia | 77.20 | 2016 est. |
| 73 | Uruguay | 77.20 | 2016 est. |
| 74 | Paraguay | 77.20 | 2016 est. |
| 75 | Brunei | 77.20 | 2016 est. |
| 76 | Slovakia | 77.10 | 2016 est. |
| 77 | Argentina | 77.10 | 2016 est. |
| 78 | Dominica | 77.00 | 2016 est. |
| 79 | Morocco | 76.90 | 2016 est. |
| 80 | Aruba | 76.80 | 2016 est. |
| 81 | Algeria | 76.80 | 2016 est. |
| 82 | Sri Lanka | 76.80 | 2016 est. |
| 83 | Ecuador | 76.80 | 2016 est. |
| 84 | Bosnia and Herzegovina | 76.70 | 2016 est. |
| 85 | Estonia | 76.70 | 2016 est. |
| 86 | Antigua and Barbuda | 76.50 | 2016 est. |
| 87 | Libya | 76.50 | 2016 est. |
| 88 | Georgia | 76.20 | 2016 est. |
| 89 | Macedonia | 76.20 | 2016 est. |
| 90 | Tonga | 76.20 | 2016 est. |
| 91 | Tunisia | 76.10 | 2016 est. |
| 92 | Hungary | 75.90 | 2016 est. |
| 93 | Mexico | 75.90 | 2016 est. |
| 94 | Croatia | 75.90 | 2016 est. |
| 95 | Cook Islands | 75.80 | 2016 est. |
