CIA - The World Factbook --  CRUDE OIL - PRODUCTION

Crude oil - production is the total amount of crude oil produced, in barrels per day (bbl/day).

| Rank | Country | (BBL/DAY) | Date of Information |
| --- | --- | --- | --- |
| 1 | Saudi Arabia | 11,590,000 | 2013 est. |
| 2 | United States | 11,270,000 | 2013 est. |
| 3 | Russia | 10,050,000 | 2013 est. |
| 4 | China | 4,180,000 | 2013 est. |
| 5 | Canada | 4,001,000 | 2013 est. |
| 6 | Iran | 3,113,000 | 2013 est. |
| 7 | Iraq | 3,066,000 | 2013 est. |
| 8 | Mexico | 2,882,000 | 2013 est. |
| 9 | Kuwait | 2,802,000 | 2013 est. |
| 10 | United Arab Emirates | 2,800,000 | 2013 est. |
| 11 | Brazil | 2,641,000 | 2013 est. |
| 12 | Venezuela | 2,475,000 | 2013 est. |
| 13 | Nigeria | 2,367,000 | 2013 est. |
| 14 | Qatar | 2,057,000 | 2013 est. |
| 15 | Angola | 1,890,000 | 2013 est. |
| 16 | Norway | 1,817,000 | 2013 est. |
| 17 | Algeria | 1,762,000 | 2013 est. |
| 18 | Kazakhstan | 1,655,000 | 2013 est. |
| 19 | European Union | 1,437,000 | 2013 est. |
| 20 | Colombia | 1,022,000 | 2013 est. |
| 21 | Oman | 944,800 | 2013 est. |
| 22 | Indonesia | 929,800 | 2013 est. |
| 23 | Azerbaijan | 874,400 | 2013 est. |
| 24 | United Kingdom | 857,200 | 2013 est. |
| 25 | India | 759,300 | 2013 est. |
| 26 | Egypt | 700,000 | 2013 est. |
| 27 | Argentina | 691,100 | 2013 est. |
| 28 | Malaysia | 647,000 | 2013 est. |
| 29 | Ecuador | 527,200 | 2013 est. |
| 30 | Thailand | 453,800 | 2013 est. |
| 31 | Australia | 410,600 | 2013 est. |
| 32 | Vietnam | 349,200 | 2013 est. |
| 33 | Libya | 310,000 | 2013 est. |
| 34 | Equatorial Guinea | 290,800 | 2013 est. |
| 35 | Congo, Republic of the | 279,000 | 2013 est. |
| 36 | Turkmenistan | 258,700 | 2013 est. |
| 37 | Gabon | 239,300 | 2013 est. |
| 38 | South Sudan | 220,000 | Second half, 2013 est. |
