CIA - The World Factbook --  NATURAL GAS - PROVED RESERVES

Natural gas - proved reserves compares the stock of proved reserves of natural gas in cubic meters (cu m).

| Rank | Country | (CU M) | Date of Information |
| --- | --- | --- | --- |
| 1 | Russia | 47,800,000,000,000 | 1 January 2014 est. |
| 2 | Iran | 33,800,000,000,000 | 1 January 2014 est. |
| 3 | Qatar | 25,070,000,000,000 | 1 January 2014 est. |
| 4 | United States | 8,734,000,000,000 | 1 January 2013 est. |
| 5 | Saudi Arabia | 8,235,000,000,000 | 1 January 2014 est. |
| 6 | Turkmenistan | 7,504,000,000,000 | 1 January 2014 est. |
| 7 | United Arab Emirates | 6,089,000,000,000 | 1 January 2014 est. |
| 8 | Venezuela | 5,562,000,000,000 | 1 January 2014 est. |
| 9 | Nigeria | 5,118,000,000,000 | 1 January 2014 est. |
| 10 | Algeria | 4,505,000,000,000 | 1 January 2014 est. |
| 11 | China | 3,300,000,000,000 | 1 January 2014 est. |
| 12 | Iraq | 3,158,000,000,000 | 1 January 2014 est. |
| 13 | Indonesia | 2,955,000,000,000 | 1 January 2014 est. |
| 14 | Mozambique | 2,832,000,000,000 | 1 January 2014 est. |
| 15 | Kazakhstan | 2,407,000,000,000 | 1 January 2014 est. |
| 16 | Malaysia | 2,350,000,000,000 | 1 January 2014 est. |
| 17 | Egypt | 2,180,000,000,000 | 1 January 2014 est. |
| 18 | Norway | 2,090,000,000,000 | 1 January 2014 est. |
| 19 | Canada | 1,889,000,000,000 | 1 January 2014 est. |
| 20 | Uzbekistan | 1,841,000,000,000 | 1 January 2014 est. |
| 21 | Kuwait | 1,798,000,000,000 | 1 January 2014 est. |
| 22 | Libya | 1,549,000,000,000 | 1 January 2014 est. |
| 23 | India | 1,427,000,000,000 | 1 January 2014 est. |
| 24 | Australia | 1,219,000,000,000 | 1 January 2014 est. |
| 25 | Netherlands | 1,130,000,000,000 | 1 January 2014 est. |
| 26 | Ukraine | 1,104,000,000,000 | 1 January 2014 est. |
| 27 | Azerbaijan | 991,100,000,000 | 1 January 2014 est. |
| 28 | Oman | 849,500,000,000 | 1 January 2014 est. |
| 29 | Pakistan | 754,600,000,000 | 1 January 2014 est. |
| 30 | Vietnam | 699,400,000,000 | 1 January 2014 est. |
| 31 | Mexico | 483,500,000,000 | 1 January 2014 est. |
| 32 | Yemen | 478,500,000,000 | 1 January 2014 est. |
| 33 | Peru | 435,400,000,000 | 1 January 2014 est. |
| 34 | Brunei | 390,800,000,000 | 1 January 2014 est. |
| 35 | Brazil | 388,700,000,000 | 1 January 2014 est. |
| 36 | Argentina | 378,800,000,000 | 1 January 2014 est. |
| 37 | Trinidad and Tobago | 371,200,000,000 | 1 January 2014 est. |
| 38 | Israel | 285,000,000,000 | 1 January 2014 est. |
| 39 | Burma | 283,200,000,000 | 1 January 2014 est. |
| 40 | Bolivia | 281,500,000,000 | 1 January 2014 est. |
| 41 | Angola | 275,000,000,000 | 1 January 2014 est. |
| 42 | Bangladesh | 264,600,000,000 | 1 January 2014 est. |
| 43 | Thailand | 255,900,000,000 | 1 January 2014 est. |
| 44 | United Kingdom | 244,000,000,000 | 1 January 2014 est. |
| 45 | Syria | 240,700,000,000 | 1 January 2014 est. |
| 46 | Timor-Leste | 200,000,000,000 | 1 January 2006 est. |
| 47 | Colombia | 198,400,000,000 | 1 January 2014 est. |
| 48 | Papua New Guinea | 155,300,000,000 | 1 January 2014 est. |
| 49 | Cameroon | 135,100,000,000 | 1 January 2014 est. |
| 50 | Germany | 116,000,000,000 | 1 January 2014 est. |
| 51 | Romania | 105,500,000,000 | 1 January 2014 est. |
| 52 | Philippines | 98,540,000,000 | 1 January 2014 est. |
| 53 | Chile | 97,970,000,000 | 1 January 2014 est. |
| 54 | Bahrain | 92,030,000,000 | 1 January 2014 est. |
| 55 | Poland | 92,000,000,000 | 1 January 2014 est. |
| 56 | Congo, Republic of the | 90,610,000,000 | 1 January 2014 est. |
| 57 | Cuba | 70,790,000,000 | 1 January 2014 est. |
| 58 | Tunisia | 65,130,000,000 | 1 January 2014 est. |
| 59 | South Sudan | 63,710,000,000 | 1 January 2013 est. |
| 60 | Namibia | 62,290,000,000 | 1 January 2014 est. |
| 61 | Italy | 59,430,000,000 | 1 January 2014 est. |
| 62 | Rwanda | 56,630,000,000 | 1 January 2014 est. |
| 63 | Afghanistan | 49,550,000,000 | 1 January 2014 est. |
| 64 | Serbia | 48,140,000,000 | 1 January 2014 est. |
| 65 | Denmark | 43,010,000,000 | 1 January 2014 est. |
| 66 | Equatorial Guinea | 36,810,000,000 | 1 January 2014 est. |
| 67 | New Zealand | 29,420,000,000 | 1 January 2014 est. |
| 68 | Cote d'Ivoire | 28,320,000,000 | 1 January 2014 est. |
| 69 | Gabon | 28,320,000,000 | 1 January 2014 est. |
| 70 | Mauritania | 28,320,000,000 | 1 January 2014 est. |
| 71 | Ethiopia | 24,920,000,000 | 1 January 2014 est. |
| 72 | Croatia | 24,920,000,000 | 1 January 2014 est. |
| 73 | Ghana | 22,650,000,000 | 1 January 2014 est. |
| 74 | Sudan | 21,240,000,000 | 1 January 2013 est. |
| 75 | Japan | 20,900,000,000 | 1 January 2014 est. |
| 76 | South Africa | 15,010,000,000 | 1 January 2012 est. |
| 77 | Uganda | 14,160,000,000 | 1 January 2014 est. |
| 78 | Slovakia | 14,160,000,000 | 1 January 2014 est. |
| 79 | Ireland | 9,911,000,000 | 1 January 2014 est. |
| 80 | Austria | 9,656,000,000 | 1 January 2014 est. |
| 81 | France | 9,656,000,000 | 1 January 2014 est. |
| 82 | Georgia | 8,495,000,000 | 1 January 2014 est. |
| 83 | Hungary | 7,843,000,000 | 1 January 2014 est. |
| 84 | Turkey | 6,824,000,000 | 1 January 2014 est. |
| 85 | Tanzania | 6,513,000,000 | 1 January 2014 est. |
| 86 | Taiwan | 6,229,000,000 | 1 January 2014 est. |
| 87 | Jordan | 6,031,000,000 | 1 January 2014 est. |
| 88 | Ecuador | 6,003,000,000 | 1 January 2014 est. |
| 89 | Korea, South | 5,748,000,000 | 1 January 2014 est. |
| 90 | Bulgaria | 5,663,000,000 | 1 January 2014 est. |
| 91 | Tajikistan | 5,663,000,000 | 1 January 2014 est. |
| 92 | Somalia | 5,663,000,000 | 1 January 2014 est. |
| 93 | Kyrgyzstan | 5,663,000,000 | 1 January 2014 est. |
| 94 | Czech Republic | 4,276,000,000 | 1 January 2014 est. |
| 95 | Guatemala | 2,960,000,000 | 1 January 2006 est. |
| 96 | Belarus | 2,832,000,000 | 1 January 2014 est. |
| 97 | Spain | 2,548,000,000 | 1 January 2014 est. |
| 98 | Madagascar | 2,010,000,000 | 1 January 2012 est. |
| 99 | European Union | 1,573,000,000 | 1 January 2012 est. |
| 100 | Morocco | 1,444,000,000 | 1 January 2014 est. |
| 101 | Benin | 1,133,000,000 | 1 January 2014 est. |
| 102 | Greece | 991,100,000 | 1 January 2014 est. |
| 103 | Congo, Democratic Republic of the | 991,100,000 | 1 January 2014 est. |
| 104 | Albania | 849,500,000 | 1 January 2014 est. |
| 105 | Barbados | 141,600,000 | 1 January 2014 est. |
| 106 | Aruba | 0 | 1 January 2014 est. |
| 107 | Antigua and Barbuda | 0 | 1 January 2014 est. |
| 108 | Armenia | 0 | 1 January 2014 est. |
| 109 | American Samoa | 0 | 1 January 2014 est. |
| 110 | Botswana | 0 | 1 January 2014 est. |
| 111 | Bermuda | 0 | 1 January 2014 est. |
| 112 | Belgium | 0 | 1 January 2014 est. |
| 113 | Bahamas, The | 0 | 1 January 2009 est. |
| 114 | Belize | 0 | 1 January 2014 est. |
| 115 | Bosnia and Herzegovina | 0 | 1 January 2014 est. |
| 116 | Solomon Islands | 0 | 1 January 2014 est. |
| 117 | Bhutan | 0 | 1 January 2014 est. |
| 118 | Burundi | 0 | 1 January 2014 est. |
| 119 | Cambodia | 0 | 1 January 2014 est. |
| 120 | Curacao | 0 | 1 January 2011 est. |
| 121 | Chad | 0 | 1 January 2014 est. |
| 122 | Sri Lanka | 0 | 1 January 2014 est. |
| 123 | Cayman Islands | 0 | 1 January 2014 est. |
| 124 | Comoros | 0 | 1 January 2014 est. |
| 125 | Costa Rica | 0 | 1 January 2014 est. |
| 126 | Central African Republic | 0 | 1 January 2014 est. |
| 127 | Cabo Verde | 0 | 1 January 2014 est. |
| 128 | Cook Islands | 0 | 1 January 2014 est. |
| 129 | Cyprus | 0 | 1 January 2014 est. |
| 130 | Djibouti | 0 | 1 January 2014 est. |
| 131 | Dominica | 0 | 1 January 2014 est. |
| 132 | Dominican Republic | 0 | 1 January 2014 est. |
| 133 | Estonia | 0 | 1 January 2014 est. |
| 134 | Eritrea | 0 | 1 January 2014 est. |
| 135 | El Salvador | 0 | 1 January 2014 est. |
| 136 | Finland | 0 | 1 January 2014 est. |
| 137 | Fiji | 0 | 1 January 2014 est. |
| 138 | Falkland Islands (Islas Malvinas) | 0 | 1 January 2014 est. |
| 139 | Faroe Islands | 0 | 1 January 2014 est. |
| 140 | French Polynesia | 0 | 1 January 2014 est. |
| 141 | Gambia, The | 0 | 1 January 2014 est. |
| 142 | Gibraltar | 0 | 1 January 2014 est. |
| 143 | Grenada | 0 | 1 January 2014 est. |
| 144 | Greenland | 0 | 1 January 2014 est. |
| 145 | Guam | 0 | 1 January 2014 est. |
| 146 | Guinea | 0 | 1 January 2014 est. |
| 147 | Guyana | 0 | 1 January 2014 est. |
| 148 | Haiti | 0 | 1 January 2014 est. |
| 149 | Hong Kong | 0 | 1 January 2014 est. |
| 150 | Honduras | 0 | 1 January 2014 est. |
| 151 | Iceland | 0 | 1 January 2014 est. |
| 152 | Jamaica | 0 | 1 January 2014 est. |
| 153 | Kenya | 0 | 1 January 2014 est. |
| 154 | Korea, North | 0 | 1 January 2014 est. |
| 155 | Kiribati | 0 | 1 January 2014 est. |
| 156 | Laos | 0 | 1 January 2014 est. |
| 157 | Lebanon | 0 | 1 January 2014 est. |
| 158 | Latvia | 0 | 1 January 2014 est. |
| 159 | Lithuania | 0 | 1 January 2014 est. |
| 160 | Liberia | 0 | 1 January 2014 est. |
| 161 | Lesotho | 0 | 1 January 2014 est. |
| 162 | Luxembourg | 0 | 1 January 2014 est. |
| 163 | Macau | 0 | 1 January 2014 est. |
| 164 | Moldova | 0 | 1 January 2014 est. |
| 165 | Mongolia | 0 | 1 January 2014 est. |
| 166 | Montserrat | 0 | 1 January 2014 est. |
| 167 | Malawi | 0 | 1 January 2014 est. |
| 168 | Montenegro | 0 | 1 January 2014 est. |
| 169 | Macedonia | 0 | 1 January 2014 est. |
| 170 | Mali | 0 | 1 January 2014 est. |
| 171 | Mauritius | 0 | 1 January 2014 est. |
| 172 | Malta | 0 | 1 January 2014 est. |
| 173 | Maldives | 0 | 1 January 2014 est. |
| 174 | New Caledonia | 0 | 1 January 2014 est. |
| 175 | Niue | 0 | 1 January 2014 est. |
| 176 | Niger | 0 | 1 January 2014 est. |
| 177 | Vanuatu | 0 | 1 January 2014 est. |
| 178 | Nepal | 0 | 1 January 2014 est. |
| 179 | Nauru | 0 | 1 January 2014 est. |
| 180 | Suriname | 0 | 1 January 2011 est. |
| 181 | Nicaragua | 0 | 1 January 2014 est. |
| 182 | Paraguay | 0 | 1 January 2014 est. |
| 183 | Panama | 0 | 1 January 2014 est. |
| 184 | Portugal | 0 | 1 January 2014 est. |
| 185 | Guinea-Bissau | 0 | 1 January 2014 est. |
| 186 | Puerto Rico | 0 | 1 January 2014 est. |
| 187 | Saint Pierre and Miquelon | 0 | 1 January 2014 est. |
| 188 | Saint Kitts and Nevis | 0 | 1 January 2014 est. |
| 189 | Seychelles | 0 | 1 January 2014 est. |
| 190 | Senegal | 0 | 1 January 2014 est. |
| 191 | Saint Helena, Ascension, and Tristan da Cunha | 0 | 1 January 2014 est. |
| 192 | Slovenia | 0 | 1 January 2014 est. |
| 193 | Sierra Leone | 0 | 1 January 2014 est. |
| 194 | Singapore | 0 | 1 January 2014 est. |
| 195 | Saint Lucia | 0 | 1 January 2014 est. |
| 196 | Sweden | 0 | 1 January 2014 est. |
| 197 | Switzerland | 0 | 1 January 2011 est. |
| 198 | Turks and Caicos Islands | 0 | 1 January 2014 est. |
| 199 | Tonga | 0 | 1 January 2014 est. |
| 200 | Togo | 0 | 1 January 2014 est. |
| 201 | Sao Tome and Principe | 0 | 1 January 2014 est. |
| 202 | Burkina Faso | 0 | 1 January 2014 est. |
| 203 | Uruguay | 0 | 1 January 2014 est. |
| 204 | Saint Vincent and the Grenadines | 0 | 1 January 2014 est. |
| 205 | British Virgin Islands | 0 | 1 January 2014 est. |
| 206 | Virgin Islands | 0 | 1 January 2014 est. |
| 207 | West Bank | 0 | 1 January 2014 est. |
| 208 | Western Sahara | 0 | 1 January 2014 est. |
| 209 | Samoa | 0 | 1 January 2014 est. |
| 210 | Swaziland | 0 | 1 January 2014 est. |
| 211 | Zambia | 0 | 1 January 2014 est. |
| 212 | Zimbabwe | 0 | 1 January 2014 est. |


