CIA - The World Factbook --  Airports - with unpaved runways   

| Rank | country | Airports - with unpaved runways | Date of Information |
| 602 | Saint Vincent and the Grenadines | 1.00 | 2013 |
| 603 | Saint Vincent and the Grenadines | 1.00 | 2013 |
| 604 | Vietnam | 1.00 | 2013 |
| 605 | Western Sahara | 1.00 | 2013 |
| 606 | Western Sahara | 1.00 | 2013 |
| 607 | Western Sahara | 1.00 | 2013 |
| 608 | Zambia | 1.00 | 2013 |
| 609 | Israel | 1.00 | 2013 |
| 610 | Italy | 1.00 | 2013 |
| 611 | Jamaica | 1.00 | 2013 |
| 612 | Jan Mayen | 1.00 | 2013 |
| 613 | Jan Mayen | 1.00 | 2013 |
| 614 | Kyrgyzstan | 1.00 | 2013 |
| 615 | Kyrgyzstan | 1.00 | 2013 |
| 616 | Kuwait | 1.00 | 2013 |
| 617 | Lebanon | 1.00 | 2013 |
| 618 | Lithuania | 1.00 | 2013 |
| 619 | Luxembourg | 1.00 | 2013 |
| 620 | Luxembourg | 1.00 | 2013 |
| 621 | Madagascar | 1.00 | 2013 |
| 622 | Moldova | 1.00 | 2013 |
| 623 | Moldova | 1.00 | 2013 |
| 624 | Mongolia | 1.00 | 2013 |
| 625 | Malawi | 1.00 | 2013 |
| 626 | Macedonia | 1.00 | 2013 |
| 627 | Macedonia | 1.00 | 2013 |
| 628 | Morocco | 1.00 | 2013 |
| 629 | Mauritius | 1.00 | 2013 |
| 630 | Mauritania | 1.00 | 2013 |
| 631 | Mexico | 1.00 | 2013 |
| 632 | Mexico | 1.00 | 2013 |
| 633 | Mozambique | 1.00 | 2013 |
| 634 | Niue | 1.00 | 2013 |
| 635 | Niue | 1.00 | 2013 |
| 636 | Nepal | 1.00 | 2013 |
| 637 | Nicaragua | 1.00 | 2013 |
| 638 | South Sudan | 1.00 | 2013 |
| 639 | Peru | 1.00 | 2013 |
| 640 | Spratly Islands | 1.00 | 2013 |
| 641 | Spratly Islands | 1.00 | 2013 |
| 642 | Pakistan | 1.00 | 2013 |
| 643 | Poland | 1.00 | 2013 |
| 644 | Panama | 1.00 | 2013 |
| 645 | Portugal | 1.00 | 2013 |
| 646 | Guinea-Bissau | 1.00 | 2013 |
| 647 | Qatar | 1.00 | 2013 |
| 648 | Qatar | 1.00 | 2013 |
| 649 | Serbia | 1.00 | 2013 |
| 650 | Marshall Islands | 1.00 | 2013 |
| 651 | Puerto Rico | 1.00 | 2013 |
| 652 | Puerto Rico | 1.00 | 2013 |
| 653 | Rwanda | 1.00 | 2013 |
| 654 | South Africa | 1.00 | 2013 |
| 655 | Senegal | 1.00 | 2013 |
| 656 | Slovenia | 1.00 | 2013 |
| 657 | Somalia | 1.00 | 2013 |
| 658 | Sudan | 1.00 | 2013 |
| 659 | Syria | 1.00 | 2013 |
| 660 | Trinidad and Tobago | 1.00 | 2013 |
| 661 | Trinidad and Tobago | 1.00 | 2013 |
| 662 | Thailand | 1.00 | 2013 |
| 663 | Thailand | 1.00 | 2013 |
| 664 | Tajikistan | 1.00 | 2013 |
| 665 | Tajikistan | 1.00 | 2013 |
| 666 | Tonga | 1.00 | 2013 |
| 667 | Tonga | 1.00 | 2013 |
| 668 | Tunisia | 1.00 | 2013 |
| 669 | Turkey | 1.00 | 2013 |
| 670 | Tuvalu | 1.00 | 2013 |
| 671 | Tuvalu | 1.00 | 2013 |
| 672 | Taiwan | 1.00 | 2013 |
| 673 | Antigua and Barbuda | 1.00 | 2013 |
| 674 | Antigua and Barbuda | 1.00 | 2013 |
| 675 | United Arab Emirates | 1.00 | 2013 |
| 676 | United Arab Emirates | 1.00 | 2013 |
| 677 | Albania | 1.00 | 2012 |
| 678 | Albania | 1.00 | 2012 |
| 679 | Armenia | 1.00 | 2013 |
| 680 | Armenia | 1.00 | 2013 |
| 681 | Argentina | 1.00 | 2013 |
| 682 | Argentina | 1.00 | 2013 |
| 683 | Austria | 1.00 | 2013 |
| 684 | Anguilla | 1.00 | 2013 |
| 685 | Anguilla | 1.00 | 2013 |
| 686 | Antarctica | 1.00 | 2013 |
| 687 | Bangladesh | 1.00 | 2013 |
| 688 | Bangladesh | 1.00 | 2013 |
| 689 | Belize | 1.00 | 2013 |
| 690 | Bosnia and Herzegovina | 1.00 | 2013 |
| 691 | Bolivia | 1.00 | 2013 |
| 692 | Burma | 1.00 | 2013 |
| 693 | Benin | 1.00 | 2013 |
| 694 | Belarus | 1.00 | 2013 |
| 695 | Belarus | 1.00 | 2013 |
| 696 | Solomon Islands | 1.00 | 2013 |
| 697 | Bhutan | 1.00 | 2012 |
| 698 | Bhutan | 1.00 | 2012 |
| 699 | Cambodia | 1.00 | 2013 |
| 700 | Chad | 1.00 | 2013 |
| 701 | Sri Lanka | 1.00 | 2013 |
| 702 | Cayman Islands | 1.00 | 2012 |
| 703 | Cayman Islands | 1.00 | 2012 |
| 704 | Colombia | 1.00 | 2013 |
| 705 | Northern Mariana Islands | 1.00 | 2013 |
| 706 | Northern Mariana Islands | 1.00 | 2013 |
| 707 | Central African Republic | 1.00 | 2013 |
| 708 | Cook Islands | 1.00 | 2013 |
| 709 | Djibouti | 1.00 | 2013 |
| 710 | Dominican Republic | 1.00 | 2013 |
| 711 | Dominican Republic | 1.00 | 2013 |
| 712 | European Union | 1.00 | 2013 |
| 713 | European Union | 1.00 | 2013 |
| 714 | Egypt | 1.00 | 2013 |
| 715 | Ireland | 1.00 | 2013 |
| 716 | Equatorial Guinea | 1.00 | 2013 |
| 717 | Equatorial Guinea | 1.00 | 2013 |
| 718 | Estonia | 1.00 | 2013 |
| 719 | Estonia | 1.00 | 2013 |
| 720 | Eritrea | 1.00 | 2013 |
| 721 | Eritrea | 1.00 | 2013 |
| 722 | El Salvador | 1.00 | 2013 |
| 723 | Czech Republic | 1.00 | 2013 |
| 724 | France | 1.00 | 2013 |
| 725 | Georgia | 1.00 | 2013 |
| 726 | Georgia | 1.00 | 2013 |
| 727 | Greenland | 1.00 | 2013 |
| 728 | Germany | 1.00 | 2013 |
| 729 | Guam | 1.00 | 2013 |
| 730 | Guam | 1.00 | 2013 |
| 731 | Guatemala | 1.00 | 2013 |
| 732 | Guyana | 1.00 | 2013 |
| 733 | Honduras | 1.00 | 2013 |
| 734 | Croatia | 1.00 | 2013 |
| 735 | India | 1.00 | 2013 |
| 736 | Iran | 1.00 | 2013 |


