CIA - The World Factbook --  Oil - production   

This entry is the total oil produced in barrels per day (bbl/day). The discrepancy between the amount of oil produced and/or imported and the amount consumed and/or exported is due to the omission of stock changes, refinery gains, and other complicating factors.

| Rank | country | (bbl/day) | Date of Information |
| --- | --- | --- | --- |
| 1 | Saudi Arabia | 10,520,000 | 2010 est. |
| 2 | Russia | 10,270,000 | 2010 |
| 3 | United States | 9,688,000 | 2010 est. |
| 4 | Iran | 4,252,000 | 2010 est. |
| 5 | China | 4,073,000 | 2011 |
| 6 | Canada | 3,483,000 | 2010 est. |
| 7 | Mexico | 2,983,000 | 2010 est. |
| 8 | United Arab Emirates | 2,813,000 | 2010 est. |
| 9 | Iraq | 2,642,000 | 2011 est. |
| 10 | Nigeria | 2,458,000 | 2010 est. |
| 11 | Kuwait | 2,450,000 | 2010 est. |
| 12 | Venezuela | 2,375,000 | 2010 est. |
| 13 | Brazil | 2,301,000 | December 2011 est. |
| 14 | European Union | 2,263,000 | 2010 est. |
| 15 | Norway | 2,134,000 | 2010 est. |
| 16 | Algeria | 2,078,000 | 2010 est. |
| 17 | Angola | 1,988,000 | 2010 est. |
| 18 | Libya | 1,789,000 | 2010 est. |
| 19 | Kazakhstan | 1,608,000 | 2011 est. |
| 20 | Qatar | 1,437,000 | 2010 est. |
| 21 | United Kingdom | 1,393,000 | 2010 est. |
| 22 | Azerbaijan | 1,041,000 | 2010 est. |
| 23 | Indonesia | 1,030,000 | 2010 est. |
| 24 | India | 954,000 | 2010 est. |
| 25 | Oman | 867,900 | 2010 est. |
| 26 | Colombia | 800,100 | 2010 est. |
| 27 | Argentina | 763,600 | 2010 est. |
| 28 | Malaysia | 716,000 | 2010 est. |
| 29 | Egypt | 662,600 | 2010 est. |
| 30 | Australia | 549,200 | 2010 est. |
| 31 | Sudan | 514,300 | 2010 est. |
| 32 | Ecuador | 500,000 | 2011 est. |
| 33 | Thailand | 406,800 | 2010 est. |
| 34 | Syria | 401,000 | 2010 est. |
| 35 | Equatorial Guinea | 322,700 | 2010 est. |
| 36 | Vietnam | 305,000 | 2011 est. |
| 37 | Congo, Republic of the | 302,200 | 2010 est. |
| 38 | Yemen | 258,800 | 2010 est. |
