CIA - The World Factbook --  Exchange rates   

| Rank | country | Exchange rates | Date of Information |
| --- | --- | --- | --- |
| 1 | Somalia | 31,900.00 | NA |
| 2 | Iran | 24,774.00 | NA |
| 3 | Vietnam | 21,118.00 | NA |
| 4 | Vietnam | 20,859.00 | NA |
| 5 | Sao Tome and Principe | 19,068.00 | NA |
| 6 | Sao Tome and Principe | 18,702.00 | NA |
| 7 | Vietnam | 18,612.92 | NA |
| 8 | Sao Tome and Principe | 18,499.00 | NA |
| 9 | Vietnam | 17,799.60 | NA |
| 10 | Vietnam | 16,548.30 | NA |
| 11 | Sao Tome and Principe | 16,209.00 | NA |
| 12 | Sao Tome and Principe | 14,900.00 | NA |
| 13 | Turkmenistan | 14,250.00 | NA |
| 14 | Iran | 12,175.50 | NA |
| 15 | Indonesia | 10,389.90 | NA |
| 16 | Indonesia | 10,341.60 | NA |
| 17 | Iran | 10,254.18 | NA |
| 18 | Iran | 9,864.30 | NA |
| 19 | Indonesia | 9,698.90 | NA |
| 20 | Zimbabwe | 9,686.80 | NA |
| 21 | Indonesia | 9,386.63 | NA |
| 22 | Iran | 9,142.80 | NA |
| 23 | Indonesia | 9,090.40 | NA |
| 24 | Belarus | 8,950.70 | NA |
| 25 | Laos | 8,760.69 | NA |
| 26 | Laos | 8,516.04 | NA |
| 27 | Belarus | 8,336.90 | NA |
| 28 | Laos | 8,258.80 | NA |
| 29 | Laos | 8,007.30 | NA |
| 30 | Laos | 7,875.90 | NA |
| 31 | Guinea | 6,986.00 | NA |
| 32 | Guinea | 6,875.00 | NA |
| 33 | Guinea | 5,726.10 | NA |
| 34 | Guinea | 5,500.00 | NA |
| 35 | Guinea | 5,500.00 | NA |
| 36 | Zambia | 5,046.10 | NA |
| 37 | Paraguay | 4,965.40 | NA |
| 38 | Zambia | 4,797.10 | NA |
| 39 | Paraguay | 4,735.50 | NA |
| 40 | Paraguay | 4,424.90 | NA |
| 41 | Sierra Leone | 4,344.00 | NA |
| 42 | Paraguay | 4,337.70 | NA |
| 43 | Sierra Leone | 4,320.80 | NA |
| 44 | Paraguay | 4,315.10 | NA |
| 45 | Cambodia | 4,184.90 | NA |
| 46 | Cambodia | 4,139.00 | NA |
| 47 | Cambodia | 4,070.94 | NA |
| 48 | Cambodia | 4,037.60 | NA |
| 49 | Cambodia | 4,033.00 | NA |
| 50 | Sierra Leone | 3,978.10 | NA |
| 51 | Korea, North | 3,630.00 | NA |
| 52 | Zambia | 3,512.90 | NA |
| 53 | Belarus | 2,978.50 | NA |
| 54 | Belarus | 2,789.49 | NA |
| 55 | Uganda | 2,604.60 | NA |
| 56 | Uganda | 2,505.60 | NA |
| 57 | Colombia | 2,243.60 | NA |
| 58 | Madagascar | 2,227.80 | NA |
| 59 | Madagascar | 2,195.00 | NA |
| 60 | Uganda | 2,177.60 | NA |
| 61 | Colombia | 2,157.60 | NA |
| 62 | Belarus | 2,130.00 | NA |
| 63 | Madagascar | 2,090.00 | NA |
| 64 | Uzbekistan | 2,082.30 | NA |
| 65 | Uganda | 2,030.00 | NA |
| 66 | Madagascar | 1,956.20 | NA |
| 67 | Colombia | 1,898.60 | NA |
| 68 | Uzbekistan | 1,890.10 | NA |
| 69 | Colombia | 1,865.80 | NA |
| 70 | Colombia | 1,798.00 | NA |
| 71 | Uganda | 1,658.10 | NA |
| 72 | Madagascar | 1,654.78 | NA |
| 73 | Tanzania | 1,609.20 | NA |
| 74 | Somalia | 1,600.00 | NA |
| 75 | Uzbekistan | 1,587.20 | NA |
| 76 | Tanzania | 1,583.00 | NA |
| 77 | Burundi | 1,556.50 | NA |
| 78 | Lebanon | 1,507.50 | NA |
| 79 | Lebanon | 1,507.50 | NA |
| 80 | Lebanon | 1,507.50 | NA |
| 81 | Lebanon | 1,507.50 | NA |
| 82 | Lebanon | 1,507.50 | NA |
| 83 | Uzbekistan | 1,466.70 | NA |
| 84 | Mongolia | 1,444.30 | NA |
| 85 | Mongolia | 1,442.80 | NA |
| 86 | Burundi | 1,442.51 | NA |
| 87 | Tanzania | 1,409.30 | NA |
| 88 | Mongolia | 1,357.60 | NA |
| 89 | Mongolia | 1,357.10 | NA |
| 90 | Tanzania | 1,320.30 | NA |
| 91 | Uzbekistan | 1,317.00 | NA |
| 92 | Korea, South | 1,276.93 | NA |
| 93 | Burundi | 1,230.80 | NA |
| 94 | Burundi | 1,230.18 | NA |
| 95 | Burma | 1,205.00 | NA |
| 96 | Burundi | 1,198.00 | NA |
| 97 | Tanzania | 1,178.10 | NA |
| 98 | Iraq | 1,176.00 | NA |
| 99 | Mongolia | 1,170.00 | NA |
| 100 | Iraq | 1,170.00 | NA |
| 101 | Iraq | 1,170.00 | NA |
| 102 | Iraq | 1,166.17 | NA |
| 103 | Iraq | 1,166.00 | NA |
| 104 | Korea, South | 1,156.10 | NA |
| 105 | Korea, South | 1,126.47 | NA |
| 106 | Korea, South | 1,103.30 | NA |
| 107 | Korea, South | 1,101.70 | NA |
| 108 | Burma | 1,055.00 | NA |
| 109 | Burma | 947.90 | NA |
| 110 | Congo, Democratic Republic of the | 920.25 | NA |
| 111 | Congo, Democratic Republic of the | 918.00 | NA |
| 112 | Congo, Democratic Republic of the | 905.91 | NA |
| 113 | Burma | 853.48 | NA |
| 114 | Rwanda | 633.60 | NA |
| 115 | Rwanda | 616.60 | NA |
| 116 | Rwanda | 583.13 | NA |
| 117 | Costa Rica | 573.29 | NA |
| 118 | Rwanda | 568.18 | NA |
| 119 | Chile | 560.86 | NA |
| 120 | Congo, Democratic Republic of the | 559.00 | NA |
| 121 | Rwanda | 550.00 | NA |
| 122 | Costa Rica | 530.41 | NA |
| 123 | Costa Rica | 525.83 | NA |
| 124 | Mali | 510.53 | NA |
| 125 | Burkina Faso | 510.53 | NA |
| 126 | Togo | 510.53 | NA |
| 127 | Senegal | 510.53 | NA |
| 128 | Cameroon | 510.53 | NA |
| 129 | Guinea-Bissau | 510.53 | NA |
| 130 | Congo, Republic of the | 510.53 | NA |
| 131 | Chad | 510.53 | NA |
| 132 | Benin | 510.53 | NA |
| 133 | Gabon | 510.53 | NA |
| 134 | Equatorial Guinea | 510.53 | NA |
| 135 | Central African Republic | 510.53 | NA |
| 136 | Niger | 510.53 | NA |
| 137 | Cote d'Ivoire | 510.29 | NA |
| 138 | Chile | 510.25 | NA |
| 139 | Chile | 509.02 | NA |
| 140 | Gabon | 504.90 | NA |
| 141 | Cote d'Ivoire | 504.60 | NA |
| 142 | Costa Rica | 502.90 | NA |
| 143 | Costa Rica | 500.90 | NA |
| 144 | Togo | 500.70 | NA |
| 145 | Burkina Faso | 500.70 | NA |
| 146 | Mali | 500.70 | NA |
| 147 | Congo, Republic of the | 500.70 | NA |
| 148 | Central African Republic | 500.70 | NA |
| 149 | Chad | 500.70 | NA |
| 150 | Guinea-Bissau | 500.70 | NA |
| 151 | Benin | 500.70 | NA |
| 152 | Senegal | 500.70 | NA |
| 153 | Niger | 500.70 | NA |
| 154 | Cameroon | 500.70 | NA |
| 155 | Equatorial Guinea | 500.70 | NA |
| 156 | Togo | 495.28 | NA |
| 157 | Niger | 495.28 | NA |
| 158 | Gabon | 495.28 | NA |
| 159 | Equatorial Guinea | 495.28 | NA |
| 160 | Benin | 495.28 | NA |
| 161 | Central African Republic | 495.28 | NA |
| 162 | Cote d'Ivoire | 495.28 | NA |
| 163 | Guinea-Bissau | 495.28 | NA |
| 164 | Cameroon | 495.28 | NA |
| 165 | Congo, Republic of the | 495.28 | NA |
| 166 | Burkina Faso | 495.28 | NA |
| 167 | Chad | 495.28 | NA |
| 168 | Mali | 495.28 | NA |
| 169 | Senegal | 495.28 | NA |
| 170 | Chile | 491.70 | NA |
| 171 | Chile | 486.49 | NA |
| 172 | Equatorial Guinea | 472.19 | NA |
| 173 | Central African Republic | 472.19 | NA |
| 174 | Niger | 472.19 | NA |
| 175 | Mali | 472.19 | NA |
| 176 | Burkina Faso | 472.19 | NA |
| 177 | Togo | 472.19 | NA |
| 178 | Senegal | 472.19 | NA |
| 179 | Guinea-Bissau | 472.19 | NA |
| 180 | Cameroon | 472.19 | NA |
| 181 | Congo, Democratic Republic of the | 472.19 | NA |
| 182 | Congo, Republic of the | 472.19 | NA |
| 183 | Chad | 472.19 | NA |
| 184 | Benin | 472.19 | NA |
| 185 | Cote d'Ivoire | 472.19 | NA |
| 186 | Gabon | 472.19 | NA |
| 187 | Mali | 447.81 | NA |
| 188 | Central African Republic | 447.81 | NA |
| 189 | Equatorial Guinea | 447.81 | NA |
| 190 | Cameroon | 447.81 | NA |
| 191 | Benin | 447.81 | NA |
| 192 | Burkina Faso | 447.81 | NA |
| 193 | Senegal | 447.81 | NA |
| 194 | Chad | 447.81 | NA |
| 195 | Togo | 447.81 | NA |
| 196 | Cote d'Ivoire | 447.81 | NA |
| 197 | Congo, Republic of the | 447.81 | NA |
| 198 | Niger | 447.81 | NA |
| 199 | Gabon | 447.81 | NA |
| 200 | Guinea-Bissau | 447.81 | NA |
| 201 | Armenia | 410.50 | NA |
| 202 | Armenia | 401.76 | NA |
| 203 | Comoros | 382.90 | NA |
| 204 | Comoros | 378.70 | NA |
| 205 | Armenia | 373.66 | NA |
| 206 | Comoros | 371.46 | NA |
| 207 | Armenia | 363.28 | NA |
| 208 | Malawi | 342.10 | NA |
| 209 | Armenia | 303.93 | NA |
| 210 | Mauritania | 298.10 | NA |
| 211 | Mauritania | 296.60 | NA |
| 212 | Mauritania | 275.89 | NA |
| 213 | Mauritania | 262.40 | NA |
| 214 | Malawi | 249.11 | NA |
| 215 | Mauritania | 238.20 | NA |
| 216 | Zimbabwe | 234.25 | NA |
| 217 | Zimbabwe | 234.25 | NA |
| 218 | Hungary | 227.80 | NA |
| 219 | Hungary | 225.10 | NA |
| 220 | Yemen | 219.59 | NA |
| 221 | Yemen | 214.90 | NA |
| 222 | Yemen | 214.35 | NA |
| 223 | Hungary | 207.94 | NA |
| 224 | Guyana | 205.90 | NA |
| 225 | Guyana | 204.36 | NA |
| 226 | Guyana | 203.95 | NA |
| 227 | Guyana | 203.86 | NA |
| 228 | Guyana | 203.64 | NA |
| 229 | Yemen | 202.85 | NA |
| 230 | Hungary | 202.34 | NA |
| 231 | Yemen | 199.76 | NA |
| 232 | Djibouti | 177.72 | NA |
| 233 | Djibouti | 177.72 | NA |
| 234 | Djibouti | 177.70 | NA |
| 235 | Hungary | 171.80 | NA |
| 236 | Korea, North | 157.00 | NA |
| 237 | Nigeria | 156.81 | NA |
| 238 | Nigeria | 156.80 | NA |
| 239 | Korea, North | 155.50 | NA |
| 240 | Kazakhstan | 151.80 | NA |
| 241 | Malawi | 150.49 | NA |
| 242 | Nigeria | 150.30 | NA |
| 243 | Kazakhstan | 149.11 | NA |
| 244 | Nigeria | 148.90 | NA |
| 245 | Kazakhstan | 147.50 | NA |
| 246 | Kazakhstan | 147.36 | NA |
| 247 | Korea, North | 145.00 | NA |
| 248 | Malawi | 142.41 | NA |
| 249 | Malawi | 141.14 | NA |
| 250 | Korea, North | 140.00 | NA |
| 251 | Sri Lanka | 129.60 | NA |
| 252 | Sri Lanka | 127.60 | NA |
| 253 | Iceland | 125.08 | NA |
| 254 | Iceland | 123.70 | NA |
| 255 | Iceland | 123.64 | NA |
| 256 | Iceland | 122.24 | NA |
| 257 | Kazakhstan | 120.25 | NA |
| 258 | Nigeria | 117.80 | NA |
| 259 | Sri Lanka | 114.95 | NA |
| 260 | Sri Lanka | 113.06 | NA |
| 261 | Albania | 109.20 | NA |
| 262 | Sri Lanka | 108.33 | NA |
| 263 | Albania | 108.19 | NA |
| 264 | Syria | 105.30 | NA |
| 265 | Albania | 103.94 | NA |
| 266 | Japan | 103.58 | NA |
| 267 | Pakistan | 100.40 | NA |
| 268 | Jamaica | 99.83 | NA |
| 269 | Japan | 97.44 | NA |
| 270 | Vanuatu | 96.91 | NA |
| 271 | Angola | 95.97 | NA |
| 272 | Angola | 95.47 | NA |
| 273 | Albania | 94.98 | NA |
| 274 | Japan | 93.57 | NA |
| 275 | Pakistan | 93.40 | NA |
| 276 | Vanuatu | 92.64 | NA |
| 277 | Vanuatu | 92.38 | NA |
