CIA - The World Factbook --  Exchange rates   

This entry provides the average annual price of a country's monetary unit for the time period specified, expressed in units of local currency per US dollar, as determined by international market forces or by official fiat. The International Organization for Standardization (ISO) 4217 alphabetic currency code for the national medium of exchange is presented in parenthesis. Closing daily exchange rates are not presented in The World Factbook, but are used to convert stock values - e.g., the market value of publicly traded shares - to US dollars as of the specified date.

| Rank | country | Exchange rates | Date of Information |
| --- | --- | --- | --- |
| 1 | Vietnam | 20,858.30 | NA |
| 2 | Vietnam | 20,649.00 | NA |
| 3 | Sao Tome and Principe | 19,202.00 | NA |
| 4 | Vietnam | 18,612.92 | NA |
| 5 | Sao Tome and Principe | 18,499.00 | NA |
| 6 | Vietnam | 17,799.60 | NA |
| 7 | Sao Tome and Principe | 17,623.00 | NA |
| 8 | Vietnam | 16,548.30 | NA |
| 9 | Sao Tome and Principe | 16,209.00 | NA |
| 10 | Sao Tome and Principe | 14,900.00 | NA |
| 11 | Turkmenistan | 14,250.00 | NA |
| 12 | Iran | 12,260.00 | NA |
| 13 | Iran | 10,616.30 | NA |
| 14 | Indonesia | 10,389.90 | NA |
| 15 | Iran | 10,254.18 | NA |
| 16 | Iran | 9,864.30 | NA |
| 17 | Indonesia | 9,698.90 | NA |
| 18 | Zimbabwe | 9,686.80 | NA |
| 19 | Indonesia | 9,348.30 | NA |
| 20 | Iran | 9,142.80 | NA |
| 21 | Indonesia | 9,090.40 | NA |
| 22 | Indonesia | 8,770.43 | NA |
| 23 | Laos | 8,760.69 | NA |
| 24 | Laos | 8,516.04 | NA |
| 25 | Belarus | 8,307.10 | NA |
| 26 | Laos | 8,258.80 | NA |
| 27 | Laos | 8,035.10 | NA |
| 28 | Laos | 8,017.70 | NA |
| 29 | Guinea | 7,100.00 | NA |
| 30 | Guinea | 6,658.00 | NA |
| 31 | Guinea | 5,726.10 | NA |
| 32 | Guinea | 5,500.00 | NA |
| 33 | Guinea | 5,500.00 | NA |
| 34 | Zambia | 5,100.00 | NA |
| 35 | Zambia | 5,046.10 | NA |
| 36 | Belarus | 4,974.60 | NA |
| 37 | Paraguay | 4,965.40 | NA |
| 38 | Zambia | 4,860.70 | NA |
| 39 | Zambia | 4,797.10 | NA |
| 40 | Paraguay | 4,735.50 | NA |
| 41 | Paraguay | 4,449.60 | NA |
| 42 | Sierra Leone | 4,370.30 | NA |
| 43 | Paraguay | 4,337.70 | NA |
| 44 | Sierra Leone | 4,336.10 | NA |
| 45 | Cambodia | 4,184.90 | NA |
| 46 | Paraguay | 4,176.10 | NA |
| 47 | Cambodia | 4,139.00 | NA |
| 48 | Cambodia | 4,075.40 | NA |
| 49 | Cambodia | 4,070.94 | NA |
| 50 | Cambodia | 4,058.50 | NA |
| 51 | Sierra Leone | 3,978.10 | NA |
| 52 | Korea, North | 3,630.00 | NA |
| 53 | Zambia | 3,512.90 | NA |
| 54 | Belarus | 2,978.50 | NA |
| 55 | Belarus | 2,789.49 | NA |
| 56 | Uganda | 2,522.80 | NA |
| 57 | Uganda | 2,493.40 | NA |
| 58 | Colombia | 2,243.60 | NA |
| 59 | Madagascar | 2,220.00 | NA |
| 60 | Uganda | 2,177.60 | NA |
| 61 | Colombia | 2,157.60 | NA |
| 62 | Belarus | 2,130.00 | NA |
| 63 | Madagascar | 2,090.00 | NA |
| 64 | Uganda | 2,030.00 | NA |
| 65 | Madagascar | 2,025.10 | NA |
| 66 | Madagascar | 1,956.20 | NA |
| 67 | Colombia | 1,898.60 | NA |
| 68 | Uzbekistan | 1,872.30 | NA |
| 69 | Colombia | 1,848.00 | NA |
| 70 | Colombia | 1,800.40 | NA |
| 71 | Uzbekistan | 1,715.80 | NA |
| 72 | Uganda | 1,658.10 | NA |
| 73 | Madagascar | 1,654.78 | NA |
| 74 | Somalia | 1,600.00 | NA |
| 75 | Uzbekistan | 1,587.20 | NA |
| 76 | Tanzania | 1,586.90 | NA |
| 77 | Tanzania | 1,572.10 | NA |
| 78 | Lebanon | 1,507.50 | NA |
| 79 | Lebanon | 1,507.50 | NA |
| 80 | Lebanon | 1,507.50 | NA |
| 81 | Lebanon | 1,507.50 | NA |
| 82 | Lebanon | 1,507.50 | NA |
| 83 | Uzbekistan | 1,466.70 | NA |
| 84 | Mongolia | 1,442.80 | NA |
| 85 | Burundi | 1,439.50 | NA |
| 86 | Tanzania | 1,409.30 | NA |
| 87 | Mongolia | 1,357.10 | NA |
| 88 | Tanzania | 1,320.30 | NA |
| 89 | Uzbekistan | 1,317.00 | NA |
| 90 | Mongolia | 1,299.50 | NA |
| 91 | Korea, South | 1,276.93 | NA |
| 92 | Mongolia | 1,265.50 | NA |
| 93 | Burundi | 1,261.07 | NA |
| 94 | Burundi | 1,230.80 | NA |
| 95 | Burundi | 1,230.18 | NA |
| 96 | Burma | 1,205.00 | NA |
| 97 | Burundi | 1,198.00 | NA |
| 98 | Tanzania | 1,178.10 | NA |
| 99 | Iraq | 1,176.00 | NA |
| 100 | Iraq | 1,170.00 | NA |
| 101 | Iraq | 1,170.00 | NA |
