CIA - The World Factbook --  Natural gas - exports   

This entry is the total natural gas exported in cubic meters (cu m).

| Rank | country | (cu m) | Date of Information |
| --- | --- | --- | --- |
| 1 | World | 1,108,000,000,000 | 2010 est. |
| 2 | Russia | 203,900,000,000 | 2011 est. |
| 3 | Norway | 98,300,000,000 | 2011 est. |
| 4 | Qatar | 94,900,000,000 | 2010 est. |
| 5 | European Union | 93,750,000,000 | 2010 est. |
| 6 | Canada | 92,720,000,000 | 2011 est. |
| 7 | Algeria | 55,790,000,000 | 2010 est. |
| 8 | Netherlands | 54,800,000,000 | 2011 est. |
| 9 | United States | 42,670,000,000 | 2011 est. |
| 10 | Indonesia | 41,250,000,000 | 2010 est. |
| 11 | Turkmenistan | 34,500,000,000 | 2011 est. |
| 12 | Malaysia | 31,990,000,000 | 2010 est. |
| 13 | Australia | 25,530,000,000 | 2011 est. |
| 14 | Nigeria | 24,020,000,000 | 2010 est. |
| 15 | Trinidad and Tobago | 20,380,000,000 | 2010 est. |
| 16 | Germany | 19,740,000,000 | 2011 est. |
| 17 | United Kingdom | 16,690,000,000 | 2011 est. |
| 18 | Egypt | 15,170,000,000 | 2010 est. |
| 19 | Uzbekistan | 14,400,000,000 | 2010 est. |
| 20 | Bolivia | 11,720,000,000 | 2010 est. |
| 21 | Oman | 11,490,000,000 | 2010 est. |
| 22 | Libya | 9,970,000,000 | 2010 est. |
| 23 | Brunei | 8,830,000,000 | 2010 est. |
| 24 | Burma | 8,810,000,000 | 2010 est. |
| 25 | Iran | 8,420,000,000 | 2010 est. |
| 26 | Kazakhstan | 8,100,000,000 | 2011 est. |
| 27 | United Arab Emirates | 7,650,000,000 | 2010 est. |
| 28 | Azerbaijan | 6,755,000,000 | 2010 est. |
| 29 | Yemen | 5,480,000,000 | 2010 est. |
| 30 | France | 5,378,000,000 | 2011 est. |
| 31 | Equatorial Guinea | 5,160,000,000 | 2010 est. |
| 32 | Austria | 4,960,000,000 | 2011 est. |
| 33 | Peru | 3,590,000,000 | 2010 est. |
| 34 | China | 3,210,000,000 | 2011 est. |
| 35 | Denmark | 3,126,000,000 | 2011 est. |
| 36 | Mozambique | 3,040,000,000 | 2010 est. |
| 37 | Ukraine | 2,600,000,000 | 2010 est. |
| 38 | Belgium | 2,511,000,000 | 2011 est. |
| 39 | Colombia | 2,180,000,000 | 2010 est. |
| 40 | Spain | 1,698,000,000 | 2011 est. |
| 41 | Turkey | 713,000,000 | 2011 est. |
| 42 | Hungary | 566,000,000 | 2011 est. |
| 43 | Croatia | 439,000,000 | 2010 est. |
| 44 | Argentina | 420,000,000 | 2010 est. |
| 45 | Czech Republic | 167,000,000 | 2011 est. |
| 46 | Italy | 123,000,000 | 2011 est. |
| 47 | Poland | 29,000,000 | 2011 est. |
| 48 | Mexico | 13,000,000 | 2011 est. |
| 49 | Slovakia | 7,000,000 | 2011 est. |
| 50 | Aruba | 1 | 2010 est. |
| 51 | Slovenia | 0 | 2010 est. |
| 52 | Sierra Leone | 0 | 2010 est. |
| 53 | Singapore | 0 | 2010 est. |
| 54 | Somalia | 0 | 2010 est. |
| 55 | Saint Lucia | 0 | 2010 est. |
| 56 | Sudan | 0 | 2010 est. |
| 57 | Sweden | 0 | 2011 est. |
| 58 | Syria | 0 | 2010 est. |
| 59 | Switzerland | 0 | 2011 est. |
| 60 | Thailand | 0 | 2010 est. |
| 61 | Tajikistan | 0 | 2010 est. |
| 62 | Turks and Caicos Islands | 0 | 2010 est. |
| 63 | Tonga | 0 | 2010 est. |
| 64 | Togo | 0 | 2010 est. |
| 65 | Sao Tome and Principe | 0 | 2010 est. |
| 66 | Tunisia | 0 | 2010 est. |
| 67 | Timor-Leste | 0 | 2010 est. |
| 68 | Taiwan | 0 | 2010 est. |
| 69 | Tanzania | 0 | 2010 est. |
| 70 | Uganda | 0 | 2010 est. |
| 71 | Burkina Faso | 0 | 2010 est. |
| 72 | Uruguay | 0 | 2011 est. |
| 73 | Saint Vincent and the Grenadines | 0 | 2010 est. |
| 74 | Venezuela | 0 | 2011 est. |
| 75 | British Virgin Islands | 0 | 2010 est. |
| 76 | Vietnam | 0 | 2010 est. |
| 77 | Virgin Islands | 0 | 2010 est. |
| 78 | Namibia | 0 | 2010 est. |
| 79 | West Bank | 0 | 2010 est. |
| 80 | Western Sahara | 0 | 2010 est. |
| 81 | Samoa | 0 | 2010 est. |
| 82 | Swaziland | 0 | 2010 est. |
| 83 | Zambia | 0 | 2010 est. |
| 84 | Zimbabwe | 0 | 2010 est. |
| 85 | Hong Kong | 0 | 2011 est. |
| 86 | Honduras | 0 | 2010 est. |
| 87 | Iceland | 0 | 2010 est. |
| 88 | India | 0 | 2011 est. |
| 89 | Israel | 0 | 2010 est. |
| 90 | Cote d'Ivoire | 0 | 2010 est. |
| 91 | Iraq | 0 | 2010 est. |
| 92 | Japan | 0 | 2011 est. |
| 93 | Jamaica | 0 | 2010 est. |
| 94 | Jordan | 0 | 2010 est. |
| 95 | Kenya | 0 | 2010 est. |
| 96 | Kyrgyzstan | 0 | 2010 est. |
| 97 | Korea, North | 0 | 2010 est. |
| 98 | Kiribati | 0 | 2010 est. |
| 99 | Korea, South | 0 | 2011 est. |
| 100 | Kuwait | 0 | 2010 est. |
| 101 | Laos | 0 | 2010 est. |
| 102 | Lebanon | 0 | 2010 est. |
| 103 | Latvia | 0 | 2010 est. |
| 104 | Lithuania | 0 | 2010 est. |
| 105 | Liberia | 0 | 2010 est. |
| 106 | Lesotho | 0 | 2010 est. |
| 107 | Luxembourg | 0 | 2011 est. |
| 108 | Madagascar | 0 | 2010 est. |
| 109 | Macau | 0 | 2010 est. |
| 110 | Moldova | 0 | 2010 est. |
| 111 | Mongolia | 0 | 2010 est. |
| 112 | Montserrat | 0 | 2010 est. |
| 113 | Malawi | 0 | 2010 est. |
| 114 | Montenegro | 0 | 2010 est. |
| 115 | Macedonia | 0 | 2010 est. |
| 116 | Mali | 0 | 2010 est. |
| 117 | Morocco | 0 | 2010 est. |
| 118 | Mauritius | 0 | 2010 est. |
