CIA - The World Factbook --  Natural gas - exports   

This entry is the total natural gas exported in cubic meters (cu m).

| Rank | country | (cu m) | Date of Information |
| --- | --- | --- | --- |
| 1 | Russia | 179,100,000,000 | 2009 |
| 2 | Norway | 98,850,000,000 | 2009 est. |
| 3 | Canada | 94,670,000,000 | 2009 est. |
| 4 | Algeria | 59,670,000,000 | 2008 est. |
| 5 | Qatar | 56,780,000,000 | 2008 est. |
| 6 | Netherlands | 55,590,000,000 | 2009 est. |
| 7 | Indonesia | 33,500,000,000 | 2008 est. |
| 8 | Malaysia | 31,030,000,000 | 2008 est. |
| 9 | United States | 30,350,000,000 | 2009 est. |
| 10 | Australia | 22,300,000,000 | 2009 est. |
| 11 | Nigeria | 20,550,000,000 | 2008 est. |
| 12 | Kazakhstan | 17,660,000,000 | 2008 est. |
| 13 | Trinidad and Tobago | 17,360,000,000 | 2008 est. |
| 14 | Uzbekistan | 15,000,000,000 | 2008 est. |
| 15 | Turkmenistan | 14,000,000,000 | 2009 est. |
| 16 | Germany | 12,640,000,000 | 2009 est. |
| 17 | United Kingdom | 12,170,000,000 | 2009 est. |
| 18 | Bolivia | 11,790,000,000 | 2008 est. |
| 19 | Oman | 10,890,000,000 | 2008 est. |
| 20 | Libya | 10,400,000,000 | 2008 est. |
| 21 | Brunei | 9,200,000,000 | 2008 est. |
| 22 | Burma | 8,550,000,000 | 2008 est. |
| 23 | Egypt | 8,550,000,000 | 2009 est. |
| 24 | United Arab Emirates | 7,567,000,000 | 2008 est. |
| 25 | Azerbaijan | 5,564,000,000 | 2008 est. |
| 26 | Equatorial Guinea | 5,170,000,000 | 2008 est. |
| 27 | Ukraine | 5,000,000,000 | 2009 est. |
| 28 | Iran | 4,246,000,000 | 2008 est. |
| 29 | Denmark | 3,980,000,000 | 2009 |
| 30 | Austria | 3,961,000,000 | 2009 est. |
| 31 | China | 3,320,000,000 | 2009 |
| 32 | Mozambique | 3,200,000,000 | 2008 est. |
| 33 | France | 1,931,000,000 | 2009 est. |
| 34 | Czech Republic | 1,111,000,000 | 2009 est. |
| 35 | Spain | 975,000,000 | 2009 est. |
| 36 | Colombia | 900,000,000 | 2008 est. |
| 37 | Argentina | 890,000,000 | 2008 est. |
| 38 | Turkey | 708,000,000 | 2009 est. |
| 39 | Croatia | 695,500,000 | 2009 est. |
| 40 | Mexico | 688,000,000 | 2009 est. |
| 41 | Italy | 124,000,000 | 2009 est. |
| 42 | Hungary | 85,000,000 | 2009 est. |
| 43 | Poland | 40,000,000 | 2009 est. |
| 44 | Slovakia | 15,000,000 | 2009 est. |
| 45 | Yemen | 454,700 | 2009 est. |
| 46 | Afghanistan | 0 | 2008 est. |
| 47 | American Samoa | 0 | 2008 est. |
| 48 | Bahrain | 0 | 2008 est. |
| 49 | Barbados | 0 | 2008 est. |
| 50 | British Virgin Islands | 0 | 2008 est. |
| 51 | Botswana | 0 | 2008 est. |
| 52 | Bosnia and Herzegovina | 0 | 2008 est. |
| 53 | Bhutan | 0 | 2008 est. |
| 54 | Bermuda | 0 | 2008 est. |
| 55 | Benin | 0 | 2008 est. |
| 56 | Belize | 0 | 2008 est. |
| 57 | Belgium | 0 | 2008 est. |
| 58 | Belarus | 0 | 2009 |
| 59 | Ethiopia | 0 | 2008 est. |
| 60 | Estonia | 0 | 2008 est. |
| 61 | Eritrea | 0 | 2008 est. |
| 62 | El Salvador | 0 | 2008 est. |
| 63 | Ecuador | 0 | 2008 est. |
| 64 | Dominican Republic | 0 | 2008 est. |
| 65 | Dominica | 0 | 2008 est. |
| 66 | Djibouti | 0 | 2008 est. |
| 67 | Cuba | 0 | 2008 est. |
| 68 | Guyana | 0 | 2008 est. |
| 69 | Guinea-Bissau | 0 | 2008 est. |
| 70 | Guinea | 0 | 2008 est. |
| 71 | Guatemala | 0 | 2008 est. |
| 72 | Grenada | 0 | 2008 est. |
| 73 | Greenland | 0 | 2008 |
| 74 | Greece | 0 | 2008 est. |
| 75 | Gibraltar | 0 | 2008 est. |
| 76 | Ghana | 0 | 2008 est. |
| 77 | Kyrgyzstan | 0 | 2008 est. |
| 78 | Kuwait | 0 | 2008 est. |
| 79 | Korea, South | 0 | 2009 est. |
| 80 | Korea, North | 0 | 2008 est. |
| 81 | Kiribati | 0 | 2008 est. |
| 82 | Kenya | 0 | 2008 est. |
| 83 | Jordan | 0 | 2008 est. |
| 84 | Japan | 0 | 2008 est. |
| 85 | Jamaica | 0 | 2008 est. |
| 86 | New Zealand | 0 | 2008 est. |
| 87 | New Caledonia | 0 | 2008 est. |
| 88 | Nepal | 0 | 2009 est. |
| 89 | Nauru | 0 | 2008 est. |
| 90 | Namibia | 0 | 2008 est. |
| 91 | Morocco | 0 | 2008 est. |
| 92 | Montserrat | 0 | 2008 est. |
| 93 | Mongolia | 0 | 2008 est. |
| 94 | Moldova | 0 | 2008 est. |
| 95 | Taiwan | 0 | 2008 est. |
| 96 | Zimbabwe | 0 | 2008 est. |
| 97 | Zambia | 0 | 2008 est. |
| 98 | Western Sahara | 0 | 2008 est. |
| 99 | West Bank | 0 | 2008 est. |
| 100 | Virgin Islands | 0 | 2008 est. |
| 101 | Vietnam | 0 | 2009 est. |
| 102 | Venezuela | 0 | 2008 est. |
| 103 | Vanuatu | 0 | 2008 est. |
| 104 | Uruguay | 0 | 2008 est. |
| 105 | Uganda | 0 | 2008 est. |
| 106 | Turks and Caicos Islands | 0 | 2008 est. |
| 107 | Tunisia | 0 | 2008 est. |
| 108 | Tonga | 0 | 2008 est. |
| 109 | Togo | 0 | 2008 est. |
| 110 | Timor-Leste | 0 | 2008 est. |
| 111 | Thailand | 0 | 2008 est. |
| 112 | Tanzania | 0 | 2008 est. |
| 113 | Tajikistan | 0 | 2009 est. |
| 114 | Syria | 0 | 2008 est. |
| 115 | Switzerland | 0 | 2008 est. |
| 116 | Sweden | 0 | 2008 est. |
| 117 | Swaziland | 0 | 2008 est. |
| 118 | Suriname | 0 | 2008 est. |
| 119 | Sudan | 0 | 2008 est. |
| 120 | Sri Lanka | 0 | 2008 est. |
| 121 | South Africa | 0 | 2008 est. |
| 122 | Somalia | 0 | 2008 est. |
| 123 | Solomon Islands | 0 | 2008 est. |
| 124 | Slovenia | 0 | 2009 est. |
| 125 | Singapore | 0 | 2008 est. |
| 126 | Sierra Leone | 0 | 2008 est. |
| 127 | Seychelles | 0 | 2008 est. |
| 128 | Serbia | 0 | 2008 est. |
| 129 | Senegal | 0 | 2008 est. |
| 130 | Saudi Arabia | 0 | 2008 est. |
| 131 | Sao Tome and Principe | 0 | 2008 est. |
| 132 | Samoa | 0 | 2008 est. |
| 133 | Saint Vincent and the Grenadines | 0 | 2008 est. |
| 134 | Saint Pierre and Miquelon | 0 | 2008 est. |
| 135 | Saint Lucia | 0 | 2008 est. |
| 136 | Saint Kitts and Nevis | 0 | 2008 est. |
| 137 | Saint Helena, Ascension, and Tristan da Cunha | 0 | 2008 est. |
| 138 | Rwanda | 0 | 2008 est. |
| 139 | Romania | 0 | 2008 est. |
| 140 | Puerto Rico | 0 | 2008 est. |
| 141 | Portugal | 0 | 2008 est. |
| 142 | Philippines | 0 | 2008 est. |
| 143 | Paraguay | 0 | 2009 est. |
| 144 | Papua New Guinea | 0 | 2008 est. |
| 145 | Panama | 0 | 2008 est. |
| 146 | Pakistan | 0 | 2008 est. |
| 147 | Niue | 0 | 2008 est. |
| 148 | Niger | 0 | 2008 est. |
| 149 | Nicaragua | 0 | 2008 est. |
| 150 | Mauritius | 0 | 2008 est. |
| 151 | Mauritania | 0 | 2008 est. |
| 152 | Malta | 0 | 2009 est. |
| 153 | Mali | 0 | 2008 est. |
| 154 | Maldives | 0 | 2009 est. |
| 155 | Malawi | 0 | 2008 est. |
| 156 | Madagascar | 0 | 2008 est. |
| 157 | Macedonia | 0 | 2009 est. |
| 158 | Macau | 0 | 2009 est. |
| 159 | Luxembourg | 0 | 2008 est. |
| 160 | Lithuania | 0 | 2008 est. |
| 161 | Liberia | 0 | 2008 est. |
| 162 | Lesotho | 0 | 2008 est. |
| 163 | Lebanon | 0 | 2009 est. |
| 164 | Latvia | 0 | 2008 est. |
| 165 | Laos | 0 | 2008 est. |
| 166 | Israel | 0 | 2008 est. |
| 167 | Ireland | 0 | 2008 est. |
| 168 | Iraq | 0 | 2008 est. |
| 169 | India | 0 | 2008 est. |
| 170 | Iceland | 0 | 2008 est. |
| 171 | Hong Kong | 0 | 2009 est. |
| 172 | Honduras | 0 | 2008 est. |
| 173 | Haiti | 0 | 2008 est. |
| 174 | Georgia | 0 | 2008 est. |
| 175 | Gambia, The | 0 | 2008 est. |
| 176 | Gabon | 0 | 2008 est. |
| 177 | French Polynesia | 0 | 2008 est. |
| 178 | Finland | 0 | 2008 est. |
| 179 | Fiji | 0 | 2008 est. |
| 180 | Faroe Islands | 0 | 2008 |
| 181 | Falkland Islands (Islas Malvinas) | 0 | 2008 est. |
| 182 | Cote d'Ivoire | 0 | 2008 est. |
| 183 | Costa Rica | 0 | 2008 est. |
| 184 | Cook Islands | 0 | 2008 est. |
| 185 | Congo, Republic of the | 0 | 2008 est. |
| 186 | Congo, Democratic Republic of the | 0 | 2008 est. |
| 187 | Comoros | 0 | 2008 est. |
| 188 | Chile | 0 | 2008 est. |
| 189 | Chad | 0 | 2008 est. |
| 190 | Cyprus | 0 | 2008 est. |
| 191 | Central African Republic | 0 | 2008 est. |
| 192 | Cayman Islands | 0 | 2008 est. |
