CIA - The World Factbook --  Maternal mortality rate   

The Maternal mortality rate (MMR) is the annual number of female deaths per 100,000 live births from any cause related to or aggravated by pregnancy or its management (excluding accidental or incidental causes).

| Rank | country | (deaths/100,000 live births) | Date of Information |
| 48 | Madagascar | 240.00 | 2010 |
| 49 | Bangladesh | 240.00 | 2010 |
| 50 | Gabon | 230.00 | 2010 |
| 51 | Papua New Guinea | 230.00 | 2010 |
| 52 | Indonesia | 220.00 | 2010 |
| 53 | Namibia | 200.00 | 2010 |
| 54 | Burma | 200.00 | 2010 |
| 55 | India | 200.00 | 2010 |
| 56 | Djibouti | 200.00 | 2010 |
| 57 | Yemen | 200.00 | 2010 |
| 58 | Bolivia | 190.00 | 2008 |
| 59 | Bhutan | 180.00 | 2010 |
| 60 | Nepal | 170.00 | 2010 |
| 61 | Botswana | 160.00 | 2010 |
| 62 | Dominican Republic | 150.00 | 2010 |
| 63 | Suriname | 130.00 | 2010 |
| 64 | Guatemala | 120.00 | 2010 |
| 65 | Jamaica | 110.00 | 2010 |
| 66 | Tonga | 110.00 | 2010 |
| 67 | Ecuador | 110.00 | 2010 |
| 68 | Vanuatu | 110.00 | 2010 |
| 69 | Honduras | 100.00 | 2010 |
| 70 | Morocco | 100.00 | 2010 |
| 71 | Micronesia, Federated States of | 100.00 | 2010 |
| 72 | Samoa | 100.00 | 2010 |
| 73 | Paraguay | 99.00 | 2010 |
| 74 | Philippines | 99.00 | 2010 |
| 75 | Algeria | 97.00 | 2010 |
| 76 | Nicaragua | 95.00 | 2010 |
| 77 | Solomon Islands | 93.00 | 2010 |
| 78 | Panama | 92.00 | 2010 |
| 79 | Venezuela | 92.00 | 2010 |
| 80 | Colombia | 92.00 | 2010 |
| 81 | El Salvador | 81.00 | 2010 |
| 82 | Korea, North | 81.00 | 2010 |
| 83 | Cabo Verde | 79.00 | 2010 |
| 84 | Argentina | 77.00 | 2010 |
| 85 | Cuba | 73.00 | 2010 |
| 86 | Kyrgyzstan | 71.00 | 2010 |
| 87 | Syria | 70.00 | 2010 |
| 88 | Sao Tome and Principe | 70.00 | 2010 |
| 89 | Turkmenistan | 67.00 | 2010 |
| 90 | Peru | 67.00 | 2010 |
| 91 | Georgia | 67.00 | 2010 |
| 92 | Egypt | 66.00 | 2010 |
| 93 | Tajikistan | 65.00 | 2010 |
| 94 | Gaza Strip | 64.00 | 2010 |
| 95 | West Bank | 64.00 | 2010 |
| 96 | Mongolia | 63.00 | 2010 |
| 97 | Jordan | 63.00 | 2010 |
| 98 | Iraq | 63.00 | 2010 |
| 99 | Mauritius | 60.00 | 2010 |
| 100 | Maldives | 60.00 | 2010 |
| 101 | Vietnam | 59.00 | 2010 |
| 102 | Libya | 58.00 | 2010 |
| 103 | Brazil | 56.00 | 2010 |
| 104 | Tunisia | 56.00 | 2010 |
| 105 | Belize | 53.00 | 2010 |
| 106 | Barbados | 51.00 | 2010 |
| 107 | Kazakhstan | 51.00 | 2010 |
| 108 | Mexico | 50.00 | 2010 |
| 109 | Saint Vincent and the Grenadines | 48.00 | 2010 |
| 110 | Thailand | 48.00 | 2010 |
| 111 | Bahamas, The | 47.00 | 2010 |
| 112 | Trinidad and Tobago | 46.00 | 2010 |
| 113 | Azerbaijan | 43.00 | 2010 |
| 114 | Moldova | 41.00 | 2010 |
| 115 | Costa Rica | 40.00 | 2010 |
| 116 | China | 37.00 | 2010 |
| 117 | Saint Lucia | 35.00 | 2010 |
| 118 | Sri Lanka | 35.00 | 2010 |
| 119 | Russia | 34.00 | 2010 |
| 120 | Latvia | 34.00 | 2010 |
| 121 | Ukraine | 32.00 | 2010 |
| 122 | Oman | 32.00 | 2010 |
| 123 | Armenia | 30.00 | 2010 |
| 124 | Uruguay | 29.00 | 2010 |
| 125 | Malaysia | 29.00 | 2010 |
| 126 | Uzbekistan | 28.00 | 2010 |
| 127 | Romania | 27.00 | 2010 |
| 128 | Albania | 27.00 | 2010 |
| 129 | Fiji | 26.00 | 2010 |
| 130 | Lebanon | 25.00 | 2010 |
| 131 | Chile | 25.00 | 2010 |
| 132 | Brunei | 24.00 | 2010 |
| 133 | Saudi Arabia | 24.00 | 2010 |
