CIA - The World Factbook --  PUBLIC DEBT

Public debt compares the cumulative total of all government borrowings less repayments that are denominated in a country's home currency. Public debt should not be confused with external debt.

| Rank | Country | (% OF GDP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Japan | 222.20 | 2016 est. |
| 2 | Greece | 179.40 | 2016 est. |
| 3 | Lebanon | 146.60 | 2016 est. |
| 4 | Italy | 132.50 | 2016 est. |
| 5 | Portugal | 130.40 | 2016 est. |
| 6 | Jamaica | 127.10 | 2016 est. |
| 7 | Cabo Verde | 123.90 | 2016 est. |
| 8 | Mozambique | 121.20 | 2016 est. |
| 9 | Eritrea | 120.90 | 2016 est. |
| 10 | Yemen | 119.10 | 2016 est. |
| 11 | Gambia, The | 116.10 | 2016 est. |
| 12 | Singapore | 112.90 | 2016 est. |
| 13 | Egypt | 111.20 | 2016 est. |
| 14 | Barbados | 107.90 | 2016 est. |
| 15 | Cyprus | 107.80 | 2016 est. |
| 16 | Bhutan | 106.80 | 2016 est. |
| 17 | Belgium | 106.00 | 2016 est. |
| 18 | Mauritania | 99.60 | 2016 est. |
| 19 | Canada | 99.40 | 2016 est. |
| 20 | Spain | 99.40 | 2016 est. |
| 21 | France | 96.40 | 2016 est. |
| 22 | Antigua and Barbuda | 92.70 | 2016 est. |
| 23 | Puerto Rico | 91.60 | 2016 est. |
| 24 | Belize | 91.40 | 2016 est. |
| 25 | Mongolia | 90.00 | 2016 est. |
| 26 | United Kingdom | 89.30 | 2016 est. |
| 27 | Jordan | 87.70 | 2016 est. |
| 28 | European Union | 86.80 | 2014 |
| 29 | Austria | 84.60 | 2016 est. |
| 30 | Grenada | 84.40 | 2016 est. |
| 31 | Croatia | 83.80 | 2016 est. |
| 32 | Congo, Republic of the | 83.10 | 2016 est. |
| 33 | Saint Lucia | 82.90 | 2016 est. |
| 34 | Maldives | 81.50 | 2016 est. |
| 35 | Dominica | 81.00 | 2016 est. |
| 36 | Ukraine | 81.00 | 2016 est. |
| 37 | Slovenia | 79.70 | 2016 est. |
| 38 | Sri Lanka | 79.30 | 2016 est. |
