CIA - The World Factbook -- Field Listing - Environment - international agreements

| Country | Environment - international agreements |
| --- | --- |
| **Afghanistan** | *party to:* Biodiversity, Desertification, Endangered Species, Environmental Modification, Marine Dumping |
| | *signed, but not ratified:* Climate Change, Hazardous Wastes, Law of the Sea, Marine Life Conservation |
| **Albania** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Algeria** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Andorra** | *party to:* Hazardous Wastes |
| | *signed, but not ratified:* none of the selected agreements |
| **Angola** | *party to:* Biodiversity, Climate Change, Desertification, Law of the Sea, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* none of the selected agreements |
| **Antigua and Barbuda** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Argentina** | *party to:* Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling |
| | *signed, but not ratified:* Marine Life Conservation |
| **Armenia** | *party to:* Air Pollution, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **Australia** | *party to:* Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol |
| **Austria** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 85, Air Pollution-Sulphur 94, Air Pollution-Volatile Organic Compounds, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **Azerbaijan** | *party to:* Air Pollution, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Marine Dumping, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Bahamas, The** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Bahrain** | *party to:* Biodiversity, Climate Change, Desertification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Bangladesh** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Barbados** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* none of the selected agreements |
| **Belarus** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 85, Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Law of the Sea |
| **Belgium** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 85, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **Belize** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
