CIA - The World Factbook --  Heliports   

This entry gives the total number of heliports with hard-surface runways, helipads, or landing areas that support routine sustained helicopter operations exclusively and have support facilities including one or more of the following facilities: lighting, fuel, passenger handling, or maintenance. It includes former airports used exclusively for helicopter operations but excludes heliports limited to day operations and natural clearings that could support helicopter landings and takeoffs.

| Rank | country | Heliports | Date of Information |
| --- | --- | --- | --- |
| 1 | Korea, South | 510.00 | 2010 |
| 2 | United States | 126.00 | 2010 |
| 3 | Indonesia | 64.00 | 2010 |
| 4 | Antarctica | 53.00 | 2010 |
| 5 | Russia | 50.00 | 2010 |
| 6 | China | 48.00 | 2010 |
| 7 | India | 40.00 | 2010 |
| 8 | Germany | 25.00 | 2010 |
| 9 | Korea, North | 22.00 | 2010 |
| 10 | Iraq | 21.00 | 2010 |
| 11 | Pakistan | 20.00 | 2010 |
| 12 | Turkey | 20.00 | 2010 |
| 13 | Iran | 19.00 | 2010 |
| 14 | Japan | 15.00 | 2010 |
| 15 | Brazil | 13.00 | 2010 |
| 16 | Canada | 12.00 | 2010 |
| 17 | Afghanistan | 11.00 | 2010 |
| 18 | United Kingdom | 11.00 | 2010 |
| 19 | Cyprus | 9.00 | 2010 |
| 20 | Spain | 9.00 | 2010 |
| 21 | Greece | 9.00 | 2010 |
| 22 | Saudi Arabia | 9.00 | 2010 |
| 23 | Hong Kong | 9.00 | 2010 |
| 24 | Timor-Leste | 8.00 | 2010 |
| 25 | New Caledonia | 8.00 | 2010 |
| 26 | Syria | 7.00 | 2010 |
| 27 | Poland | 7.00 | 2010 |
| 28 | Ukraine | 7.00 | 2010 |
| 29 | Italy | 6.00 | 2010 |
| 30 | Egypt | 6.00 | 2010 |
| 31 | Burma | 6.00 | 2010 |
| 32 | United Arab Emirates | 5.00 | 2010 |
| 33 | Bosnia and Herzegovina | 5.00 | 2010 |
| 34 | Hungary | 5.00 | 2010 |
| 35 | Sudan | 5.00 | 2010 |
| 36 | Venezuela | 4.00 | 2010 |
| 37 | Taiwan | 4.00 | 2010 |
| 38 | Thailand | 4.00 | 2010 |
| 39 | Nigeria | 4.00 | 2010 |
| 40 | Kuwait | 4.00 | 2010 |
| 41 | Kazakhstan | 3.00 | 2010 |
| 42 | Romania | 3.00 | 2010 |
| 43 | Panama | 3.00 | 2010 |
| 44 | Spratly Islands | 3.00 | 2010 |
| 45 | Malaysia | 3.00 | 2010 |
| 46 | Oman | 3.00 | 2010 |
| 47 | Israel | 3.00 | 2010 |
| 48 | Georgia | 3.00 | 2010 |
| 49 | Brunei | 3.00 | 2010 |
| 50 | Bulgaria | 3.00 | 2010 |
| 51 | Solomon Islands | 3.00 | 2010 |
| 52 | Argentina | 2.00 | 2010 |
| 53 | Papua New Guinea | 2.00 | 2010 |
| 54 | Sweden | 2.00 | 2010 |
| 55 | Ecuador | 2.00 | 2010 |
| 56 | Philippines | 2.00 | 2010 |
| 57 | Serbia | 2.00 | 2010 |
| 58 | Sierra Leone | 2.00 | 2010 |
| 59 | Libya | 2.00 | 2010 |
| 60 | Kosovo | 2.00 | 2010 |
| 61 | Colombia | 2.00 | 2010 |
| 62 | Algeria | 2.00 | 2010 |
| 63 | Macau | 2.00 | 2010 |
| 64 | Vietnam | 1.00 | 2010 |
| 65 | Slovakia | 1.00 | 2010 |
| 66 | Luxembourg | 1.00 | 2010 |
| 67 | Mongolia | 1.00 | 2010 |
| 68 | Montenegro | 1.00 | 2010 |
| 69 | Monaco | 1.00 | 2010 |
| 70 | Austria | 1.00 | 2010 |
| 71 | Switzerland | 1.00 | 2010 |
| 72 | Mexico | 1.00 | 2010 |
| 73 | Albania | 1.00 | 2010 |
| 74 | Netherlands | 1.00 | 2010 |
| 75 | Norway | 1.00 | 2010 |
| 76 | Peru | 1.00 | 2010 |
| 77 | Azerbaijan | 1.00 | 2010 |
| 78 | Turkmenistan | 1.00 | 2010 |
| 79 | Qatar | 1.00 | 2010 |
| 80 | Cambodia | 1.00 | 2010 |
| 81 | Burundi | 1.00 | 2010 |
| 82 | South Africa | 1.00 | 2010 |
| 83 | Belarus | 1.00 | 2010 |
| 84 | Bahamas, The | 1.00 | 2010 |
| 85 | Belgium | 1.00 | 2010 |
| 86 | Bahrain | 1.00 | 2010 |
| 87 | Australia | 1.00 | 2010 |
| 88 | Jordan | 1.00 | 2010 |
| 89 | Croatia | 1.00 | 2010 |
| 90 | Gaza Strip | 1.00 | 2010 |
| 91 | Svalbard | 1.00 | 2010 |
| 92 | France | 1.00 | 2010 |
| 93 | French Polynesia | 1.00 | 2010 |
| 94 | Czech Republic | 1.00 | 2010 |
| 95 | El Salvador | 1.00 | 2010 |
| 96 | Eritrea | 1.00 | 2010 |
| 97 | Estonia | 1.00 | 2010 |
| 98 | Northern Mariana Islands | 1.00 | 2010 |
| 99 | Morocco | 1.00 | 2010 |
