CIA - The World Factbook --  Heliports   

This entry gives the total number of heliports with hard-surface runways, helipads, or landing areas that support routine sustained helicopter operations exclusively and have support facilities including one or more of the following facilities: lighting, fuel, passenger handling, or maintenance. It includes former airports used exclusively for helicopter operations but excludes heliports limited to day operations and natural clearings that could support helicopter landings and takeoffs.

| Rank | country | Heliports | Date of Information |
| --- | --- | --- | --- |
| 1 | Korea, South | 510.00 | 2010 |
| 2 | United States | 126.00 | 2010 |
| 3 | European Union | 99.00 | 2010 |
| 4 | Indonesia | 64.00 | 2010 |
| 5 | Antarctica | 53.00 | 2010 |
| 6 | Russia | 50.00 | 2010 |
| 7 | China | 48.00 | 2010 |
| 8 | India | 40.00 | 2010 |
| 9 | Germany | 25.00 | 2010 |
| 10 | Korea, North | 22.00 | 2010 |
| 11 | Iraq | 21.00 | 2010 |
| 12 | Pakistan | 20.00 | 2010 |
| 13 | Turkey | 20.00 | 2010 |
| 14 | Iran | 19.00 | 2010 |
| 15 | Japan | 15.00 | 2010 |
| 16 | Brazil | 13.00 | 2010 |
| 17 | Canada | 12.00 | 2010 |
| 18 | Afghanistan | 11.00 | 2010 |
| 19 | United Kingdom | 11.00 | 2010 |
| 20 | Cyprus | 9.00 | 2010 |
| 21 | Saudi Arabia | 9.00 | 2010 |
| 22 | Greece | 9.00 | 2010 |
| 23 | Hong Kong | 9.00 | 2010 |
| 24 | Spain | 9.00 | 2010 |
| 25 | New Caledonia | 8.00 | 2010 |
| 26 | Timor-Leste | 8.00 | 2010 |
| 27 | Poland | 7.00 | 2010 |
| 28 | Ukraine | 7.00 | 2010 |
| 29 | Syria | 7.00 | 2010 |
| 30 | Burma | 6.00 | 2010 |
| 31 | Italy | 6.00 | 2010 |
| 32 | Egypt | 6.00 | 2010 |
| 33 | Bosnia and Herzegovina | 5.00 | 2010 |
| 34 | United Arab Emirates | 5.00 | 2010 |
| 35 | Sudan | 5.00 | 2010 |
| 36 | Hungary | 5.00 | 2010 |
| 37 | Kuwait | 4.00 | 2010 |
| 38 | Nigeria | 4.00 | 2010 |
| 39 | Thailand | 4.00 | 2010 |
| 40 | Taiwan | 4.00 | 2010 |
| 41 | Venezuela | 4.00 | 2010 |
| 42 | Brunei | 3.00 | 2010 |
| 43 | Georgia | 3.00 | 2010 |
| 44 | Bulgaria | 3.00 | 2010 |
| 45 | Israel | 3.00 | 2010 |
| 46 | Kazakhstan | 3.00 | 2010 |
| 47 | Malaysia | 3.00 | 2010 |
| 48 | Spratly Islands | 3.00 | 2010 |
| 49 | Solomon Islands | 3.00 | 2010 |
| 50 | Romania | 3.00 | 2010 |
| 51 | Panama | 3.00 | 2010 |
| 52 | Oman | 3.00 | 2010 |
| 53 | Algeria | 2.00 | 2010 |
| 54 | Ecuador | 2.00 | 2010 |
| 55 | Kosovo | 2.00 | 2010 |
| 56 | Serbia | 2.00 | 2010 |
| 57 | Sweden | 2.00 | 2010 |
| 58 | Sierra Leone | 2.00 | 2010 |
| 59 | Philippines | 2.00 | 2010 |
| 60 | Papua New Guinea | 2.00 | 2010 |
| 61 | Libya | 2.00 | 2010 |
| 62 | Macau | 2.00 | 2010 |
| 63 | Argentina | 2.00 | 2010 |
| 64 | Colombia | 2.00 | 2010 |
| 65 | Albania | 1.00 | 2010 |
| 66 | South Africa | 1.00 | 2010 |
| 67 | Slovakia | 1.00 | 2010 |
| 68 | Qatar | 1.00 | 2010 |
| 69 | Peru | 1.00 | 2010 |
| 70 | Norway | 1.00 | 2010 |
| 71 | Northern Mariana Islands | 1.00 | 2010 |
| 72 | Netherlands | 1.00 | 2010 |
| 73 | Morocco | 1.00 | 2010 |
| 74 | Montenegro | 1.00 | 2010 |
| 75 | Mongolia | 1.00 | 2010 |
| 76 | Monaco | 1.00 | 2010 |
| 77 | Mexico | 1.00 | 2010 |
| 78 | Luxembourg | 1.00 | 2010 |
| 79 | Jordan | 1.00 | 2010 |
| 80 | French Polynesia | 1.00 | 2010 |
| 81 | Vietnam | 1.00 | 2010 |
| 82 | Turkmenistan | 1.00 | 2010 |
| 83 | Switzerland | 1.00 | 2010 |
| 84 | Svalbard | 1.00 | 2010 |
| 85 | France | 1.00 | 2010 |
| 86 | Estonia | 1.00 | 2010 |
| 87 | Eritrea | 1.00 | 2010 |
| 88 | El Salvador | 1.00 | 2010 |
| 89 | Czech Republic | 1.00 | 2010 |
| 90 | Croatia | 1.00 | 2010 |
| 91 | Cambodia | 1.00 | 2010 |
| 92 | Burundi | 1.00 | 2010 |
| 93 | Gaza Strip | 1.00 | 2010 |
| 94 | Australia | 1.00 | 2010 |
| 95 | Austria | 1.00 | 2010 |
| 96 | Azerbaijan | 1.00 | 2010 |
| 97 | Bahamas, The | 1.00 | 2010 |
| 98 | Bahrain | 1.00 | 2010 |
| 99 | Belarus | 1.00 | 2010 |
| 100 | Belgium | 1.00 | 2010 |
