CIA - The World Factbook --  HIV/AIDS - people living with HIV/AIDS   

This entry gives an estimate of all people (adults and children) alive at yearend with HIV infection, whether or not they have developed symptoms of AIDS.

| Rank | country | HIV/AIDS - people living with HIV/AIDS | Date of Information |
| --- | --- | --- | --- |
| 1 | South Africa | 5,600,000 | 2009 est. |
| 2 | Nigeria | 3,300,000 | 2009 est. |
| 3 | India | 2,400,000 | 2009 est. |
| 4 | Kenya | 1,500,000 | 2009 est. |
| 5 | Mozambique | 1,400,000 | 2009 est. |
| 6 | Tanzania | 1,400,000 | 2009 est. |
| 7 | United States | 1,200,000 | 2009 est. |
| 8 | Uganda | 1,200,000 | 2009 est. |
| 9 | Zimbabwe | 1,200,000 | 2009 est. |
| 10 | Zambia | 980,000 | 2009 est. |
| 11 | Russia | 980,000 | 2009 est. |
| 12 | Malawi | 920,000 | 2009 est. |
| 13 | China | 740,000 | 2009 est. |
| 14 | Cameroon | 610,000 | 2009 est. |
| 15 | Thailand | 530,000 | 2009 est. |
| 16 | Cote d'Ivoire | 450,000 | 2009 est. |
| 17 | Ukraine | 350,000 | 2009 est. |
| 18 | Botswana | 320,000 | 2009 est. |
| 19 | Indonesia | 310,000 | 2009 est. |
| 20 | Lesotho | 290,000 | 2009 est. |
| 21 | Vietnam | 280,000 | 2009 est. |
| 22 | Sudan | 260,000 | 2009 est. |
| 23 | Ghana | 260,000 | 2009 est. |
| 24 | Burma | 240,000 | 2009 est. |
| 25 | Mexico | 220,000 | 2009 est. |
| 26 | Chad | 210,000 | 2009 est. |
| 27 | Angola | 200,000 | 2009 est. |
| 28 | Swaziland | 180,000 | 2009 est. |
| 29 | Burundi | 180,000 | 2009 est. |
| 30 | Namibia | 180,000 | 2009 est. |
| 31 | Rwanda | 170,000 | 2009 est. |
| 32 | Colombia | 160,000 | 2009 est. |
| 33 | France | 150,000 | 2009 est. |
| 34 | Italy | 140,000 | 2009 est. |
| 35 | Spain | 130,000 | 2009 est. |
| 36 | Central African Republic | 130,000 | 2009 est. |
| 37 | Haiti | 120,000 | 2009 est. |
| 38 | Togo | 120,000 | 2009 est. |
