Field Listing :: Crude oil - imports :: The World Factbook - Central Intelligence Agency

This entry is the total amount of crude oil imported, in barrels per day (bbl/day).

| Country | Crude oil - imports |
| **Grenada** | 0 bbl/day (2015 est.) |
| **Guam** | 0 bbl/day (2015 est.) |
| **Guatemala** | 0 bbl/day (2015 est.) |
| **Guinea** | 0 bbl/day (2015 est.) |
| **Guinea-Bissau** | 0 bbl/day (2015 est.) |
| **Guyana** | 0 bbl/day (2015 est.) |
| **Haiti** | 0 bbl/day (2015 est.) |
| **Honduras** | 0 bbl/day (2015 est.) |
| **Hong Kong** | 0 bbl/day (2015 est.) |
| **Hungary** | 121,000 bbl/day (2017 est.) |
| **Iceland** | 0 bbl/day (2017 est.) |
| **India** | 4.057 million bbl/day (2015 est.) |
| **Indonesia** | 498,500 bbl/day (2015 est.) |
| **Iran** | 0 bbl/day (2015 est.) |
| **Iraq** | 0 bbl/day (2015 est.) |
| **Ireland** | 66,210 bbl/day (2017 est.) |
| **Israel** | 231,600 bbl/day (2017 est.) |
| **Italy** | 1.341 million bbl/day (2017 est.) |
| **Jamaica** | 24,360 bbl/day (2015 est.) |
| **Japan** | 3.208 million bbl/day (2017 est.) |
| **Jordan** | 67,980 bbl/day (2015 est.) |
| **Kazakhstan** | 1,480 bbl/day (2015 est.) |
| **Kenya** | 12,550 bbl/day (2015 est.) |
| **Kiribati** | 0 bbl/day (2015 est.) |
| **Korea, North** | 10,640 bbl/day (2015 est.) |
| **Korea, South** | 3.057 million bbl/day (2017 est.) |
| **Kosovo** | 0 bbl/day (2015 est.) |
| **Kuwait** | 0 bbl/day (2015 est.) |
| **Kyrgyzstan** | 4,480 bbl/day (2015 est.) |
| **Laos** | 0 bbl/day (2015 est.) |
| **Latvia** | 0 bbl/day (2017 est.) |
| **Lebanon** | 0 bbl/day (2015 est.) |
| **Lesotho** | 0 bbl/day (2015 est.) |
| **Liberia** | 0 bbl/day (2015 est.) |
| **Libya** | 0 bbl/day (2015 est.) |
| **Lithuania** | 182,900 bbl/day (2015 est.) |
| **Luxembourg** | 0 bbl/day (2017 est.) |
| **Macau** | 0 bbl/day (2015 est.) |
| **Madagascar** | 0 bbl/day (2015 est.) |
| **Malawi** | 0 bbl/day (2015 est.) |
| **Malaysia** | 166,000 bbl/day (2015 est.) |
| **Maldives** | 0 bbl/day (2015 est.) |
| **Mali** | 0 bbl/day (2015 est.) |
| **Malta** | 0 bbl/day (2015 est.) |
| **Marshall Islands** | 0 bbl/day (2015 est.) |
| **Mauritania** | 0 bbl/day (2015 est.) |
| **Mauritius** | 0 bbl/day (2015 est.) |
| **Mexico** | 0 bbl/day (2017 est.) |
| **Micronesia, Federated States of** | 0 bbl/day (2014) |
| **Moldova** | 20 bbl/day (2015 est.) |
| **Mongolia** | 0 bbl/day (2015 est.) |
| **Montenegro** | 0 bbl/day (2015 est.) |
| **Montserrat** | 0 bbl/day (2015 est.) |
| **Morocco** | 61,160 bbl/day (2015 est.) |
| **Mozambique** | 0 bbl/day (2015 est.) |
| **Namibia** | 0 bbl/day (2015 est.) |
