CIA - The World Factbook -- Field Listing :: Crude oil - imports   

This entry is the total amount of crude oil imported, in barrels per day (bbl/day).

| Country | Crude oil - imports(bbl/day) |
| **Lebanon** | 0 bbl/day (2009 est.) |
| **Lesotho** | 0 bbl/day (2009 est.) |
| **Liberia** | 0 bbl/day (2009 est.) |
| **Libya** | 0 bbl/day (2009 est.) |
| **Lithuania** | 168,300 bbl/day (2009 est.) |
| **Luxembourg** | 0 bbl/day (2009 est.) |
| **Macau** | 0 bbl/day (2009 est.) |
| **Macedonia** | 18,800 bbl/day (2009 est.) |
| **Madagascar** | 0 bbl/day (2009 est.) |
| **Malawi** | 0 bbl/day (2009 est.) |
| **Malaysia** | 199,100 bbl/day (2009 est.) |
| **Maldives** | 0 bbl/day (2012 est.) |
| **Mali** | 0 bbl/day (2009 est.) |
| **Malta** | 0 bbl/day (2011 est.) |
| **Mauritania** | 0 bbl/day (2009 est.) |
| **Mauritius** | 0 bbl/day (2009 est.) |
| **Mexico** | 0 bbl/day (2009 est.) |
| **Moldova** | 0 bbl/day (2009 est.) |
| **Mongolia** | 0 bbl/day (2009 est.) |
| **Montenegro** | 0 bbl/day (2009 est.) |
| **Montserrat** | 0 bbl/day (2009 est.) |
| **Morocco** | 95,460 bbl/day (2009 est.) |
| **Mozambique** | 0 bbl/day (2009 est.) |
| **Namibia** | 0 bbl/day (2009 est.) |
| **Nauru** | 0 bbl/day (2009 est.) |
| **Nepal** | 0 bbl/day (2009 est.) |
| **Netherlands** | 964,100 bbl/day (2009 est.) |
| **New Caledonia** | 0 bbl/day (2009 est.) |
| **New Zealand** | 90,840 bbl/day (2009 est.) |
| **Nicaragua** | 16,080 bbl/day (2009 est.) |
| **Niger** | 0 bbl/day (2009 est.) |
| **Nigeria** | 0 bbl/day (2009 est.) |
| **Niue** | 0 bbl/day (2009 est.) |
| **Norway** | 19,960 bbl/day (2009 est.) |
| **Oman** | 0 bbl/day (2009 est.) |
| **Pakistan** | 183,000 bbl/day (2009 est.) |
| **Panama** | 0 bbl/day (2009 est.) |
| **Papua New Guinea** | 15,100 bbl/day (2009 est.) |
| **Paraguay** | 0.01 bbl/day (2009 est.) |
| **Peru** | 99,590 bbl/day (2009 est.) |
| **Philippines** | 176,000 bbl/day (2009 est.) |
| **Poland** | 402,000 bbl/day (2009 est.) |
| **Portugal** | 205,400 bbl/day (2009 est.) |
| **Puerto Rico** | 40,000 bbl/day (2009 est.) |
| **Qatar** | 0 bbl/day (2009 est.) |
| **Romania** | 169,000 bbl/day (2009 est.) |
| **Russia** | 42,000 bbl/day (2009 est.) |
| **Rwanda** | 0 bbl/day (2009 est.) |
| **Saint Helena, Ascension, and Tristan da Cunha** | 0 bbl/day (2009 est.) |
| **Saint Kitts and Nevis** | 0 bbl/day (2009 est.) |
| **Saint Lucia** | 0 bbl/day (2009 est.) |
| **Saint Pierre and Miquelon** | 0 bbl/day (2009 est.) |
| **Saint Vincent and the Grenadines** | 0 bbl/day (2009 est.) |
| **Samoa** | 0 bbl/day (2009 est.) |
| **Sao Tome and Principe** | 0 bbl/day (2009 est.) |
| **Saudi Arabia** | 0 bbl/day (2011 est.) |
| **Senegal** | 13,040 bbl/day (2009 est.) |
| **Serbia** | 45,000 bbl/day (2009 est.) |
| **Seychelles** | 0 bbl/day (2009 est.) |
| **Sierra Leone** | 0 bbl/day (2009 est.) |
| **Singapore** | 883,500 bbl/day (2009 est.) |
| **Slovakia** | 114,100 bbl/day (2009 est.) |
| **Slovenia** | 0 bbl/day (2009 est.) |
| **Solomon Islands** | 0 bbl/day (2009 est.) |
| **Somalia** | 1,000 bbl/day (2009 est.) |
| **South Africa** | 402,300 bbl/day (2009 est.) |
| **Spain** | 1.046 million bbl/day (2009 est.) |
| **Sri Lanka** | 41,000 bbl/day (2012 est.) |
| **Sudan** | 0 bbl/day (2009 est.) |
| **Suriname** | 0 bbl/day (2009 est.) |
| **Swaziland** | 0 bbl/day (2009 est.) |
| **Sweden** | 380,100 bbl/day (2009 est.) |
| **Switzerland** | 258,200 bbl/day (2011 est.) |
| **Syria** | 0 bbl/day (2009 est.) |
| **Taiwan** | 952,800 bbl/day (2009 est.) |
| **Tajikistan** | 0 bbl/day (2009 est.) |
| **Tanzania** | 0 bbl/day (2009 est.) |
| **Thailand** | 807,400 bbl/day (2009 est.) |
| **Timor-Leste** | 0 bbl/day (2009 est.) |
| **Togo** | 0 bbl/day (2009 est.) |
| **Tonga** | 0 bbl/day (2009 est.) |
| **Trinidad and Tobago** | 56,540 bbl/day (2009 est.) |
| **Tunisia** | 24,580 bbl/day (2009 est.) |
| **Turkey** | 284,400 bbl/day (2009 est.) |
| **Turkmenistan** | 0 bbl/day (2009 est.) |
| **Turks and Caicos Islands** | 0 bbl/day (2009 est.) |
| **Uganda** | 0 bbl/day (2009 est.) |
| **Ukraine** | 143,600 bbl/day (2009 est.) |
| **United Arab Emirates** | 0 bbl/day (2009 est.) |
| **United Kingdom** | 942,100 bbl/day (2009 est.) |
| **United States** | 9.013 million bbl/day (2009 est.) |
| **Uruguay** | 38,720 bbl/day (2009 est.) |
| **Uzbekistan** | 0 bbl/day (2009 est.) |
| **Vanuatu** | 0 bbl/day (2009 est.) |
| **Venezuela** | 0 bbl/day (2009 est.) |
| **Vietnam** | 0 bbl/day (2009 est.) |
| **Virgin Islands** | 425,000 bbl/day (2009 est.) |
| **West Bank** | 0 bbl/day (2009 est.) |
| **Western Sahara** | 0 bbl/day (2009 est.) |
| **World** | 43.01 million bbl/day (2009 est.) |
| **Yemen** | 0 bbl/day (2009 est.) |
| **Zambia** | 10,790 bbl/day (2009 est.) |
| **Zimbabwe** | 0 bbl/day (2009 est.) |
