FIELD LISTING :: CRUDE OIL - IMPORTS

This entry is the total amount of crude oil imported, in barrels per day (bbl/day).

| Country | CRUDE OIL - IMPORTS(BBL/DAY) |
| --- | --- |
| **Afghanistan** | 0 bbl/day (2014 est.) |
| **Albania** | 1,000 bbl/day (2014 est.) |
| **Algeria** | 5,880 bbl/day (2014 est.) |
| **American Samoa** | 0 bbl/day (2014 est.) |
| **Andorra** | 0 bbl/day (2016) (2016) |
| **Angola** | 0 bbl/day (2014 est.) |
| **Antigua and Barbuda** | 0 bbl/day (2014 est.) |
| **Argentina** | 10,180 bbl/day (2014 est.) |
| **Armenia** | 0 bbl/day (2014 est.) |
| **Aruba** | 0 bbl/day (2014 est.) |
| **Australia** | 339,500 bbl/day (2016 est.) |
| **Austria** | 148,400 bbl/day (2016 est.) |
| **Azerbaijan** | 0 bbl/day (2014 est.) |
| **Bahamas, The** | 0 bbl/day (2014 est.) |
| **Bahrain** | 223,900 bbl/day (2014 est.) |
| **Bangladesh** | 26,160 bbl/day (2014 est.) |
| **Barbados** | 0 bbl/day (2014 est.) |
| **Belarus** | 450,200 bbl/day (2014 est.) |
| **Belgium** | 639,500 bbl/day (2016 est.) |
| **Belize** | 0 bbl/day (2014 est.) |
| **Benin** | 0 bbl/day (2014 est.) |
| **Bermuda** | 0 bbl/day (2014 est.) |
| **Bhutan** | 0 bbl/day (2014 est.) |
| **Bolivia** | 0 bbl/day (2014 est.) |
| **Bosnia and Herzegovina** | 18,940 bbl/day (2014 est.) |
| **Botswana** | 0 bbl/day (2014 est.) |
| **Brazil** | 350,100 bbl/day (2014 est.) |
| **British Virgin Islands** | 0 bbl/day (2014 est.) |
| **Brunei** | 160 bbl/day (2014 est.) |
| **Bulgaria** | 122,800 bbl/day (2014 est.) |
| **Burkina Faso** | 0 bbl/day (2014 est.) |
| **Burma** | 28.5 bbl/day (2014 est.) |
| **Burundi** | 0 bbl/day (2014 est.) |
| **Cabo Verde** | 0 bbl/day (2014 est.) |
| **Cambodia** | 0 bbl/day (2014 est.) |
| **Cameroon** | 39,120 bbl/day (2014 est.) |
| **Canada** | 892,500 bbl/day (2016 est.) |
| **Cayman Islands** | 0 bbl/day (2014 est.) |
| **Central African Republic** | 0 bbl/day (2014 est.) |
| **Chad** | 0 bbl/day (2014 est.) |
| **Chile** | 163,000 bbl/day (2016 est.) |
| **China** | 6.167 million bbl/day (2014 est.) |
| **Colombia** | 0 bbl/day (2014 est.) |
| **Comoros** | 0 bbl/day (2014 est.) |
| **Congo, Democratic Republic of the** | 0 bbl/day (2014 est.) |
| **Congo, Republic of the** | 0 bbl/day (2014 est.) |
| **Cook Islands** | 0 bbl/day (2014 est.) |
| **Costa Rica** | 0 bbl/day (2014 est.) |
| **Cote d'Ivoire** | 65,540 bbl/day (2014 est.) |
| **Croatia** | 47,200 bbl/day (2014 est.) |
| **Cuba** | 101,500 bbl/day (2014 est.) |
| **Cyprus** | 0 bbl/day (2014 est.) |
| **Czechia** | 105,800 bbl/day (2016 est.) |
| **Denmark** | 77,950 bbl/day (2016 est.) |
| **Djibouti** | 0 bbl/day (2014 est.) |
| **Dominica** | 0 bbl/day (2014 est.) |
| **Dominican Republic** | 27,440 bbl/day (2014 est.) |
| **Ecuador** | 0 bbl/day (2014 est.) |
| **Egypt** | 60,940 bbl/day (2014 est.) |
| **El Salvador** | 0 bbl/day (2014 est.) |
| **Equatorial Guinea** | 0 bbl/day (2014 est.) |
| **Eritrea** | 0 bbl/day (2014 est.) |
| **Estonia** | 0 bbl/day (2016 est.) |
| **Ethiopia** | 0 bbl/day (2014 est.) |
| **Falkland Islands (Islas Malvinas)** | 0 bbl/day (2014 est.) |
| **Faroe Islands** | 0 bbl/day (2014 est.) |
| **Fiji** | 0 bbl/day (2014 est.) |
| **Finland** | 220,400 bbl/day (2016 est.) |
| **France** | 1.096 million bbl/day (2016 est.) |
| **French Polynesia** | 0 bbl/day (2014 est.) |
| **Gabon** | 0 bbl/day (2014 est.) |
| **Gambia, The** | 0 bbl/day (2014 est.) |
| **Georgia** | 200 bbl/day (2014 est.) |
| **Germany** | 1.837 million bbl/day (2016 est.) |
| **Ghana** | 13,860 bbl/day (2014 est.) |
| **Gibraltar** | 0 bbl/day (2014 est.) |
| **Greece** | 477,400 bbl/day (2016 est.) |
| **Greenland** | 0 bbl/day (2014 est.) |
| **Grenada** | 0 bbl/day (2014 est.) |
| **Guam** | 0 bbl/day (2014 est.) |
| **Guatemala** | 17,220 bbl/day (2014 est.) |
| **Guinea-Bissau** | 0 bbl/day (2014 est.) |
| **Guinea** | 0 bbl/day (2014 est.) |
| **Guyana** | 0 bbl/day (2014 est.) |
| **Haiti** | 0 bbl/day (2014 est.) |
| **Honduras** | 0 bbl/day (2014 est.) |
| **Hong Kong** | 0 bbl/day (2014 est.) |
| **Hungary** | 120,400 bbl/day (2016 est.) |
| **Iceland** | 0 bbl/day (2016 est.) |
| **India** | 3.789 million bbl/day (2014 est.) |
| **Indonesia** | 507,900 bbl/day (2014 est.) |
| **Iran** | 33,710 bbl/day (2014 est.) |
| **Iraq** | 0 bbl/day (2014 est.) |
| **Ireland** | 65,390 bbl/day (2016 est.) |
| **Israel** | 215,600 bbl/day (2016 est.) |
| **Italy** | 1.231 million bbl/day (2016 est.) |
| **Jamaica** | 19,160 bbl/day (2014 est.) |
| **Japan** | 3.181 million bbl/day (2016 est.) |
| **Jordan** | 63,220 bbl/day (2014 est.) |
| **Kazakhstan** | 145,800 bbl/day (2014 est.) |
| **Kenya** | 11,870 bbl/day (2014 est.) |
| **Kiribati** | 0 bbl/day (2014 est.) |
| **Korea, North** | 10,640 bbl/day (2014 est.) |
| **Korea, South** | 2.942 million bbl/day (2016 est.) |
| **Kosovo** | 0 bbl/day (2014 est.) |
| **Kuwait** | 0 bbl/day (2014 est.) |
| **Kyrgyzstan** | 100 bbl/day (2014 est.) |
| **Laos** | 0 bbl/day (2014 est.) |
| **Latvia** | 0 bbl/day (2016 est.) |
| **Lebanon** | 0 bbl/day (2014 est.) |
| **Lesotho** | 0 bbl/day (2014 est.) |
| **Liberia** | 0 bbl/day (2014 est.) |
| **Libya** | 0 bbl/day (2014 est.) |
| **Lithuania** | 160,800 bbl/day (2014 est.) |
| **Luxembourg** | 0 bbl/day (2016 est.) |
| **Macau** | 0 bbl/day (2014 est.) |
| **Macedonia** | 0 bbl/day (2014 est.) |
| **Madagascar** | 0 bbl/day (2014 est.) |
| **Malawi** | 0 bbl/day (2014 est.) |
| **Malaysia** | 194,400 bbl/day (2014 est.) |
| **Maldives** | 0 bbl/day (2014 est.) |
| **Mali** | 0 bbl/day (2014 est.) |
| **Malta** | 0 bbl/day (2014 est.) |
| **Marshall Islands** | 0 bbl/day (2014 est.) |
| **Mauritania** | 0 bbl/day (2014 est.) |
| **Mauritius** | 0 bbl/day (2014 est.) |
| **Mexico** | 0 bbl/day (2016 est.) |
| **Micronesia, Federated States of** | 0 bbl/day (2014) |
| **Moldova** | 20 bbl/day (2014 est.) |
| **Mongolia** | 0 bbl/day (2014 est.) |
| **Montenegro** | 0 bbl/day (2014 est.) |
| **Montserrat** | 0 bbl/day (2014 est.) |
| **Morocco** | 129,800 bbl/day (2014 est.) |
| **Mozambique** | 0 bbl/day (2014 est.) |
| **Namibia** | 0 bbl/day (2014 est.) |
| **Nauru** | 0 bbl/day (2014 est.) |
| **Nepal** | 2.016 million bbl/day (1) |
| **Netherlands** | 1.09 million bbl/day (2016 est.) |
| **New Caledonia** | 0 bbl/day (2014 est.) |
| **New Zealand** | 109,200 bbl/day (2016 est.) |
| **Nicaragua** | 14,180 bbl/day (2014 est.) |
| **Nigeria** | 0 bbl/day (2014 est.) |
| **Niger** | 0 bbl/day (2014 est.) |
| **Niue** | 0 bbl/day (2014 est.) |
| **Norway** | 10,630 bbl/day (2016 est.) |
| **Oman** | 6,970 bbl/day (2014 est.) |
| **Pakistan** | 166,000 bbl/day (2014 est.) |
| **Panama** | 0 bbl/day (2014 est.) |
| **Papua New Guinea** | 14,880 bbl/day (2014 est.) |
| **Paraguay** | 0 bbl/day (2014 est.) |
| **Peru** | 83,660 bbl/day (2014 est.) |
| **Philippines** | 215,800 bbl/day (2016 est.) |
| **Poland** | 490,300 bbl/day (2016 est.) |
| **Portugal** | 270,600 bbl/day (2016 est.) |
