FIELD LISTING :: CRUDE OIL - IMPORTS

This entry is the total amount of crude oil imported, in barrels per day (bbl/day).

| Country | CRUDE OIL - IMPORTS(BBL/DAY) |
| **Madagascar** | 0 bbl/day (2013 est.) |
| **Malawi** | 0 bbl/day (2013 est.) |
| **Malaysia** | 180,200 bbl/day (2013 est.) |
| **Maldives** | 0 bbl/day (2013 est.) |
| **Mali** | 0 bbl/day (2013 est.) |
| **Malta** | 0 bbl/day (2013 est.) |
| **Marshall Islands** | 0 bbl/day (2013 est.) |
| **Mauritania** | 0 bbl/day (2013 est.) |
| **Mauritius** | 0 bbl/day (2013 est.) |
| **Mexico** | 11,110 bbl/day (2015 est.) |
| **Micronesia, Federated States of** | 0 bbl/day (2014) |
| **Moldova** | 20 bbl/day (2013 est.) |
| **Mongolia** | 0 bbl/day (2013 est.) |
| **Montenegro** | 0 bbl/day (2013 est.) |
| **Montserrat** | 0 bbl/day (2013 est.) |
| **Morocco** | 145,000 bbl/day (2013 est.) |
| **Mozambique** | 0 bbl/day (2013 est.) |
| **Namibia** | 0 bbl/day (2013 est.) |
| **Nauru** | 0 bbl/day (2013 est.) |
| **Nepal** | 0 bbl/day (2013 est.) |
| **Netherlands** | 1.255 million bbl/day (2015 est.) |
| **New Caledonia** | 0 bbl/day (2013 est.) |
| **New Zealand** | 104,700 bbl/day (2015 est.) |
| **Nicaragua** | 13,440 bbl/day (2013 est.) |
| **Nigeria** | 0 bbl/day (2013 est.) |
| **Niger** | 0 bbl/day (2013 est.) |
| **Niue** | 0 bbl/day (2013 est.) |
| **Norway** | 22,400 bbl/day (2015 est.) |
| **Oman** | 7,060 bbl/day (2013 est.) |
| **Pakistan** | 150,800 bbl/day (2013 est.) |
| **Panama** | 0 bbl/day (2013 est.) |
| **Papua New Guinea** | 14,880 bbl/day (2013 est.) |
| **Paraguay** | 0 bbl/day (2013 est.) |
| **Peru** | 84,280 bbl/day (2013 est.) |
| **Philippines** | 1.503 million bbl/day (2014 est.) |
| **Poland** | 532,300 bbl/day (2015 est.) |
| **Portugal** | 308,000 bbl/day (2015 est.) |
| **Puerto Rico** | 0 bbl/day (2013 est.) |
| **Qatar** | 0 bbl/day (2013 est.) |
| **Romania** | 111,200 bbl/day (2013 est.) |
| **Russia** | 29,650 bbl/day (2014 est.) |
| **Rwanda** | 0 bbl/day (2013 est.) |
| **Saint Helena, Ascension, and Tristan da Cunha** | 0 bbl/day (2013 est.) |
| **Saint Kitts and Nevis** | 0 bbl/day (2013 est.) |
| **Saint Lucia** | 0 bbl/day (2013 est.) |
| **Saint Pierre and Miquelon** | 0 bbl/day (2013 est.) |
| **Saint Vincent and the Grenadines** | 0 bbl/day (2013 est.) |
| **Samoa** | 0 bbl/day (2013 est.) |
| **Sao Tome and Principe** | 0 bbl/day (2013 est.) |
| **Saudi Arabia** | 0 bbl/day (2013 est.) |
| **Senegal** | 17,240 bbl/day (2013 est.) |
| **Serbia** | 31,730 bbl/day (2014 est.) |
| **Seychelles** | 0 bbl/day (2013 est.) |
| **Sierra Leone** | 0 bbl/day (2013 est.) |
| **Singapore** | 895,400 bbl/day (2013 est.) |
| **Slovakia** | 119,200 bbl/day (2015 est.) |
| **Slovenia** | 0 bbl/day (2015 est.) |
| **Solomon Islands** | 0 bbl/day (2013 est.) |
| **Somalia** | 0 bbl/day (2013 est.) |
| **South Africa** | 466,100 bbl/day (2013 est.) |
| **South Sudan** | 0 bbl/day (2013 est.) |
| **Spain** | 1.349 million bbl/day (2015 est.) |
| **Sri Lanka** | 34,860 bbl/day (2013 est.) |
| **Sudan** | 0 bbl/day (2013 est.) |
| **Suriname** | 0 bbl/day (2013 est.) |
| **Svalbard** | 0 bbl/day (2012 est.) |
| **Swaziland** | 0 bbl/day (2013 est.) |
| **Sweden** | 410,600 bbl/day (2015 est.) |
| **Switzerland** | 56,560 bbl/day (2015 est.) |
| **Syria** | 58,260 bbl/day (2013 est.) |
| **Taiwan** | 841,300 bbl/day (2015 est.) |
| **Tajikistan** | 0 bbl/day (2013 est.) |
| **Tanzania** | 0 bbl/day (2013 est.) |
| **Thailand** | 897,800 bbl/day (2013 est.) |
| **Timor-Leste** | 0 bbl/day (2013 est.) |
| **Togo** | 0 bbl/day (2013 est.) |
| **Tonga** | 0 bbl/day (2013 est.) |
| **Trinidad and Tobago** | 78,340 bbl/day (2015 est.) |
| **Tunisia** | 22,920 bbl/day (2013 est.) |
| **Turkey** | 513,500 bbl/day (2015 est.) |
| **Turkmenistan** | 0 bbl/day (2013 est.) |
| **Turks and Caicos Islands** | 0 bbl/day (2013 est.) |
| **Tuvalu** | 0 bbl/day (2014) |
| **Uganda** | 0 bbl/day (2013 est.) |
| **Ukraine** | 24,180 bbl/day (2013 est.) |
| **United Arab Emirates** | 0 bbl/day (2013 est.) |
| **United Kingdom** | 1.047 million bbl/day (2015 est.) |
| **United States** | 8.567 million bbl/day (2015 est.) |
| **Uruguay** | 42,060 bbl/day (2013 est.) |
| **Uzbekistan** | 360 bbl/day (2013 est.) |
| **Vanuatu** | 0 bbl/day (2013 est.) |
| **Venezuela** | 0 bbl/day (2013 est.) |
| **Vietnam** | 0 bbl/day (2013 est.) |
| **Virgin Islands** | 0 bbl/day (2013 est.) |
| **West Bank** | 0 bbl/day (2013 est.) |
| **Western Sahara** | 0 bbl/day (2013 est.) |
| **World** | 46.7 million bbl/day (2013 est.) |
| **Yemen** | 0 bbl/day (2013 est.) |
| **Zambia** | 12,120 bbl/day (2013 est.) |
| **Zimbabwe** | 0 bbl/day (2013 est.) |
