CIA - The World Factbook --  Electricity - imports   

This entry is the total imported electricity in kilowatt-hours.

| Rank | country | (kWh) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 57,020,000,000.00 | 2008 est. |
| 2 | Switzerland | 46,600,000,000.00 | 2009 est. |
| 3 | Italy | 43,000,000,000.00 | 2008 est. |
| 4 | Brazil | 42,060,000,000.00 | 2008 est. |
| 5 | Germany | 41,670,000,000.00 | 2008 est. |
| 6 | Canada | 23,500,000,000.00 | 2008 est. |
| 7 | Austria | 19,800,000,000.00 | 2008 est. |
| 8 | Belgium | 17,160,000,000.00 | 2008 est. |
| 9 | Finland | 16,110,000,000.00 | 2008 |
| 10 | Netherlands | 15,450,000,000.00 | 2009 est. |
| 11 | Hungary | 13,350,000,000.00 | 2008 est. |
| 12 | Denmark | 12,820,000,000.00 | 2008 |
| 13 | Sweden | 12,750,000,000.00 | 2008 est. |
| 14 | United Kingdom | 12,290,000,000.00 | 2008 est. |
| 15 | Croatia | 12,240,000,000.00 | 2008 est. |
| 16 | Hong Kong | 11,700,000,000.00 | 2009 est. |
| 17 | Uzbekistan | 11,440,000,000.00 | 2009 est. |
| 18 | Portugal | 10,740,000,000.00 | 2008 est. |
| 19 | France | 10,680,000,000.00 | 2008 est. |
| 20 | South Africa | 10,570,000,000.00 | 2008 est. |
| 21 | Argentina | 10,280,000,000.00 | 2007 est. |
| 22 | Slovakia | 9,412,000,000.00 | 2008 est. |
| 23 | Belarus | 9,406,000,000.00 | 2007 est. |
| 24 | Czech Republic | 8,520,000,000.00 | 2008 est. |
| 25 | Poland | 8,480,000,000.00 | 2008 est. |
| 26 | Mozambique | 8,278,000,000.00 | 2007 est. |
| 27 | Greece | 7,575,000,000.00 | 2008 est. |
| 28 | Luxembourg | 6,830,000,000.00 | 2008 est. |
| 29 | Slovenia | 6,218,000,000.00 | 2008 est. |
| 30 | Spain | 5,880,000,000.00 | 2008 est. |
| 31 | Lithuania | 5,649,000,000.00 | 2008 est. |
| 32 | Iraq | 5,600,000,000.00 | 2009 est. |
| 33 | India | 5,270,000,000.00 | 2009 est. |
| 34 | Latvia | 4,643,000,000.00 | 2008 est. |
| 35 | Vietnam | 3,850,000,000.00 | 2009 est. |
| 36 | China | 3,842,000,000.00 | 2008 |
| 37 | Morocco | 3,429,000,000.00 | 2009 est. |
| 38 | Norway | 3,414,000,000.00 | 2008 est. |
| 39 | Bulgaria | 3,097,000,000.00 | 2008 est. |
| 40 | Russia | 3,066,000,000.00 | 2009 |
| 41 | Bosnia and Herzegovina | 3,040,000,000.00 | 2009 est. |
| 42 | Moldova | 2,931,000,000.00 | 2007 est. |
| 43 | West Bank | 2,800,000,000.00 | 2007 est. |
| 44 | Zimbabwe | 2,691,000,000.00 | 2007 est. |
| 45 | Albania | 2,475,000,000.00 | 2008 est. |
| 46 | Thailand | 2,313,000,000.00 | 2009 est. |
| 47 | Macau | 2,215,000,000.00 | 2009 est. |
| 48 | Botswana | 2,181,000,000.00 | 2008 est. |
| 49 | Iran | 2,060,000,000.00 | 2007 est. |
| 50 | Namibia | 2,045,000,000.00 | 2007 est. |
| 51 | Kazakhstan | 1,940,000,000.00 | 2009 est. |
| 52 | Venezuela | 1,651,000,000.00 | 2007 est. |
| 53 | Macedonia | 1,635,000,000.00 | 2009 est. |
| 54 | Chile | 1,628,000,000.00 | 2007 est. |
| 55 | Syria | 1,400,000,000.00 | 2007 |
| 56 | Estonia | 1,369,000,000.00 | 2008 est. |
| 57 | Ecuador | 1,120,000,000.00 | 2007 est. |
| 58 | Lebanon | 1,114,000,000.00 | 2009 est. |
| 59 | Romania | 921,000,000.00 | 2008 est. |
| 60 | Laos | 819,500,000.00 | 2009 est. |
| 61 | Turkey | 790,000,000.00 | 2008 est. |
| 62 | Uruguay | 789,000,000.00 | 2007 est. |
| 63 | Swaziland | 770,000,000.00 | 2008 est. |
| 64 | Ireland | 753,000,000.00 | 2008 est. |
| 65 | Tajikistan | 667,800,000.00 | 2009 est. |
| 66 | Benin | 588,000,000.00 | 2007 est. |
| 67 | Mexico | 584,000,000.00 | 2008 est. |
| 68 | Azerbaijan | 548,000,000.00 | 2007 est. |
| 69 | Togo | 514,000,000.00 | 2007 est. |
| 70 | Niger | 450,000,000.00 | 2007 est. |
| 71 | Congo, Republic of the | 449,000,000.00 | 2007 est. |
| 72 | Ghana | 435,000,000.00 | 2007 est. |
| 73 | Georgia | 430,000,000.00 | 2007 est. |
| 74 | Armenia | 418,700,000.00 | 2007 est. |
| 75 | Algeria | 279,000,000.00 | 2007 est. |
| 76 | Egypt | 251,000,000.00 | 2007 est. |
| 77 | Belize | 248,400,000.00 | 2005 |
| 78 | Afghanistan | 230,000,000.00 | 2007 est. |
| 79 | Zambia | 222,000,000.00 | 2008 est. |
| 80 | Nepal | 213,000,000.00 | 2008 est. |
| 81 | Costa Rica | 203,200,000.00 | 2007 est. |
| 82 | Jordan | 200,000,000.00 | 2007 est. |
| 83 | Tanzania | 200,000,000.00 | 2007 est. |
| 84 | Mongolia | 186,100,000.00 | 2009 |
| 85 | Cambodia | 167,000,000.00 | 2007 est. |
| 86 | Tunisia | 145,000,000.00 | 2007 est. |
| 87 | Rwanda | 130,000,000.00 | 2007 est. |
| 88 | Serbia | 121,000,000.00 | 2009 |
| 89 | Libya | 77,000,000.00 | 2007 est. |
| 90 | Nicaragua | 63,950,000.00 | 2007 est. |
| 91 | Lesotho | 50,000,000.00 | 2008 est. |
| 92 | Burundi | 40,000,000.00 | 2007 est. |
| 93 | Colombia | 39,400,000.00 | 2007 |
| 94 | El Salvador | 38,000,000.00 | 2007 est. |
| 95 | Kenya | 22,500,000.00 | 2007 est. |
| 96 | Honduras | 11,800,000.00 | 2007 est. |
| 97 | Panama | 8,740,000.00 | 2007 est. |
| 98 | Guatemala | 8,110,000.00 | 2007 est. |
| 99 | Congo, Democratic Republic of the | 6,000,000.00 | 2007 est. |
| 100 | Gaza Strip | 120,000.00 | 2009 |
| 101 | American Samoa | 0.00 | 2008 est. |
| 102 | Barbados | 0.00 | 2008 est. |
| 103 | Pakistan | 0.00 | 2008 est. |
| 104 | Oman | 0.00 | 2008 est. |
| 105 | Northern Mariana Islands | 0.00 | January 2009 est. |
| 106 | Niue | 0.00 | 2008 est. |
| 107 | Nigeria | 0.00 | 2008 est. |
| 108 | New Zealand | 0.00 | 2008 est. |
| 109 | New Caledonia | 0.00 | 2008 est. |
| 110 | Nauru | 0.00 | 2008 est. |
| 111 | Iceland | 0.00 | 2008 est. |
| 112 | Taiwan | 0.00 | 2009 est. |
| 113 | Yemen | 0.00 | 2008 est. |
| 114 | Western Sahara | 0.00 | 2008 est. |
| 115 | Wallis and Futuna | 0.00 | 2002 |
| 116 | Virgin Islands | 0.00 | 2008 est. |
| 117 | Vanuatu | 0.00 | 2008 est. |
| 118 | United Arab Emirates | 0.00 | 2008 est. |
| 119 | Ukraine | 0.00 | 2009 est. |
| 120 | Uganda | 0.00 | 2008 est. |
| 121 | Turks and Caicos Islands | 0.00 | 2008 est. |
| 122 | Turkmenistan | 0.00 | 2009 est. |
| 123 | Trinidad and Tobago | 0.00 | 2008 est. |
| 124 | Tonga | 0.00 | 2008 est. |
| 125 | Timor-Leste | 0.00 | 2009 est. |
| 126 | Suriname | 0.00 | 2008 est. |
| 127 | Sudan | 0.00 | 2008 est. |
| 128 | Sri Lanka | 0.00 | 2008 est. |
| 129 | Somalia | 0.00 | 2008 est. |
| 130 | Solomon Islands | 0.00 | 2008 est. |
| 131 | Singapore | 0.00 | 2008 est. |
| 132 | Sierra Leone | 0.00 | 2008 est. |
| 133 | Seychelles | 0.00 | 2008 est. |
| 134 | Senegal | 0.00 | 2008 est. |
| 135 | Saudi Arabia | 0.00 | 2008 est. |
