CIA - The World Factbook 2000 -- Merchant marine

| Country | Merchant marine |
| | *ships by type:* bulk 20, cargo 166, combination bulk 1, container 5, livestock carrier 2, multi-functional large load carrier 1, passenger/cargo 1, petroleum tanker 2, refrigerated cargo 7, roll-on/roll-off 6 (1999 est.) |
| | *note:* a flag of convenience registry; includes ships of 8 countries: Aruba 1, Cyprus 7, Egypt 1, South Korea 1, Malta 1, Panama 1, Russia 5, Singapore 1 (1998 est.) |
| **Canada** | *total:* 114 ships (1,000 GRT or over) totaling 1,602,275 GRT/2,371,146 DWT |
| | *ships by type:* barge carrier 1, bulk 61, cargo 11, chemical tanker 5, combination bulk 2, passenger 3, passenger/cargo 1, petroleum tanker 16, rail car carrier 2, roll-on/roll-off 8, short-sea passenger 3, specialized tanker 1 (1999 est.) |
| | *note:* does not include ships used exclusively in the Great Lakes (1998 est.) |
| **Cape Verde** | *total:* 5 ships (1,000 GRT or over) totaling 9,523 GRT/11,795 DWT |
| | *ships by type:* cargo 4, chemical tanker 1 (1999 est.) |
| **Cayman Islands** | *total:* 85 ships (1,000 GRT or over) totaling 1,139,740 GRT/1,693,212 DWT |
| | *ships by type:* bulk 18, cargo 10, chemical tanker 14, container 4, liquified gas 1, petroleum tanker 2, refrigerated cargo 26, roll-on/roll-off 6, specialized tanker 2, vehicle carrier 2 (1999 est.) |
| | *note:* a flag of convenience registry; includes ships from 11 countries among which are: Greece 15, US 5, UK 5, Cyprus 2, Denmark 2, Norway 3 (1998 est.) |
| **Chile** | *total:* 45 ships (1,000 GRT or over) totaling 580,749 GRT/860,034 DWT |
| | *ships by type:* bulk 11, cargo 9, chemical tanker 8, container 2, liquified gas 2, passenger 3, petroleum tanker 4, roll-on/roll-off 4, vehicle carrier 2 (1999 est.) |
| **China** | *total:* 1,746 ships (1,000 GRT or over) totaling 16,637,023 GRT/24,552,567 DWT |
| | *ships by type:* barge carrier 2, bulk 325, cargo 840, chemical tanker 21, combination bulk 11, combination ore/oil 1, container 125, liquified gas 20, multi-functional large load carrier 5, passenger 8, passenger/cargo 46, petroleum tanker 251, refrigerated cargo 24, roll-on/roll-off 21, short-sea passenger 43, specialized tanker 2, vehicle carrier 1 (1999 est.) |
| **Christmas Island** | none (1999 est.) |
| **Cocos (Keeling) Islands** | none (1999 est.) |
| **Colombia** | *total:* 13 ships (1,000 GRT or over) totaling 51,343 GRT/67,168 DWT |
| | *ships by type:* bulk 4, cargo 5, container 1, multi-functional large load carrier 1, petroleum tanker 2 (1999 est.) |
| **Comoros** | none (1999 est.) |
| **Congo, Democratic Republic of the** | none (1999 est.) |
| **Cook Islands** | *total:* 1 ship (1,000 GRT or over) totaling 2,310 GRT/2,181 DWT |
| | *ships by type:* cargo 1 (1999 est.) |
| **Costa Rica** | none (1999 est.) |
| **Cote d'Ivoire** | *total:* 1 ship (1,000 GRT or over) totaling 1,200 GRT/1,500 DWT |
| | *ships by type:* petroleum tanker 1 (1999 est.) |
| **Croatia** | *total:* 65 ships (1,000 GRT or over) totaling 818,887 GRT/1,232,803 DWT |
| | *ships by type:* bulk 15, cargo 25, chemical tanker 1, combination bulk 5, container 5, liquified gas 1, multi-functional large load carrier 3, passenger 1, petroleum tanker 1, refrigerated cargo 1, roll-on/roll-off 4, short-sea passenger 3 (1999 est.) |
| **Cuba** | *total:* 15 ships (1,000 GRT or over) totaling 63,269 GRT/90,228 DWT |
| | *ships by type:* bulk 1, cargo 7, liquified gas 1, petroleum tanker 1, refrigerated cargo 5 (1999 est.) |
