CIA - The World Factbook 2000 -- Merchant marine

| Country | Merchant marine |
| | *ships by type:* bulk 3, cargo 343, chemical tanker 41, combination bulk 2, container 56, liquified gas 20, livestock carrier 1, multi-functional large load carrier 8, passenger 8, petroleum tanker 25, refrigerated cargo 32, roll-on/roll-off 16, short-sea passenger 3, specialized tanker 5 (1999 est.) |
| | *note:* many Dutch-owned ships are also operating under the registry of Netherlands Antilles (1998 est.) |
| **Netherlands Antilles** | *total:* 110 ships (1,000 GRT or over) totaling 1,028,910 GRT/1,285,837 DWT |
| | *ships by type:* bulk 2, cargo 27, chemical tanker 2, combination ore/oil 3, container 16, liquified gas 4, multi-functional large load carrier 18, passenger 1, petroleum tanker 5, refrigerated cargo 26, roll-on/roll-off 6 (1999 est.) |
| | *note:* a flag of convenience registry; includes ships of 2 countries: Belgium owns 9 ships, Germany 1 (1998 est.) |
| **New Caledonia** | *total:* 1 ship (1,000 GRT or over) totaling 1,261 GRT/1,600 DWT |
| | *ships by type:* cargo 1 (1999 est.) |
| **New Zealand** | *total:* 10 ships (1,000 GRT or over) totaling 102,461 GRT/133,418 DWT |
| | *ships by type:* bulk 4, cargo 1, petroleum tanker 2, rail car carrier 1, roll-on/roll-off 2 (1999 est.) |
| **Nicaragua** | none (1999 est.) |
| **Nigeria** | *total:* 40 ships (1,000 GRT or over) totaling 360,505 GRT/644,471 DWT |
| | *ships by type:* bulk 1, cargo 12, chemical tanker 4, petroleum tanker 22, specialized tanker 1 (1999 est.) |
| **Niue** | none (1999 est.) |
| **Norfolk Island** | none (1999 est.) |
| **Northern Mariana Islands** | none (1999 est.) |
| **Norway** | *total:* 788 ships (1,000 GRT or over) totaling 21,460,260 GRT/34,178,125 DWT |
| | *ships by type:* bulk 100, cargo 142, chemical tanker 111, combination bulk 9, combination ore/oil 35, container 18, liquified gas 86, multi-functional large load carrier 1, passenger 11, petroleum tanker 157, refrigerated cargo 11, roll-on/roll-off 48, short-sea passenger 22, vehicle carrier 37 (1999 est.) |
| | *note:* the government has created an internal register, the Norwegian International Ship register (NIS), as a subset of the Norwegian register; ships on the NIS enjoy many benefits of flags of convenience and do not have to be crewed by Norwegians (1998 est.) |
| **Oman** | *total:* 3 ships (1,000 GRT or over) totaling 16,306 GRT/8,210 DWT |
| | *ships by type:* cargo 1, passenger 1, passenger/cargo 1 (1999 est.) |
| **Pakistan** | *total:* 20 ships (1,000 GRT or over) totaling 288,249 GRT/444,451 DWT |
| | *ships by type:* bulk 1, cargo 15, container 3, petroleum tanker 1 (1999 est.) |
| **Palau** | none (1999 est.) |
| **Panama** | *total:* 4,732 ships (1,000 GRT or over) totaling 106,054,086 GRT/159,304,019 DWT |
| | *ships by type:* bulk 1,377, cargo 976, chemical tanker 323, combination bulk 68, combination ore/oil 15, container 525, liquified gas 184, livestock carrier 8, multi-functional large load carrier 12, passenger 46, passenger/cargo 4, petroleum tanker 496, rail car carrier 2, refrigerated cargo 313, roll-on/roll-off 106, short-sea passenger 42, specialized tanker 33, vehicle carrier 202 (1999 est.) |
| | *note:* a flag of convenience registry; includes ships from 71 countries among which are Japan 1,262, Greece 378, Hong Kong 244, South Korea 259, Taiwan 229, China 193, Singapore 103, US 116, Switzerland 78, and Indonesia 53 (1998 est.) |
| **Papua New Guinea** | *total:* 21 ships (1,000 GRT or over) totaling 36,417 GRT/52,432 DWT |
| | *ships by type:* bulk 2, cargo 10, chemical tanker 1, combination ore/oil 1, container 1, petroleum tanker 3, roll-on/roll-off 3 (1999 est.) |
| **Paraguay** | *total:* 21 ships (1,000 GRT or over) totaling 30,287 GRT/32,510 DWT |
| | *ships by type:* cargo 15, chemical tanker 1, petroleum tanker 4, roll-on/roll-off 1 (1999 est.) |
| **Peru** | *total:* 7 ships (1,000 GRT or over) totaling 65,193 GRT/100,584 DWT |
| | *ships by type:* bulk 1, cargo 6 (1999 est.) |
| **Philippines** | *total:* 480 ships (1,000 GRT or over) totaling 5,973,024 GRT/9,025,087 DWT |
| | *ships by type:* bulk 159, cargo 122, chemical tanker 5, combination bulk 9, container 7, liquified gas 13, livestock carrier 9, passenger 4, passenger/cargo 12, petroleum tanker 47, refrigerated cargo 20, roll-on/roll-off 19, short-sea passenger 32, specialized tanker 2, vehicle carrier 20 (1999 est.) |
| | *note:* a flag of convenience registry; Japan owns 19 ships, Hong Kong 5, Cyprus 1, Denmark 1, Greece 1, Netherlands 1, Singapore 1, and UK 1 (1998 est.) |
| **Pitcairn Islands** | none (1999 est.) |
| **Poland** | *total:* 57 ships (1,000 GRT or over) totaling 1,120,165 GRT/1,799,569 DWT |
| | *ships by type:* bulk 50, cargo 2, chemical tanker 2, roll-on/roll-off 1, short-sea passenger 2 (1999 est.) |
| **Portugal** | *total:* 151 ships (1,000 GRT or over) totaling 1,061,202 GRT/1,601,267 DWT |
| | *ships by type:* bulk 13, cargo 80, chemical tanker 14, container 8, liquified gas 8, multi-functional large load carrier 1, petroleum tanker 10, refrigerated cargo 1, roll-on/roll-off 6, short-sea passenger 5, vehicle carrier 5 (1999 est.) |
| | *note:* Portugal has created a captive register on Madeira for Portuguese-owned ships; ships on the Madeira Register (MAR) will have taxation and crewing benefits of a flag of convenience (1998 est.) |
| **Puerto Rico** | *total:* 1 ship (1,000 GRT or over) totaling 17,513 GRT/14,976 DWT |
| | *ships by type:* roll-on/roll-off 1 (1999 est.) |
| **Qatar** | *total:* 24 ships (1,000 GRT or over) totaling 721,756 GRT/1,132,510 DWT |
| | *ships by type:* cargo 10, combination ore/oil 2, container 7, petroleum tanker 5 (1999 est.) |
| **Reunion** | *total:* 1 ship (1,000 GRT or over) totaling 28,264 GRT/44,885 DWT |
| | *ships by type:* chemical tanker 1 (1999 est.) |
| **Romania** | *total:* 142 ships (1,000 GRT or over) totaling 1,154,127 GRT/1,612,314 DWT |
| | *ships by type:* bulk 15, cargo 110, container 1, passenger 1, passenger/cargo 1, petroleum tanker 5, rail car carrier 2, roll-on/roll-off 6, specialized tanker 1 (1999 est.) |
| **Russia** | *total:* 695 ships (1,000 GRT or over) totaling 3,920,923 GRT/4,867,676 DWT |
| | *ships by type:* barge carrier 1, bulk 19, cargo 379, chemical tanker 4, combination bulk 21, combination ore/oil 3, container 25, multi-functional large load carrier 1, passenger 35, passenger/cargo 3, petroleum tanker 149, refrigerated cargo 26, roll-on/roll-off 22, short-sea passenger 7 (1999 est.) |
| **Saint Helena** | none (1999 est.) |
| **Saint Kitts and Nevis** | none (1999 est.) |
| **Saint Lucia** | none (1999 est.) |
| **Saint Pierre and Miquelon** | none (1999 est.) |
| **Saint Vincent and the Grenadines** | *total:* 825 ships (1,000 GRT or over) totaling 7,253,092 GRT/10,894,566 DWT |
| | *ships by type:* barge carrier 1, bulk 142, cargo 400, chemical tanker 31, combination bulk 10, combination ore/oil 5, container 47, liquified gas 5, livestock carrier 5, multi-functional large load carrier 3, passenger 3, petroleum tanker 60, refrigerated cargo 41, roll-on/roll-off 51, short-sea passenger 12, specialized tanker 8, vehicle carrier 1 (1999 est.) |
| | *note:* a flag of convenience registry; includes ships from 20 countries among which are Croatia 17, Slovenia 7, China 5, Greece 5, UAE 3, Norway 2, Japan 2, and Ukraine 2 (1998 est.) |
| **Sao Tome and Principe** | *total:* 9 ships (1,000 GRT or over) totaling 43,587 GRT/34,802 DWT |
| | *ships by type:* cargo 4, container 1, refrigerated cargo 1, roll-on/roll-off 3 (1999 est.) |
| **Saudi Arabia** | *total:* 70 ships (1,000 GRT or over) totaling 1,071,003 GRT/1,388,802 DWT |
| | *ships by type:* cargo 12, chemical tanker 7, container 5, liquified gas 1, livestock carrier 3, passenger 1, petroleum tanker 17, refrigerated cargo 4, roll-on/roll-off 12, short-sea passenger 8 (1999 est.) |
| **Seychelles** | none (1999 est.) |
| **Sierra Leone** | *total:* 1 ship (1,000 GRT or over) totaling 1,105 GRT/1,307 DWT |
| | *ships by type:* specialized tanker 1 (1999 est.) |
| **Singapore** | *total:* 891 ships (1,000 GRT or over) totaling 21,808,813 GRT/34,783,544 DWT |
| | *ships by type:* bulk 140, cargo 121, chemical tanker 66, combination bulk 6, combination ore/oil 6, container 162, liquified gas 26, livestock carrier 2, multi-functional large load carrier 3, petroleum tanker 294, refrigerated cargo 6, roll-on/roll-off 10, short-sea passenger 1, specialized tanker 12, vehicle carrier 36 (1999 est.) |
| | *note:* a flag of convenience registry; includes ships from 22 countries among which are Japan 41, Denmark 35, Sweden 28, Thailand 28, Hong Kong 26, Germany 19, Taiwan 19, and Indonesia 11 (1998 est.) |
| **Slovakia** | *total:* 3 ships (1,000 GRT or over) totaling 15,041 GRT/19,517 DWT |
| | *ships by type:* cargo 3 (1999 est.) |
| **Solomon Islands** | none (1999 est.) |
| **Somalia** | none (1999 est.) |
| **South Africa** | *total:* 9 ships (1,000 GRT or over) totaling 274,797 GRT/270,837 DWT |
| | *ships by type:* container 6, petroleum tanker 2, roll-on/roll-off 1 (1999 est.) |
| **Spain** | *total:* 130 ships (1,000 GRT or over) totaling 1,131,648 GRT/1,688,996 DWT |
| | *ships by type:* bulk 11, cargo 24, chemical tanker 9, container 9, liquified gas 2, livestock carrier 1, passenger 1, petroleum tanker 24, refrigerated cargo 5, roll-on/roll-off 36, short-sea passenger 7, specialized tanker 1 (1999 est.) |
| **Sri Lanka** | *total:* 24 ships (1,000 GRT or over) totaling 192,190 GRT/293,832 DWT |
| | *ships by type:* bulk 1, cargo 16, container 1, petroleum tanker 1, refrigerated cargo 5 (1999 est.) |
| **Sudan** | *total:* 4 ships (1,000 GRT or over) totaling 38,093 GRT/49,727 DWT |
| | *ships by type:* cargo 2, roll-on/roll-off 2 (1999 est.) |
| **Suriname** | *total:* 3 ships (1,000 GRT or over) totaling 3,432 GRT/4,525 DWT |
| | *ships by type:* cargo 1, container 1, petroleum tanker 1 (1999 est.) |
| **Svalbard** | none (1999 est.) |
| **Sweden** | *total:* 165 ships (1,000 GRT or over) totaling 2,301,633 GRT/1,726,018 DWT |
| | *ships by type:* bulk 6, cargo 26, chemical tanker 33, combination ore/oil 4, liquified gas 1, petroleum tanker 23, rail car carrier 1, roll-on/roll-off 43, short-sea passenger 4, specialized tanker 6, vehicle carrier 18 (1999 est.) |
| **Switzerland** | *total:* 23 ships (1,000 GRT or over) totaling 429,998 GRT/771,227 DWT |
| | *ships by type:* bulk 12, cargo 5, chemical tanker 5, petroleum tanker 1 (1999 est.) |
| **Syria** | *total:* 137 ships (1,000 GRT or over) totaling 429,005 GRT/626,069 DWT |
| | *ships by type:* bulk 11, cargo 120, livestock carrier 5, roll-on/roll-off 1 (1999 est.) |
| **Tanzania** | *total:* 7 ships (1,000 GRT or over) totaling 20,618 GRT/26,321 DWT |
| | *ships by type:* cargo 2, passenger/cargo 2, petroleum tanker 2, roll-on/roll-off 1 (1999 est.) |
| **Thailand** | *total:* 299 ships (1,000 GRT or over) totaling 1,834,809 GRT/2,949,558 DWT |
| | *ships by type:* bulk 39, cargo 135, chemical tanker 3, combination bulk 1, container 13, liquified gas 19, multi-functional large load carrier 3, passenger 1, petroleum tanker 63, refrigerated cargo 13, roll-on/roll-off 2, short-sea passenger 2, specialized tanker 5 (1999 est.) |
| **Togo** | *total:* 2 ships (1,000 GRT or over) totaling 56,332 GRT/97,443 DWT |
| | *ships by type:* bulk 1, cargo 1 (1999 est.) |
| **Tokelau** | none (1999 est.) |
| **Tonga** | *total:* 7 ships (1,000 GRT or over) totaling 17,760 GRT/25,948 DWT |
| | *ships by type:* bulk 1, cargo 2, liquified gas 2, petroleum tanker 1, roll-on/roll-off 1 (1999 est.) |
| **Trinidad and Tobago** | *total:* 2 ships (1,000 GRT or over) totaling 2,439 GRT/4,040 DWT |
| | *ships by type:* cargo 1, petroleum tanker 1 (1999 est.) |
| **Tunisia** | *total:* 16 ships (1,000 GRT or over) totaling 151,084 GRT/159,576 DWT |
| | *ships by type:* bulk 2, cargo 5, chemical tanker 3, liquified gas 1, petroleum tanker 1, short-sea passenger 3, specialized tanker 1 (1999 est.) |
| **Turkey** | *total:* 547 ships (1,000 GRT or over) totaling 5,935,173 GRT/9,771,421 DWT |
| | *ships by type:* bulk 155, cargo 244, chemical tanker 37, combination bulk 5, combination ore/oil 6, container 20, liquified gas 5, passenger/cargo 1, petroleum tanker 35, refrigerated cargo 3, roll-on/roll-off 22, short-sea passenger 9, specialized tanker 5 (1999 est.) |
| **Turkmenistan** | *total:* 1 ship (1,000 GRT or over) totaling 1,896 GRT/3,389 DWT |
| | *ships by type:* petroleum tanker 1 (1999 est.) |
| **Turks and Caicos Islands** | none (1999 est.) |
| **Tuvalu** | *total:* 8 ships (1,000 GRT or over) totaling 44,500 GRT/63,978 DWT |
| | *ships by type:* cargo 5, passenger/cargo 1, petroleum tanker 1, roll-on/roll-off 1 (1999 est.) |
| **Uganda** | *total:* 3 ships (1,000 GRT or over) totaling 5,091 GRT/8,229 DWT |
| | *ships by type:* roll-on/roll-off 3 (1999 est.) |
| **Ukraine** | *total:* 156 ships (1,000 GRT or over) totaling 862,690 GRT/963,550 DWT |
| | *ships by type:* bulk 9, cargo 105, container 4, passenger 11, passenger/cargo 3, petroleum tanker 14, rail car carrier 2, roll-on/roll-off 5, short-sea passenger 3 (1999 est.) |
| **United Arab Emirates** | *total:* 68 ships (1,000 GRT or over) totaling 1,107,442 GRT/1,795,235 DWT |
| | *ships by type:* bulk 1, cargo 18, chemical tanker 3, container 8, liquified gas 1, livestock carrier 1, passenger 1, petroleum tanker 27, roll-on/roll-off 7, specialized tanker 1 (1999 est.) |
| **United Kingdom** | *total:* 173 ships (1,000 GRT or over) totaling 2,917,708 GRT/3,063,113 DWT |
| | *ships by type:* bulk 4, cargo 33, chemical tanker 5, combination ore/oil 1, container 39, liquified gas 2, passenger 8, passenger/cargo 1, petroleum tanker 50, roll-on/roll-off 18, short-sea passenger 10, specialized tanker 1, vehicle carrier 1 (1999 est.) |
| **United States** | *total:* 386 ships (1,000 GRT or over) totaling 11,634,608 GRT/15,574,117 DWT |
| | *ships by type:* barge carrier 10, bulk 67, cargo 28, chemical tanker 14, combination bulk 2, container 84, liquified gas 10, multi-functional large load carrier 3, passenger 7, passenger/cargo 1, petroleum tanker 104, roll-on/roll-off 43, short-sea passenger 3, specialized tanker 1, vehicle carrier 9 (1999 est.) |
| **Uruguay** | *total:* 1 ship (1,000 GRT or over) totaling 1,807 GRT/2,405 DWT |
| | *ships by type:* petroleum tanker 1 (1999 est.) |
| **Vanuatu** | *total:* 78 ships (1,000 GRT or over) totaling 1,266,634 GRT/1,618,877 DWT |
| | *ships by type:* bulk 27, cargo 24, chemical tanker 3, combination bulk 2, container 1, liquified gas 4, petroleum tanker 2, refrigerated cargo 9, vehicle carrier 6 (1999 est.) |
| | *note:* a flag of convenience registry; includes ships from 15 countries among which are ships of Japan 28, India 10, US 10, Greece 3, Hong Kong 3, Australia 2, Canada 1, China 1, and France 1 (1998 est.) |
| **Venezuela** | *total:* 34 ships (1,000 GRT or over) totaling 488,584 GRT/888,764 DWT |
| | *ships by type:* bulk 5, cargo 10, combination bulk 1, liquified gas 2, passenger/cargo 1, petroleum tanker 7, roll-on/roll-off 7, short-sea passenger 1 (1999 est.) |
| **Vietnam** | *total:* 133 ships (1,000 GRT or over) totaling 616,115 GRT/941,611 DWT |
| | *ships by type:* bulk 7, cargo 103, chemical tanker 1, combination bulk 1, container 1, liquified gas 1, petroleum tanker 15, refrigerated cargo 4 (1999 est.) |
| **Virgin Islands** | none (1999 est.) |
| **Wallis and Futuna** | *total:* 3 ships (1,000 GRT or over) totaling 92,060 GRT/45,881 DWT |
| | *ships by type:* passenger 2, petroleum tanker 1 (1999 est.) |
| **Yemen** | *total:* 3 ships (1,000 GRT or over) totaling 12,059 GRT/18,563 DWT |
| | *ships by type:* cargo 1, petroleum tanker 2 (1999 est.) |
| **Taiwan** | *total:* 175 ships (1,000 GRT or over) totaling 4,944,166 GRT/7,710,891 DWT |
| | *ships by type:* bulk 45, cargo 33, combination bulk 1, container 69, petroleum tanker 17, refrigerated cargo 8, roll-on/roll-off 2 (1999 est.) |



