CIA - The World Factbook -- Field Listing - Merchant marine

| Country | Merchant marine |
| | *foreign-owned:* 225 (China 103, Croatia 1, Cyprus 2, Estonia 3, Germany 3, Greece 2, Hong Kong 8, Iceland 2, Indonesia 2, Italy 4, Japan 2, North Korea 2, South Korea 4, Latvia 6, Lithuania 1, Malaysia 1, Mexico 1, Norway 2, Poland 2, Russia 36, Singapore 6, Spain 3, Switzerland 1, Turkey 11, UAE 5, Ukraine 7, US 5) (2006) |
| **Bermuda** | *total:* 132 ships (1000 GRT or over) 7,873,728 GRT/8,688,692 DWT |
| | *by type:* bulk carrier 25, cargo 1, container 24, liquefied gas 23, passenger 19, passenger/cargo 6, petroleum tanker 16, refrigerated cargo 13, roll on/roll off 5 |
| | *foreign-owned:* 116 (Australia 3, Belgium 4, France 1, Germany 21, Greece 2, Hong Kong 10, Indonesia 1, Ireland 1, Israel 3, Monaco 2, Nigeria 11, Norway 5, Sweden 14, Switzerland 2, UK 9, US 27) |
| | *registered in other countries:* 6 (Liberia 1, Marshall Islands 4, Panama 1) (2006) |
| **Bolivia** | *total:* 24 ships (1000 GRT or over) 127,297 GRT/198,525 DWT |
| | *by type:* bulk carrier 2, cargo 8, chemical tanker 1, passenger/cargo 3, petroleum tanker 10 |
| | *foreign-owned:* 10 (Argentina 1, China 1, Egypt 2, Iran 1, Singapore 3, Taiwan 1, Yemen 1) (2006) |
| **Brazil** | *total:* 137 ships (1000 GRT or over) 2,038,923 GRT/3,057,820 DWT |
| | *by type:* bulk carrier 21, cargo 21, chemical tanker 8, container 8, liquefied gas 12, passenger/cargo 12, petroleum tanker 47, roll on/roll off 8 |
| | *foreign-owned:* 15 (Chile 1, Germany 7, Norway 2, Spain 4, UK 1) |
| | *registered in other countries:* 5 (Ghana 1, Liberia 3, Marshall Islands 1) (2006) |
| **British Virgin Islands** | *registered in other countries:* 1 (North Korea 1) (2006) |
| **Brunei** | *total:* 8 ships (1000 GRT or over) 465,937 GRT/413,393 DWT |
| | *by type:* liquefied gas 8 |
| | *foreign-owned:* 8 (UK 8) (2006) |
| **Bulgaria** | *total:* 75 ships (1000 GRT or over) 872,653 GRT/1,294,877 DWT |
| | *by type:* bulk carrier 40, cargo 17, chemical tanker 4, container 6, passenger/cargo 1, petroleum tanker 3, roll on/roll off 4 |
| | *foreign-owned:* 2 (Germany 1, Russia 1) |
| | *registered in other countries:* 41 (Cambodia 1, Comoros 1, Malta 13, Panama 1, Saint Vincent and the Grenadines 17, Slovakia 7, unknown 1) (2006) |
| **Burma** | *total:* 34 ships (1000 GRT or over) 402,699 GRT/620,642 DWT |
| | *by type:* bulk carrier 8, cargo 20, passenger 2, passenger/cargo 3, specialized tanker 1 |
| | *foreign-owned:* 9 (Germany 5, Japan 4) (2006) |
| **Cambodia** | *total:* 544 ships (1000 GRT or over) 1,777,907 GRT/2,529,708 DWT |
